variant,scenario,method,threshold_q99_higher,stable_or_normal_fpr,standardized_pauc_max_fpr_0.05,pauc_reason,primary,decision_eligible
upper_only_q99,DS2,NC_B0_clamped,1.5045246129176055,0.0,0.987607184120563,,False,False
upper_only_q99,DS2,NC_total_clamped,2.3309088147507384,0.0,0.9880081500028217,,False,False
upper_only_q99,DS3,NC_TOPI_clamped,2.531660717784112,0.0,0.977645829677364,,False,False
upper_only_q99,DS3,NC_B0_clamped,1.5045246129176055,0.0,0.9779420094762727,,False,False
upper_only_q99,DS3,NC_total_clamped,2.3309088147507384,0.0,0.9780086499310272,,False,False
upper_only_q99,DS7,NC_TOPI_clamped,2.531660717784112,0.0,0.9721488846157281,,False,False
upper_only_q99,DS7,NC_B0_clamped,1.5045246129176055,0.0,0.9600713659069097,,False,False
upper_only_q99,DS7,NC_total_clamped,2.3309088147507384,0.0,0.9771365288606668,,False,False
upper_only_q99,DS8,NC_TOPI_clamped,2.531660717784112,0.0,0.9910445957156906,,False,False
upper_only_q99,DS8,NC_B0_clamped,1.5045246129176055,0.0,0.9874734222280827,,False,False
upper_only_q99,DS8,NC_total_clamped,2.3309088147507384,0.0,0.9916550527221193,,False,False
no_clamp,cleanStatic,NC_TOPI_clamped,2.531660717784112,0.0,,single-class normal diagnostic,False,False
no_clamp,cleanStatic,NC_B0_clamped,1.5045246129176055,0.01694915254237288,,single-class normal diagnostic,False,False
no_clamp,cleanStatic,NC_total_clamped,2.3309088147507384,0.0,,single-class normal diagnostic,False,False
no_clamp,cleanDynamic,NC_TOPI_clamped,2.531660717784112,1.0,,single-class normal diagnostic,False,False
no_clamp,cleanDynamic,NC_B0_clamped,1.5045246129176055,0.9281437125748503,,single-class normal diagnostic,False,False
no_clamp,cleanDynamic,NC_total_clamped,2.3309088147507384,1.0,,single-class normal diagnostic,False,False
no_clamp,DS1,NC_TOPI_clamped,2.531660717784112,0.0,0.4929942442703928,,False,False
no_clamp,DS1,NC_B0_clamped,1.5045246129176055,0.0,0.4916523772494146,,False,False
no_clamp,DS1,NC_total_clamped,2.3309088147507384,0.0,0.49213632928976736,,False,False
no_clamp,DS2,NC_TOPI_clamped,2.531660717784112,0.0,0.9920549352959871,,False,False
no_clamp,DS2,NC_B0_clamped,1.5045246129176055,0.0,0.9878819200028514,,False,False
no_clamp,DS2,NC_total_clamped,2.3309088147507384,0.0,0.9923073952959277,,False,False
no_clamp,DS3,NC_TOPI_clamped,2.531660717784112,0.0,0.9782381892751815,,False,False
no_clamp,DS3,NC_B0_clamped,1.5045246129176055,0.0,0.9779420094762725,,False,False
no_clamp,DS3,NC_total_clamped,2.3309088147507384,0.0,0.9771423240192192,,False,False
no_clamp,DS7,NC_TOPI_clamped,2.531660717784112,0.0,0.9746220966380118,,False,False
no_clamp,DS7,NC_B0_clamped,1.5045246129176055,0.0,0.9600713659069097,,False,False
no_clamp,DS7,NC_total_clamped,2.3309088147507384,0.0,0.9785517557400847,,False,False
no_clamp,DS8,NC_TOPI_clamped,2.531660717784112,0.0,0.9911666871169764,,False,False
no_clamp,DS8,NC_B0_clamped,1.5045246129176055,0.0,0.9874734222280827,,False,False
no_clamp,DS8,NC_total_clamped,2.3309088147507384,0.0,0.9921434183272624,,False,False
