window_mid_s,score_mean,score_soft_quorum_gate,score_quorum_offset_gate,prn_count,soft_high_fraction
45.5,1.1240412961898218,1.798466073903715,2.698466073903715,10,0.3
46.0,1.2648318584758003,2.2766973452564407,3.476697345256441,10,0.4
46.5,1.1519552633534638,1.8431284213655421,2.743128421365542,10,0.3
47.0,1.1075514601795768,1.9935926283232384,3.1935926283232385,10,0.4
47.5,1.0879224237335088,1.958260362720316,3.1582603627203163,10,0.4
48.0,1.2271042053428958,2.2087875696172126,3.4087875696172127,10,0.4
48.5,1.2959677798611264,2.591935559722253,4.091935559722253,10,0.5
49.0,1.0149828754894223,1.8269691758809603,3.0269691758809607,10,0.4
49.5,1.0031943348883454,1.6051109358213527,2.5051109358213526,10,0.3
50.0,1.1618702721272538,1.8589924354036063,2.758992435403606,10,0.3
50.5,1.2373542235358308,2.2272376023644953,3.4272376023644955,10,0.4
51.0,1.1233746958905058,1.7973995134248093,2.697399513424809,10,0.3
51.5,1.298159504199689,2.596319008399378,4.096319008399378,10,0.5
52.0,1.0681696328780073,2.1363392657560145,3.6363392657560145,10,0.5
52.5,1.0357825777987846,2.071565155597569,3.571565155597569,10,0.5
53.0,1.1204591577795608,1.7927346524472973,2.6927346524472973,10,0.3
53.5,1.1395691161497161,2.2791382322994322,3.7791382322994322,10,0.5
54.0,1.276444487056656,2.297600076701981,3.497600076701981,10,0.4
54.5,1.38941564420326,2.77883128840652,4.27883128840652,10,0.5
55.0,1.2696448471015085,2.0314317553624135,2.9314317553624134,10,0.3
55.5,1.2516430407766934,2.3895003505736874,3.7531367142100507,11,0.45454545454545453
56.0,1.2741273751240938,2.664084511623105,4.300448147986741,11,0.5454545454545454
56.5,1.3153206395965567,2.7502158827928,4.386579519156436,11,0.5454545454545454
57.0,1.2361577364986167,2.584693449042562,4.221057085406198,11,0.5454545454545454
57.5,1.1676687181325607,2.6537925412103647,4.562883450301274,11,0.6363636363636364
58.0,1.3190468776103013,3.4774872227907947,5.932032677336249,11,0.8181818181818182
58.5,1.347284938842716,3.306972122613939,5.48879030443212,11,0.7272727272727273
59.0,1.327800858453329,3.0177292237575655,4.926820132848475,11,0.6363636363636364
59.5,1.2766211420511981,2.9014116864799955,4.810502595570904,11,0.6363636363636364
60.0,1.2921659841013773,2.9367408729576754,4.845831782048585,11,0.6363636363636364
60.5,1.3361686028361686,2.7938070786574434,4.430170715021079,11,0.5454545454545454
61.0,1.201346144988202,2.075052432252349,3.1659615231614398,11,0.36363636363636365
61.5,1.1752526498189046,2.6710287495884195,4.580119658679329,11,0.6363636363636364
62.0,1.188717674794617,2.0532396200997933,3.144148711008884,11,0.36363636363636365
62.5,1.242725044948816,2.1465250776388642,3.237434168547955,11,0.36363636363636365
63.0,1.2669128157381382,2.188303954456784,3.279213045365875,11,0.36363636363636365
63.5,1.1582563242674617,2.2112166190560636,3.574852982692427,11,0.45454545454545453
64.0,1.1981772081462365,2.7231300185141736,4.632220927605083,11,0.6363636363636364
64.5,1.1366981290078302,2.170060064469494,3.5336964281058574,11,0.45454545454545453
65.0,1.0910264523413185,2.082868681742517,3.4465050453788804,11,0.45454545454545453
65.5,1.18762460785491,2.2672833422684646,3.6309197059048284,11,0.45454545454545453
66.0,1.1373376897630882,1.7577037023611364,2.5758855205429545,11,0.2727272727272727
66.5,1.2245937821239368,2.3378608567820613,3.7014972204184247,11,0.45454545454545453
67.0,1.3378618966220328,2.310852366892602,3.401761457801693,11,0.36363636363636365
67.5,1.2970315293548687,2.2403271870675003,3.331236277976591,11,0.36363636363636365
68.0,1.5025065903205428,2.59523865600821,3.686147746917301,11,0.36363636363636365
68.5,1.4260319090706182,3.240981611524132,5.150072520615041,11,0.6363636363636364
69.0,1.4137982367127313,2.956123585853893,4.592487222217529,11,0.5454545454545454
69.5,1.2863273651433744,1.9879604734033969,2.806142291585215,11,0.2727272727272727
70.0,1.7764884050484837,2.7454820805294746,3.563663898711293,11,0.2727272727272727
70.5,2.163627336964063,4.130561279658665,5.494197643295029,11,0.45454545454545453
71.0,2.267030763129305,3.5035929975634716,4.3217748157452895,11,0.2727272727272727
71.5,2.3383949264727293,3.613883068185127,4.432064886366945,11,0.2727272727272727
72.0,2.6522441743761105,5.063375241990757,6.42701160562712,11,0.45454545454545453
