window_mid_s,score_mean,score_q75,score_q75_quorum,prn_count,high_fraction
17.0,1.0760485792710688,1.5948104935969831,2.951696789755173,10,0.2
17.5,0.9867185892777133,1.4151815995101704,1.4151815995101704,10,0.0
18.0,1.0638104048811319,1.5242416721452938,1.5242416721452938,10,0.0
18.5,1.305065002375565,1.3889544898030044,2.622327183684807,10,0.2
19.0,1.310241019797436,2.0415603801361564,4.478964722258697,10,0.3
19.5,1.0790773346880382,1.4467158117482812,2.0807305552727655,10,0.1
20.0,0.9830451029457944,1.4277328944490744,2.056052762783797,10,0.1
20.5,1.318238844717969,1.7956627835860592,4.011759288813512,10,0.3
21.0,1.2500624401376992,1.8393941885818295,4.094848958305476,10,0.3
21.5,1.1896202807896896,1.8336413751155956,4.083918612719631,10,0.3
22.0,1.06824073851762,1.463998705637033,2.7423979290192526,10,0.2
22.5,1.006351183661115,1.2765739989273972,2.4425183982838354,10,0.2
23.0,1.0570362615955067,1.4524735659007375,2.088215635670959,10,0.1
23.5,1.0843452878889817,1.509859856611244,2.8157757705779907,10,0.2
24.0,1.164424414490567,1.5407084148207444,2.202920939266968,10,0.1
24.5,1.1552487498030428,1.7116833529974511,3.8521983706951572,10,0.3
25.0,1.1973593143299301,2.020683323638106,4.439298314912401,10,0.3
25.5,1.0898085393684656,1.717351780625909,3.8629683831892274,10,0.3
26.0,1.2280742887830318,1.707049628046177,3.8433942932877363,10,0.3
26.5,1.2634656430324471,1.7126984171142337,3.140317467382774,10,0.2
27.0,1.1397469679557926,1.4501322097299507,2.720211535567921,10,0.2
27.5,0.8991433744062393,1.2971962743652559,1.2971962743652559,10,0.0
28.0,1.0378708394520437,1.6697754135611373,3.772573285766161,10,0.3
28.5,1.0412531090936206,1.4929404783666014,2.788704765386562,10,0.2
29.0,1.1200558033416246,1.6219898504391361,2.9951837607026177,10,0.2
29.5,1.1947859184513046,1.672264922845863,3.0756238765533808,10,0.2
30.0,1.2226632526574668,1.620698721106139,2.9931179537698225,10,0.2
30.5,1.3172505746793606,1.788958807997243,3.9990217351947615,10,0.3
31.0,1.1822543590303736,1.23894114094227,2.382305825507632,10,0.2
31.5,1.2155918981335216,1.156567937709988,2.2505087003359807,10,0.2
32.0,1.2634850510995808,1.2377827902826017,2.380452464452163,10,0.2
32.5,1.2308566340755667,0.9522145581794922,1.9235432930871874,10,0.2
33.0,1.2571215093060175,1.7357517649764935,3.8979283534553377,10,0.3
33.5,1.3267347227628192,1.527644093710738,2.844230549937181,10,0.2
34.0,1.1660252640545234,1.6902974334625693,3.8115651235788817,10,0.3
34.5,1.2127369368662249,1.4030573149658911,2.644891703945426,10,0.2
35.0,1.2977218422427421,2.133944072340361,4.6544937374466855,10,0.3
35.5,1.1045676445347519,1.6702764626359985,3.0724423402175978,10,0.2
36.0,1.0621944923333184,1.384909670721072,2.0003825719373935,10,0.1
36.5,1.395925113686491,1.8173278033904878,4.052922826441926,10,0.3
37.0,1.4937863211481373,1.8414790368335026,3.346366458933604,10,0.2
37.5,1.252470574822189,1.656825231718374,3.0509203707493984,10,0.2
38.0,1.1335474548300284,1.6624246977892085,3.059879516462734,10,0.2
38.5,1.1549499480606755,1.9348342105356122,4.276185000017663,10,0.3
39.0,1.1796517413454142,1.928761628705218,4.264647094539914,10,0.3
39.5,1.3376918916874425,1.8701364795629143,4.153259311169537,10,0.3
40.0,1.246658280103268,1.7281932871703753,3.1651092594726005,10,0.2
40.5,1.3110549938084575,1.7320445149952017,3.171271223992323,10,0.2
41.0,1.2613992977079127,2.0240459498017773,4.445687304623377,10,0.3
41.5,1.4465111017177166,2.2630948243137547,4.899880166196134,10,0.3
42.0,1.4270447472197048,1.9548653173243964,4.314244102916353,10,0.3
42.5,1.0933243477309709,1.4273536654835581,2.0555597651286255,10,0.1
43.0,0.9758928990016067,1.4724189109666026,1.4724189109666026,10,0.0
43.5,1.1098635212508337,1.6856785676836952,3.0970857082939123,10,0.2
44.0,1.1941124034312989,1.7465679695914418,3.9184791422237395,10,0.3
44.5,1.2154301216264598,1.8008874223557219,4.021686102475871,10,0.3
45.0,1.2955110479907834,1.8048633004827346,4.029240270917195,10,0.3
45.5,1.2894161454282356,1.5605419396515814,2.8968671034425304,10,0.2
46.0,1.3708792186699683,1.7164914550668322,2.431438891586882,10,0.1
46.5,1.2564903138606076,1.8781435728210467,4.168472788359988,10,0.3
47.0,1.2005964738851613,1.911146748100856,4.231178821391626,10,0.3
47.5,1.192120306078985,1.9267245605738728,4.260776665090358,10,0.3
48.0,1.317193492905773,1.944133618589225,4.2938538753195274,10,0.3
48.5,1.2460111119767323,1.8709764084471812,4.154855176049644,10,0.3
49.0,1.125468155322031,1.4397141580778978,2.7035426529246367,10,0.2
49.5,1.1215244037973233,1.5438760768603317,2.870201722976531,10,0.2
50.0,1.1861009904373145,1.5280720654640219,2.844915304742435,10,0.2
50.5,1.3165392966347675,1.8982929319982709,4.206756570796714,10,0.3
51.0,1.1946363203243702,1.701318471182036,3.8325050952458684,10,0.3
51.5,1.2802178646052376,1.8352051349769445,4.086889756456194,10,0.3
52.0,1.218288343172399,1.9092258190961728,4.227529056282728,10,0.3
52.5,1.3130485739653852,2.1386594583973983,4.663452970955056,10,0.3
53.0,1.176566716747154,1.9847630581765707,4.371049810535484,10,0.3
53.5,1.1396350152023385,1.6062292840086922,2.2880980692113,10,0.1
54.0,1.3464620687128865,1.8623748421906758,4.138512200162284,10,0.3
54.5,1.3774000491880083,2.014218525562738,4.427015198569202,10,0.3
55.0,1.280230671391631,1.7671707080297732,3.957624345256569,10,0.3
55.5,1.4413617694144214,1.983341149233035,4.151529362241882,11,0.2727272727272727
56.0,1.5255449736378017,2.177426213071506,5.280072990967694,11,0.36363636363636365
56.5,1.3938005933834294,2.1327807901357367,5.186723470283813,11,0.36363636363636365
57.0,1.3690712700607985,1.9769817391495135,4.8609618182217105,11,0.36363636363636365
57.5,1.3304209931684998,1.9693005293699954,4.126000962490901,11,0.2727272727272727
58.0,1.373064048088821,1.9975539209017854,4.90397638006737,11,0.36363636363636365
58.5,1.389638052454175,2.0417640071861802,4.996415651389286,11,0.36363636363636365
59.0,1.3311561413867048,1.964019978392559,4.833859954820805,11,0.36363636363636365
59.5,1.3734785682450226,1.8123345735484517,3.840608315542639,11,0.2727272727272727
60.0,1.415926020092233,1.9739564036505108,4.134466188455474,11,0.2727272727272727
60.5,1.489449068655162,2.0923390244284183,5.102163414713965,11,0.36363636363636365
61.0,1.471227719029477,1.8918198827845314,3.9851270596082387,11,0.2727272727272727
61.5,1.3612504207502345,1.7776537664390801,3.777552302616509,11,0.2727272727272727
62.0,1.2644553776056815,1.9909997512473652,4.890272207153582,11,0.36363636363636365
62.5,1.3320535157742228,1.9575523602647622,4.10464065502684,11,0.2727272727272727
63.0,1.3751608226428962,1.8238799036320819,3.8615998247856034,11,0.2727272727272727
63.5,1.2080431913760554,1.6932131590923825,3.6240239256225135,11,0.2727272727272727
64.0,1.235418105606195,1.6894733491552563,2.3320569898339625,11,0.09090909090909091
64.5,1.199197743667768,1.5334581264321374,2.7335261953951213,11,0.18181818181818182
65.0,1.1291397196995694,1.640972418338663,2.8996846465233883,11,0.18181818181818182
65.5,1.1880652437936563,1.495743272835533,2.085491438154315,11,0.09090909090909091
66.0,1.1837093730590964,1.330589680184438,1.8752959565983756,11,0.09090909090909091
66.5,1.3707792082494334,1.864783433568888,3.93596987921616,11,0.2727272727272727
67.0,1.4941034803768696,2.196353975064546,4.538825409208266,11,0.2727272727272727
67.5,1.424309992969221,1.9703031517611724,4.1278239122930405,11,0.2727272727272727
68.0,1.4824420488109609,1.5632996661381668,2.779644938577167,11,0.18181818181818182
68.5,1.5005750142676746,1.7791598880947457,3.113247099782789,11,0.18181818181818182
69.0,1.5484533911289098,1.8049936401225284,3.153171989280271,11,0.18181818181818182
69.5,1.4684744466534874,1.4520457796699615,2.6077071140353953,11,0.18181818181818182
70.0,1.8297177074379762,1.4955244458574057,2.0852129310912435,11,0.09090909090909091
70.5,2.1186224418457984,1.889200944946955,3.283310551281658,11,0.18181818181818182
71.0,2.253886379418544,2.0223965958353545,4.22253926515519,11,0.2727272727272727
71.5,2.2368500525061985,1.5006034981731313,2.6827508608130213,11,0.18181818181818182
72.0,2.2869789176154853,1.5769205359812157,2.1888079548851835,11,0.09090909090909091
72.5,2.6502411255544516,1.748362556878334,3.724295557960607,11,0.2727272727272727
73.0,2.7145774002399006,1.8561553759768792,3.920282501776144,11,0.2727272727272727
73.5,2.3904675816153573,2.1743874092012456,5.273719128329877,11,0.36363636363636365
74.0,2.432991087788131,1.6878469012699755,2.9721270292354167,11,0.18181818181818182
