window_mid_s,score_mean,score_q70,score_mean_tau50_gate,score_q70_tau50_gate,prn_count,low_high_fraction,low_high_fraction_roll3
11.0,0.9523028882348342,1.1356506632897536,0.9523028882348342,1.1356506632897536,10,0.4,0.4
11.5,0.9040812343002582,1.0409919233199798,0.9040812343002582,1.0409919233199798,10,0.3,0.3666666666666667
12.0,0.9194581331957901,1.0527723524501316,0.9194581331957901,1.0527723524501316,10,0.3,0.3333333333333333
12.5,1.005814869129955,1.1645850584973154,1.005814869129955,1.1645850584973154,10,0.4,0.3333333333333333
13.0,1.0575930914703544,1.1673338847322348,1.0575930914703544,1.1673338847322348,10,0.5,0.39999999999999997
13.5,1.0458823966731836,1.1265757739019053,1.0458823966731836,1.1265757739019053,10,0.4,0.43333333333333335
14.0,1.1865414122709566,1.3112275935131419,1.1865414122709566,1.3112275935131419,10,0.5,0.46666666666666673
14.5,1.112555018246599,1.3086917997842729,1.112555018246599,1.3086917997842729,10,0.5,0.46666666666666673
15.0,0.9767713925927529,1.0952566239612231,0.9767713925927529,1.0952566239612231,10,0.4,0.4666666666666666
15.5,0.9203904178595106,1.082027348010643,0.9203904178595106,1.082027348010643,10,0.4,0.43333333333333335
16.0,0.9572831248734739,1.1305465529551102,0.9572831248734739,1.1305465529551102,10,0.4,0.4
16.5,1.0403436921304103,1.128469517066102,1.0403436921304103,1.128469517066102,10,0.4,0.4
17.0,1.1309081988088607,1.0783618133101993,1.1309081988088607,1.0783618133101993,10,0.5,0.43333333333333335
17.5,1.0778374518836789,1.1612067926831264,1.0778374518836789,1.1612067926831264,10,0.3,0.4000000000000001
18.0,1.0821463939277811,1.3481069950186293,1.0821463939277811,1.3481069950186293,10,0.4,0.4000000000000001
18.5,1.2493766568675433,1.4894311423577846,1.2493766568675433,1.4894311423577846,10,0.7,0.4666666666666666
19.0,1.3254155796813498,1.376936803340807,4.527553236653546,4.637465180460388,10,0.6,0.5666666666666667
19.5,1.1368427130789163,1.2327877382086745,4.301053968773616,4.512133024059084,10,0.5,0.6
20.0,1.0748636938233762,1.141268772699931,1.0748636938233762,1.141268772699931,10,0.3,0.46666666666666673
20.5,1.3084028470284825,1.6199955460891484,1.3084028470284825,1.6199955460891484,10,0.6,0.4666666666666666
21.0,1.1271802423932027,1.3705817236691364,3.7543604847864054,4.241163447338273,10,0.6,0.5
21.5,1.0900335345048506,1.2486200944439605,3.8527359713100244,4.180481528517518,10,0.4,0.5333333333333333
22.0,1.0370439130108844,1.0314070152206503,1.0370439130108844,1.0314070152206503,10,0.3,0.43333333333333335
22.5,1.0457378436536509,1.5114162991302442,1.0457378436536509,1.5114162991302442,10,0.4,0.3666666666666667
23.0,1.0012563743398841,1.2810926424602878,1.0012563743398841,1.2810926424602878,10,0.4,0.3666666666666667
23.5,1.0481124382431906,1.3449974635012596,1.0481124382431906,1.3449974635012596,10,0.4,0.4
24.0,1.0745649006128979,1.2567589285463077,1.0745649006128979,1.2567589285463077,10,0.4,0.4
24.5,1.035352752684376,1.2511513737106303,1.035352752684376,1.2511513737106303,10,0.5,0.43333333333333335
25.0,1.1456770440647435,1.5132044496571366,1.1456770440647435,1.5132044496571366,10,0.4,0.4333333333333334
25.5,1.0697362745563344,1.4844241913905822,1.0697362745563344,1.4844241913905822,10,0.4,0.43333333333333335
26.0,1.157187280168246,1.5150519174371961,1.157187280168246,1.5150519174371961,10,0.5,0.43333333333333335
26.5,1.18516638403433,1.68065260405049,1.18516638403433,1.68065260405049,10,0.5,0.46666666666666673
27.0,1.1063421080044216,1.535424577931602,3.712684216008843,4.570849155863204,10,0.5,0.5
27.5,0.9002399876173331,1.1696789994415944,0.9002399876173331,1.1696789994415944,10,0.4,0.4666666666666666
28.0,1.1235124044242795,1.1169983073663237,1.1235124044242795,1.1169983073663237,10,0.3,0.39999999999999997
28.5,1.1078053388203755,1.4061855399116574,1.1078053388203755,1.4061855399116574,10,0.4,0.3666666666666667
29.0,1.069646672468949,1.574712477267221,1.069646672468949,1.574712477267221,10,0.5,0.4000000000000001
29.5,1.1152164426866646,1.1496640044107733,1.1152164426866646,1.1496640044107733,10,0.3,0.4000000000000001
30.0,1.1849999376969687,1.3317847114171868,1.1849999376969687,1.3317847114171868,10,0.4,0.4000000000000001
30.5,1.1778451561378929,1.37130737007172,1.1778451561378929,1.37130737007172,10,0.6,0.43333333333333335
31.0,1.1104136570378715,1.328306523207634,3.894854891211601,4.34516681462911,10,0.6,0.5333333333333333
31.5,1.3771573270520503,1.3886540020378522,4.637935631044375,4.662461871014085,10,0.5,0.5666666666666668
32.0,1.3832213305357532,1.3175709997838974,4.458657416440556,4.322980066220055,10,0.5,0.5333333333333333
32.5,1.2549905856563477,1.200603570749906,1.2549905856563477,1.200603570749906,10,0.4,0.4666666666666666
33.0,1.1473434107525429,1.2787573137817871,1.1473434107525429,1.2787573137817871,10,0.4,0.43333333333333335
33.5,1.1641404897034047,1.3109988586850512,1.1641404897034047,1.3109988586850512,10,0.5,0.43333333333333335
34.0,1.130013002392505,1.4465421886919292,1.130013002392505,1.4465421886919292,10,0.5,0.4666666666666666
34.5,1.15878409010661,1.347693353892582,3.994820452886994,4.3852329313780025,10,0.6,0.5333333333333333
35.0,1.1913956341103618,1.7232165138765,4.062217643828081,5.1613141286781,10,0.5,0.5333333333333333
35.5,0.9464964525843312,1.1109089086563735,0.9464964525843312,1.1109089086563735,10,0.3,0.4666666666666666
36.0,0.9221461000513184,1.0505284174746647,0.9221461000513184,1.0505284174746647,10,0.3,0.3666666666666667
36.5,1.2677945663834764,1.5110118884225059,1.2677945663834764,1.5110118884225059,10,0.4,0.3333333333333333
37.0,1.3050122878660164,1.5404492613494836,1.3050122878660164,1.5404492613494836,10,0.4,0.3666666666666667
37.5,1.1087791507867246,1.5683182083046028,1.1087791507867246,1.5683182083046028,10,0.4,0.4
38.0,1.1166041043126098,1.6701612340838072,1.1166041043126098,1.6701612340838072,10,0.5,0.43333333333333335
38.5,1.2564758968600178,1.756227120493513,1.2564758968600178,1.756227120493513,10,0.4,0.43333333333333335
39.0,1.0203279474270135,1.4109981468573334,1.0203279474270135,1.4109981468573334,10,0.4,0.43333333333333335
39.5,1.0990671669337786,1.7356875217399956,1.0990671669337786,1.7356875217399956,10,0.5,0.43333333333333335
40.0,1.1740184838623895,1.8065839985466274,1.1740184838623895,1.8065839985466274,10,0.5,0.4666666666666666
40.5,1.2230485480514888,1.6870615202164498,3.9460970961029775,4.8741230404329,10,0.5,0.5
41.0,1.27639194018487,1.599413233040934,1.27639194018487,1.599413233040934,10,0.4,0.4666666666666666
41.5,1.4096406547579996,1.8077944876087393,1.4096406547579996,1.8077944876087393,10,0.5,0.4666666666666666
42.0,1.2610519739822865,1.5119777912018388,4.022103947964573,4.523955582403678,10,0.6,0.5
42.5,1.12430294807749,1.3908473705835267,3.9235594260268125,4.474417899205955,10,0.5,0.5333333333333333
43.0,1.0884608773678202,1.4875606566845605,3.849485813226828,4.674292023814758,10,0.5,0.5333333333333333
43.5,1.0458194415000872,1.303730507092256,3.5916388830001744,4.107461014184512,10,0.5,0.5
44.0,1.10685178004058,1.2885741360426683,1.10685178004058,1.2885741360426683,10,0.4,0.4666666666666666
44.5,1.0024412357456638,1.0687734802933107,1.0024412357456638,1.0687734802933107,10,0.3,0.39999999999999997
45.0,1.0166610008949266,1.1016005290805106,1.0166610008949266,1.1016005290805106,10,0.3,0.3333333333333333
45.5,1.1240412961898218,1.1228280414441492,1.1240412961898218,1.1228280414441492,10,0.5,0.3666666666666667
46.0,1.2648318584758003,1.2991723801722932,1.2648318584758003,1.2991723801722932,10,0.4,0.39999999999999997
46.5,1.1519552633534638,1.204474933038407,1.1519552633534638,1.204474933038407,10,0.3,0.39999999999999997
47.0,1.1075514601795768,1.2373454506710937,1.1075514601795768,1.2373454506710937,10,0.6,0.43333333333333335
47.5,1.0879224237335088,1.5552727386718461,1.0879224237335088,1.5552727386718461,10,0.4,0.43333333333333335
48.0,1.2271042053428958,1.559303203348015,3.9542084106857915,4.6186064066960295,10,0.5,0.5
48.5,1.2959677798611264,1.2809090907407188,4.278333411712994,4.247212120864152,10,0.7,0.5333333333333333
49.0,1.0149828754894223,1.2393285831564382,3.6976312760114727,4.161279071856638,10,0.4,0.5333333333333333
49.5,1.0031943348883454,1.2244486099551066,3.5063886697766913,3.9488972199102137,10,0.4,0.5000000000000001
50.0,1.1618702721272538,1.2134833989654992,1.1618702721272538,1.2134833989654992,10,0.4,0.4
50.5,1.2373542235358308,1.4957198352123975,1.2373542235358308,1.4957198352123975,10,0.5,0.4333333333333334
51.0,1.1233746958905058,1.2559764477806743,1.1233746958905058,1.2559764477806743,10,0.4,0.4333333333333334
51.5,1.298159504199689,1.5782518727813457,4.096319008399378,4.656503745562691,10,0.6,0.5
52.0,1.0681696328780073,1.307655057760938,3.6363392657560145,4.115310115521876,10,0.5,0.5
52.5,1.0357825777987846,1.2970530233934607,3.7406173274508214,4.280576248346485,10,0.5,0.5333333333333333
53.0,1.1204591577795608,1.1921078954552262,1.1204591577795608,1.1921078954552262,10,0.4,0.46666666666666673
53.5,1.1395691161497161,1.4002542842556032,1.1395691161497161,1.4002542842556032,10,0.5,0.46666666666666673
54.0,1.276444487056656,1.2498408094265379,1.276444487056656,1.2498408094265379,10,0.5,0.46666666666666673
54.5,1.38941564420326,1.5308192579853654,4.47145899802007,4.763693133169755,10,0.6,0.5333333333333333
55.0,1.2696448471015085,1.2632545977197276,4.2239326840097835,4.21072616862077,10,0.5,0.5333333333333333
55.5,1.2516430407766934,1.4248976415128365,4.270112073386278,4.633421720990554,11,0.5454545454545454,0.5484848484848485
56.0,1.2741273751240938,1.5701630886847777,4.21638368207389,4.826396667592875,11,0.5454545454545454,0.5303030303030303
56.5,1.3153206395965567,1.8160876723477246,4.386579519156436,5.433637860363424,11,0.5454545454545454,0.5454545454545454
57.0,1.2361577364986167,1.471531782265074,4.386884827012175,4.893295652752129,11,0.6363636363636364,0.5757575757575758
57.5,1.1676687181325607,1.3998943164816886,4.40120655829324,4.914917730398887,11,0.6363636363636364,0.6060606060606061
58.0,1.3190468776103013,1.3855780881858448,5.248627373673145,5.407899059596415,11,0.8181818181818182,0.6969696969696969
58.5,1.347284938842716,1.6374835928938478,5.661353027998347,6.391246612429981,11,0.8181818181818182,0.7575757575757577
59.0,1.327800858453329,1.7119544347102973,5.612347613685646,6.578552063059233,11,0.6363636363636364,0.7575757575757577
59.5,1.2766211420511981,1.4760483199687031,5.315342803216577,5.804845876286816,11,0.7272727272727273,0.7272727272727272
60.0,1.2921659841013773,1.6992953667392146,5.015053962903213,5.9650225223915,11,0.6363636363636364,0.6666666666666666
60.5,1.3361686028361686,1.6387222888374158,5.11772673995106,5.823685340620637,11,0.6363636363636364,0.6666666666666666
61.0,1.201346144988202,1.3722461431229163,4.639423056791368,5.027832143461174,11,0.6363636363636364,0.6363636363636364
61.5,1.1752526498189046,1.3743575446217202,4.742256182910777,5.206834270784014,11,0.7272727272727273,0.6666666666666666
62.0,1.188717674794617,1.5134469493594682,4.4477694018183955,5.166109918280036,11,0.45454545454545453,0.6060606060606061
62.5,1.242725044948816,1.2279939516505913,4.068562970047596,4.038654386684534,11,0.36363636363636365,0.5151515151515152
63.0,1.2669128157381382,1.4784121402588002,1.2669128157381382,1.4784121402588002,11,0.45454545454545453,0.4242424242424243
63.5,1.1582563242674617,1.4179455542966364,1.1582563242674617,1.4179455542966364,11,0.45454545454545453,0.42424242424242425
64.0,1.1981772081462365,1.3056603448581916,3.9781173619938746,4.1963407001666315,11,0.6363636363636364,0.5151515151515152
64.5,1.1366981290078302,1.2423825160958846,3.8532962013189285,4.067867532679523,11,0.45454545454545453,0.5151515151515152
65.0,1.0910264523413185,1.3086042748273081,3.760568857783889,4.202317770103928,11,0.45454545454545453,0.5151515151515151
65.5,1.18762460785491,1.3352885251301079,1.18762460785491,1.3352885251301079,11,0.5454545454545454,0.48484848484848486
66.0,1.1373376897630882,1.1087205631715455,1.1373376897630882,1.1087205631715455,11,0.36363636363636365,0.4545454545454546
66.5,1.2245937821239368,1.2935909376276111,1.2245937821239368,1.2935909376276111,11,0.45454545454545453,0.4545454545454546
67.0,1.3378618966220328,1.5093915138885947,1.3378618966220328,1.5093915138885947,11,0.36363636363636365,0.39393939393939403
67.5,1.2970315293548687,1.2969752984188256,1.2970315293548687,1.2969752984188256,11,0.45454545454545453,0.4242424242424243
