run,elapsed_s,state,raw_fd,raw_fd_position,max_raw_fd_position,dump_count,dump_bytes,rchar,wchar,read_bytes,write_bytes,signal
C1,12.073857,running,27,2414084096,2414084096,10,0,2414397334,73232,0,94208,
C1,12.576161,running,27,2492780544,2492780544,10,0,2493163414,73232,0,94208,
C1,13.078849,running,27,2571194368,2571194368,10,0,2571605910,73232,0,94208,
C1,13.582262,running,27,2635816960,2635816960,10,0,2636261270,73232,0,94208,
C1,14.084715,running,27,2760069120,2760069120,10,0,2760255382,73232,0,94208,
C1,14.587114,running,27,2871492608,2871492608,10,0,2871932822,73232,0,94208,
C1,15.089574,running,27,3006824448,3006824448,10,106496,3007408022,187920,0,94208,
C1,15.597176,running,27,3066437632,3066437632,10,2670592,3067525014,2743824,0,94208,
C1,16.105339,running,27,3128987648,3128987648,10,5267840,3129825174,5349264,0,94208,
C1,16.61221,running,27,3191169024,3191169024,10,7848320,3192256406,7929744,0,94208,
C1,17.120598,running,27,3254222848,3254222848,10,10476416,3255138198,10557840,0,94208,
C1,17.628283,running,27,3316350976,3316350976,10,13096320,3317307286,13169552,0,94208,
C1,18.136579,running,27,3373436928,3373436928,10,15496576,3374225302,15569808,0,94208,
C1,18.643666,running,27,3426168832,3426168832,10,17690496,3426854806,17763728,0,94208,
C1,19.152572,running,27,3486908416,3486908416,10,20197248,3487819670,20286864,0,94208,
C1,19.660701,running,27,3547930624,3547930624,10,22735232,3548977046,22808464,0,94208,
C1,20.169568,running,27,3609460736,3609460736,10,25256832,3610347414,25346448,0,94208,
C1,20.67712,running,27,3670761472,3670761472,10,27837312,3671820182,27959696,0,94208,
C1,21.186392,running,27,3734056960,3734056960,10,30489984,3734869910,30563216,0,94208,
C1,21.693274,running,27,3796357120,3796357120,10,33037760,3797141398,33160080,0,94208,
C1,22.199653,running,27,3849654272,3849654272,10,35248000,3850700694,35345808,0,94208,
C1,22.707926,running,27,3911655424,3911655424,10,37851520,3912730518,37990288,0,94208,
C1,23.216557,running,27,3974234112,3974234112,10,40432000,3974838166,40505232,0,94208,
C1,23.723481,running,27,4034965504,4034965504,10,42969984,4036056982,43059600,0,94208,
C1,24.231847,running,27,4100263936,4100263936,10,45727680,4101179286,45820560,0,94208,
C1,24.739836,running,27,4164894720,4164894720,10,48419264,4166096790,48526224,0,102400,
C1,25.249225,running,27,4231364608,4231364608,10,51134336,4232378262,51236240,0,102400,
C1,25.756903,running,27,4299509760,4299509760,10,53985152,4300552086,54070672,0,102400,
C1,26.264563,running,27,4368322560,4368322560,10,56826240,4369278870,56911760,0,102400,
C1,26.771576,running,27,4436963328,4436963328,10,59691904,4437952406,59777424,0,102400,
C1,27.278898,running,27,4500000000,4500000000,10,62337920,4500186262,62415248,0,102400,
C1,27.787158,running,27,4500000000,4500000000,10,62337920,4500186262,62415248,0,102400,
C1,28.292923,running,27,4500000000,4500000000,10,62337920,4500186262,62415248,0,102400,
C1,28.800999,running,27,4500000000,4500000000,10,62337920,4500186262,62415248,0,102400,
C1,29.305295,running,27,4500000000,4500000000,10,62337920,4500186262,62415248,0,102400,
C1,29.8079,running,27,4500000000,4500000000,10,62337920,4500186262,62415248,0,102400,
C1,30.312892,running,27,4500000000,4500000000,10,62337920,4500186262,62415248,0,102400,
C1,30.818608,running,27,4500000000,4500000000,10,62337920,4500186262,62415248,0,102400,
