scenario,family,method,budget,roc_auc,pr_auc,normalized_partial_auc_fpr_0_05,clean_holdout_fpr,strict_external_pre_onset_fpr,attack_detection_rate,first_alarm_delay_s,sustained_alarm_fraction,tracked_prn_count_min,evaluation_epochs,correlator_count,ds4_full_recording,status
ds4,ds4,learned_fixed,5,0.02604166666666667,0.3848532947567979,0.48717948717948717,0.0,0.0,0.0,,0.0,10,28,5,False,TRANSITION_ONLY
ds4,ds4,learned_fixed,9,0.026041666666666664,0.3850345371255403,0.48717948717948717,0.0,0.0,0.0,,0.0,10,28,9,False,TRANSITION_ONLY
ds4,ds4,learned_fixed,16,0.05208333333333334,0.3899208426092723,0.48717948717948717,0.0,0.0,0.0,,0.0,10,28,16,False,TRANSITION_ONLY
ds4,ds4,previous_acaf_r1_proxy,187,0.953125,0.9775,0.9679487179487178,0.08333333333333333,0.08333333333333333,0.9375,0.1945079040000195,0.9375,10,28,187,False,TRANSITION_ONLY
ds4,ds4,prompt_magnitude_only,0,0.9895833333333334,0.9930555555555556,0.9679487179487178,0.0,0.0,0.0,,0.0,10,28,0,False,TRANSITION_ONLY
ds4,ds4,random_fixed,3,0.7447916666666666,0.7906783268356159,0.5512820512820513,0.3333333333333333,0.5,0.8125,0.1945079040000195,0.8125,10,28,3,False,TRANSITION_ONLY
ds4,ds4,random_fixed,5,0.6614583333333333,0.7429756525462543,0.5512820512820513,0.16666666666666666,0.25,0.5,0.1945079040000195,0.5,10,28,5,False,TRANSITION_ONLY
ds4,ds4,random_fixed,9,1.0,1.0,1.0,0.16666666666666666,0.0,1.0,0.02820790800001305,1.0,10,28,9,False,TRANSITION_ONLY
ds4,ds4,random_fixed,16,0.9791666666666667,0.9875,0.9679487179487178,0.08333333333333333,0.0,0.9375,0.1945079040000195,0.9375,10,28,16,False,TRANSITION_ONLY
ds4,ds4,raw_power_only,0,0.984375,0.9901315789473684,0.9679487179487178,0.08333333333333333,0.0,0.0,,0.0,10,28,0,False,TRANSITION_ONLY
ds4,ds4,uniform_fixed,3,0.03645833333333334,0.38789957955859744,0.48717948717948717,0.0,0.16666666666666666,0.0,,0.0,10,28,3,False,TRANSITION_ONLY
ds4,ds4,uniform_fixed,5,0.13020833333333334,0.4098427478272091,0.48717948717948717,0.0,0.08333333333333333,0.0,,0.0,10,28,5,False,TRANSITION_ONLY
ds4,ds4,uniform_fixed,9,0.16145833333333334,0.4167296313685044,0.48717948717948717,0.08333333333333333,0.25,0.0,,0.0,10,28,9,False,TRANSITION_ONLY
ds4,ds4,uniform_fixed,16,0.15104166666666669,0.4140977146740877,0.48717948717948717,0.08333333333333333,0.25,0.0,,0.0,10,28,16,False,TRANSITION_ONLY
ds7,ds7_ds8,active_adaptive,3,0.6708333333333334,0.9272103514403858,0.7542735042735043,0.0,0.0,0.3125,86.07691134800001,0.3125,9,58,3,True,PASS
ds7,ds7_ds8,active_adaptive,5,0.65625,0.9238129668288801,0.7222222222222222,0.0,0.0,0.3125,86.07691134800001,0.3125,9,58,5,True,PASS
ds7,ds7_ds8,active_adaptive,9,0.65625,0.9267050818281264,0.7649572649572649,0.0,0.0,0.375,21.999599447999998,0.375,9,58,9,True,PASS
ds7,ds7_ds8,active_adaptive,16,0.6812499999999999,0.9328066815248631,0.7649572649572649,0.0,0.0,0.3958333333333333,0.012295756000000324,0.3958333333333333,9,58,16,True,PASS
ds7,ds7_ds8,active_context,9,0.5395833333333333,0.8862282646101551,0.6581196581196581,0.4166666666666667,0.4,0.4166666666666667,0.9960959280000026,0.4166666666666667,9,58,9,True,PASS
ds7,ds7_ds8,active_magnitude,3,0.3041666666666667,0.7792334322143207,0.5192307692307693,0.0,0.0,0.020833333333333332,30.07040083999999,0.020833333333333332,9,58,3,True,PASS
ds7,ds7_ds8,active_magnitude,5,0.26666666666666666,0.7589574366953946,0.5085470085470085,0.0,0.0,0.0,,0.0,9,58,5,True,PASS
ds7,ds7_ds8,active_magnitude,9,0.27708333333333335,0.7725508235069956,0.5192307692307693,0.0,0.0,0.0,,0.0,9,58,9,True,PASS
