scenario,family,phase,time_s,method,budget,tracked_prn_count,used_prn_count,prn_scores_json,pooled_score,calibrated_score
ds7,ds7_ds8,strict_pre,103.027394648,random_fixed,9,10,10,"{""10"": -3.6451441745448943, ""13"": -3.8297000004844475, ""16"": -3.8164759735210256, ""19"": -3.7038886894798413, ""20"": -3.3489041429089332, ""23"": -3.813565173989714, ""3"": -3.8269183381591625, ""30"": -3.005565581437441, ""6"": -3.819251438963714, ""7"": -3.971082057009788}",-3.81502057375537,0.4266057315948854
ds7,ds7_ds8,strict_pre,103.027394648,random_fixed,16,10,10,"{""10"": -4.588406188654208, ""13"": -4.775897185250503, ""16"": -4.743099876066154, ""19"": -4.65637153288294, ""20"": -4.343278601592223, ""23"": -4.724463860452451, ""3"": -4.759202611270766, ""30"": -3.7621339286883138, ""6"": -4.738535281824787, ""7"": -4.855064452892602}",-4.7314995711386185,0.008244140156341537
ds7,ds7_ds8,strict_pre,103.027394648,raw_power_only,0,10,10,"{""10"": 5554079.935088, ""13"": 5539119.614151999, ""16"": 5558093.21665, ""19"": 5557187.554186, ""20"": 5538482.315038, ""23"": 5554894.996962001, ""3"": 5559283.1996760005, ""30"": 5525879.56315, ""6"": 5559934.332682, ""7"": 5559367.446368}",5556041.275574001,0.2211658090603309
ds7,ds7_ds8,strict_pre,103.027394648,uniform_fixed,3,10,10,"{""10"": 2.798207654645973, ""13"": 3.3453734423201973, ""16"": 4.167751018942945, ""19"": 5.320033659107292, ""20"": 2.5959664929836035, ""23"": 4.238375919632137, ""3"": 3.6635529316351345, ""30"": 3.5407084323661135, ""6"": 4.028920911481555, ""7"": 2.302919551904463}",3.602130682000624,-0.07279521159222475
ds7,ds7_ds8,strict_pre,103.027394648,uniform_fixed,5,10,10,"{""10"": 2.011289025136425, ""13"": 2.394648970007612, ""16"": 3.389601644054911, ""19"": 3.7318579384946533, ""20"": 0.5850976168534832, ""23"": 3.120354767789752, ""3"": 2.556629785176817, ""30"": 1.6665690617046736, ""6"": 2.8774664788237763, ""7"": 1.1472369892422534}",2.4756393775922145,-0.6177289048895046
ds7,ds7_ds8,strict_pre,103.027394648,uniform_fixed,9,10,10,"{""10"": 0.40354253913896954, ""13"": 0.4072445765856133, ""16"": 0.9551984567158789, ""19"": 1.1626305179756677, ""20"": -0.539240698459328, ""23"": 0.8204908674639844, ""3"": 0.4488872656061447, ""30"": 0.07143299354020854, ""6"": 0.7186628188389154, ""7"": -0.4449285160491233}",0.42806592109587904,-0.7090360132756451
ds7,ds7_ds8,strict_pre,103.027394648,uniform_fixed,16,10,10,"{""10"": -2.6015983708094637, ""13"": -2.6304868068395257, ""16"": -2.353254838802255, ""19"": -2.2023182990202614, ""20"": -3.036578826420676, ""23"": -2.41879051763193, ""3"": -2.6069410397951014, ""30"": -2.4326277517591572, ""6"": -2.438781994374427, ""7"": -3.1132524485884354}",-2.5201901825919455,0.7028667957444789
ds7,ds7_ds8,strict_pre,103.995594748,active_adaptive,3,10,10,"{""10"": 2.813260098689374, ""13"": 1.2776901651095633, ""16"": 3.654707533885702, ""19"": 2.723439668117494, ""20"": 3.7010142338394694, ""23"": 3.322466378020296, ""3"": 3.578613220978873, ""30"": 3.1838431626843, ""6"": 3.046250179920269, ""7"": 2.314306386534539}",3.1150466713022844,0.603526138839748
ds7,ds7_ds8,strict_pre,103.995594748,active_adaptive,5,10,10,"{""10"": 0.8544863598284301, ""13"": -0.25005641482846563, ""16"": 1.8925493251976895, ""19"": 1.0822525713351692, ""20"": 1.5911329069288118, ""23"": 1.6369474845690177, ""3"": 1.913109974250696, ""30"": 1.5976924349252397, ""6"": 1.3757074150791297, ""7"": 0.5037409157512467}",1.4834201610039708,0.9332996201293958
ds7,ds7_ds8,strict_pre,103.995594748,active_adaptive,9,10,10,"{""10"": -1.1895293518061396, ""13"": -1.9356206780147944, ""16"": -0.22656997691822514, ""19"": -0.9116304483703003, ""20"": -0.7498751627396557, ""23"": -0.45598532510781314, ""3"": -0.24206559134012848, ""30"": -0.4903632393123891, ""6"": -0.713921762853967, ""7"": -1.5056636855996979}",-0.7318984627968114,0.37741605257854943
ds7,ds7_ds8,strict_pre,103.995594748,active_adaptive,16,10,10,"{""10"": -2.5952278584362354, ""13"": -3.1859845909339186, ""16"": -1.95958492615735, ""19"": -2.3926641120472696, ""20"": -2.3775203207696856, ""23"": -2.1154889197880675, ""3"": -1.9490655722051564, ""30"": -2.2794675979907284, ""6"": -2.3482188546111598, ""7"": -2.9117840079479587}",-2.3628695876904224,0.3318370533857182
ds7,ds7_ds8,strict_pre,103.995594748,active_context,9,10,10,"{""10"": -2.6075806659023506, ""13"": -1.7070363027933873, ""16"": -1.5299846997120077, ""19"": -1.2804611406057127, ""20"": -1.769170191144915, ""23"": -1.1684700427172237, ""3"": -1.9818096040804523, ""30"": -3.6586536925129582, ""6"": -1.6174334953384575, ""7"": -2.958598294448738}",-1.738103246969151,1.8721691030081093
ds7,ds7_ds8,strict_pre,103.995594748,active_magnitude,3,10,10,"{""10"": 2.4843315072172234, ""13"": 2.3242529907186142, ""16"": 2.5940370516504205, ""19"": 2.420974076366131, ""20"": 2.436566586706112, ""23"": 2.68888724746949, ""3"": 2.6120492613773023, ""30"": 2.435425932388813, ""6"": 2.7167554570710872, ""7"": 2.5377661485036667}",2.511048827860445,0.49385414550787887
ds7,ds7_ds8,strict_pre,103.995594748,active_magnitude,5,10,10,"{""10"": 2.2366202410170084, ""13"": 2.1065635854203295, ""16"": 2.422218601672718, ""19"": 2.206129996385805, ""20"": 2.1561315670138255, ""23"": 2.4570605684875813, ""3"": 2.4076923333451874, ""30"": 2.3165256204359714, ""6"": 2.477154528078072, ""7"": 2.254058046643951}",2.2852918335399615,0.12081465836966412
ds7,ds7_ds8,strict_pre,103.995594748,active_magnitude,9,10,10,"{""10"": 1.8562691053219993, ""13"": 1.7428284057919594, ""16"": 2.0133379799932296, ""19"": 1.8541005302136853, ""20"": 1.759126469281845, ""23"": 2.0337979954504886, ""3"": 1.98988258635125, ""30"": 1.8333662685109475, ""6"": 2.062561721238551, ""7"": 1.7987820822314506}",1.8551848177678423,-0.8701644618202354
ds7,ds7_ds8,strict_pre,103.995594748,active_no_context,9,10,10,"{""10"": -1.1895293518061396, ""13"": -1.9356206780147944, ""16"": -0.22656997691822514, ""19"": -0.9116304483703003, ""20"": -0.7498751627396557, ""23"": -0.45598532510781314, ""3"": -0.24206559134012848, ""30"": -0.4903632393123891, ""6"": -0.713921762853967, ""7"": -1.5056636855996979}",-0.7318984627968114,0.37741605257854943
