scenario,phase,method,budget,n,mean_score,alarm_fraction,tracked_prn_min
ds8,injection_takeover,previous_acaf_r1_proxy,187,24,1.1968972545753493,0.375,10
ds8,injection_takeover,prompt_magnitude_only,0,24,1.4806251524224496,0.375,10
ds8,injection_takeover,random_fixed,3,24,1.0406452031565498,0.4583333333333333,10
ds8,injection_takeover,random_fixed,5,24,2.4205706665884024,0.2916666666666667,10
ds8,injection_takeover,random_fixed,9,24,0.5002859280709152,0.125,10
ds8,injection_takeover,random_fixed,16,24,0.71005227550268,0.16666666666666666,10
ds8,injection_takeover,raw_power_only,0,24,4.8945195632963765,0.8333333333333334,10
ds8,injection_takeover,uniform_fixed,3,24,0.133876462682166,0.08333333333333333,10
ds8,injection_takeover,uniform_fixed,5,24,0.4238768624196696,0.041666666666666664,10
ds8,injection_takeover,uniform_fixed,9,24,0.274573818936692,0.125,10
ds8,injection_takeover,uniform_fixed,16,24,0.348650282513759,0.16666666666666666,10
ds8,strict_pre,active_adaptive,3,10,-0.37279529164042524,0.0,11
ds8,strict_pre,active_adaptive,5,10,-0.3545500295969046,0.0,11
ds8,strict_pre,active_adaptive,9,10,-0.32040257438225445,0.0,11
ds8,strict_pre,active_adaptive,16,10,-0.14888790673834268,0.0,11
ds8,strict_pre,active_context,9,10,0.961682092000957,0.3,11
ds8,strict_pre,active_magnitude,3,10,-0.660486819665274,0.0,11
ds8,strict_pre,active_magnitude,5,10,-0.544748669896844,0.0,11
ds8,strict_pre,active_magnitude,9,10,-0.8294849301791235,0.0,11
ds8,strict_pre,active_no_context,9,10,-0.32040257438225445,0.0,11
ds8,strict_pre,analytic_two_source_glrt,187,10,0.44746625260537537,0.0,11
ds8,strict_pre,dense_nf,187,10,1.7595199422486913,0.3,11
ds8,strict_pre,dense_one_source_residual,187,10,0.5342534952858772,0.0,11
ds8,strict_pre,epl_3,3,10,-0.23079063775515624,0.0,11
ds8,strict_pre,epl_3_complex,3,10,0.3883625848680107,0.0,11
ds8,strict_pre,fixed_9_delay_tap_complex,9,10,1.6009368804812343,0.0,11
ds8,strict_pre,fixed_delay_9,9,10,0.27231006335517455,0.0,11
ds8,strict_pre,learned_fixed,3,10,-0.37279529164042524,0.0,11
ds8,strict_pre,learned_fixed,5,10,-0.3545500295969046,0.0,11
ds8,strict_pre,learned_fixed,9,10,-0.32040257438225445,0.0,11
ds8,strict_pre,learned_fixed,16,10,-0.18398439226644867,0.0,11
ds8,strict_pre,previous_acaf_r1_proxy,187,10,0.42258939085110825,0.0,11
ds8,strict_pre,prompt_magnitude_only,0,10,0.1615017764538122,0.0,11
ds8,strict_pre,random_fixed,3,10,0.5245247505476355,0.3,11
ds8,strict_pre,random_fixed,5,10,3.6442203716153694,0.4,11
ds8,strict_pre,random_fixed,9,10,1.7861049423790931,0.3,11
ds8,strict_pre,random_fixed,16,10,1.1559887518266103,0.0,11
ds8,strict_pre,raw_power_only,0,10,-0.38463081988659376,0.0,11
ds8,strict_pre,uniform_fixed,3,10,0.42768188510834904,0.2,11
ds8,strict_pre,uniform_fixed,5,10,1.1753481804544261,0.0,11
ds8,strict_pre,uniform_fixed,9,10,1.1770021473312284,0.2,11
ds8,strict_pre,uniform_fixed,16,10,1.346864500255751,0.3,11
