prn_count,trial,primary_pre_bin_count,primary_post_bin_count,legacy_pre_raw_alarm_rate,partial_f_pre_raw_alarm_rate,legacy_pre_persistent_alarm_rate,partial_f_pre_persistent_alarm_rate,pre_median_residual,pre_median_partial_f_p_value,pre_median_design_condition_number,legacy_ds7_persistent_detection,legacy_ds7_detection_delay_s,partial_f_ds7_persistent_detection,partial_f_ds7_detection_delay_s,partial_f_specificity_gate_passed
7,46,60,161,0.3333333333333333,0.13333333333333333,0.16666666666666666,0.06666666666666667,0.4524523353643818,0.4395548353872062,5.771046542046121,True,18.0,True,122.0,False
7,47,60,161,0.31666666666666665,0.06666666666666667,0.13333333333333333,0.0,0.4922385496801084,0.4901187882599273,10.203755883205217,True,42.0,True,164.0,True
7,48,60,161,0.25,0.06666666666666667,0.1,0.0,0.5129604771949509,0.516499024042365,9.795113100862913,True,61.0,True,133.0,True
7,49,60,161,0.2833333333333333,0.1,0.11666666666666667,0.0,0.5289442202659977,0.5368158012765865,9.592560827975902,True,21.0,True,133.0,True
7,50,60,161,0.2833333333333333,0.06666666666666667,0.1,0.016666666666666666,0.4842639407225863,0.4799675956785586,9.999919282734632,True,31.0,True,135.0,True
7,51,60,161,0.31666666666666665,0.06666666666666667,0.13333333333333333,0.0,0.4922385496801085,0.4901187882599274,10.204956232447147,True,32.0,True,164.0,True
7,52,60,161,0.35,0.13333333333333333,0.16666666666666666,0.06666666666666667,0.4524523353643818,0.4395548353872062,5.77104654204612,True,19.0,True,122.0,False
7,53,60,161,0.38333333333333336,0.08333333333333333,0.31666666666666665,0.0,0.4166822909712744,0.3944112989902376,7.497519164048651,True,16.0,True,123.0,True
7,54,60,161,0.36666666666666664,0.03333333333333333,0.21666666666666667,0.0,0.41607329477554406,0.39364529263978815,6.586168965273303,True,40.0,True,167.0,True
7,55,60,161,0.36666666666666664,0.08333333333333333,0.2833333333333333,0.0,0.3824743179064466,0.351761784247713,5.087734901212165,True,41.0,True,131.0,True
7,56,60,161,0.35,0.08333333333333333,0.25,0.0,0.47023267128576585,0.46212146298073903,5.699742875530779,True,31.0,True,119.0,True
7,57,60,161,0.43333333333333335,0.08333333333333333,0.3,0.0,0.3774083271638742,0.3454930058121456,4.960822881547013,True,18.0,True,133.0,True
7,58,60,161,0.3,0.08333333333333333,0.0,0.0,0.4450725030847795,0.4302376039198973,13.091571012288203,True,19.0,True,141.0,True
7,59,60,161,0.3,0.06666666666666667,0.13333333333333333,0.0,0.46979313426252073,0.46157185089423003,5.947664122177769,True,19.0,True,168.0,True
7,60,60,161,0.38333333333333336,0.08333333333333333,0.31666666666666665,0.0,0.407949131098739,0.3834710506948389,7.497519164048646,True,16.0,True,123.0,True
7,61,60,161,0.3333333333333333,0.06666666666666667,0.2,0.0,0.4893130587966401,0.4863947801881568,7.836185057215877,True,21.0,True,135.0,True
7,62,60,161,0.38333333333333336,0.1,0.25,0.0,0.4588934778755216,0.4477244629179695,4.972617274237878,True,16.0,True,131.0,True
7,63,60,161,0.4,0.05,0.3,0.0,0.4751091954529657,0.46832264325212947,5.550972286474828,True,19.0,True,40.0,True
8,0,60,161,0.21666666666666667,0.08333333333333333,0.11666666666666667,0.0,0.5153145841513067,0.401749907382853,6.810871083571541,True,23.0,True,23.0,True
8,1,60,161,0.18333333333333332,0.016666666666666666,0.0,0.0,0.5452635579333811,0.4425693422321596,8.057435931579612,True,20.0,True,133.0,True
8,2,60,161,0.21666666666666667,0.1,0.1,0.0,0.5873416892925427,0.5013779014019208,8.888069927022592,True,23.0,True,132.0,True
8,3,60,161,0.2,0.06666666666666667,0.0,0.0,0.5754003864346602,0.4845308575086743,5.915938799674959,True,40.0,True,133.0,True
8,4,60,161,0.25,0.08333333333333333,0.11666666666666667,0.0,0.558404465018949,0.4608831346181704,6.1736198698962514,True,20.0,True,127.0,True
8,5,60,161,0.2,0.08333333333333333,0.016666666666666666,0.0,0.5536943187036362,0.4542107748125557,6.40131848882153,True,75.0,True,127.0,True
8,6,60,161,0.21666666666666667,0.1,0.1,0.0,0.5873416892925425,0.5013779014019207,8.888069927022585,True,100.0,True,132.0,True
8,7,60,161,0.21666666666666667,0.08333333333333333,0.03333333333333333,0.0,0.48810718541451603,0.3656116435091078,5.84785652944546,True,23.0,True,25.0,True
8,8,60,161,0.21666666666666667,0.11666666666666667,0.016666666666666666,0.0,0.5151988429754149,0.4016007482847577,7.643163546531348,True,20.0,True,101.0,True
8,9,60,161,0.25,0.11666666666666667,0.11666666666666667,0.0,0.6021906612058631,0.5224535436960849,8.113431424414772,True,73.0,True,100.0,True
