track,fold,experiment,model,view,training_view,train_count,test_count,train_spoof_count,train_prn_count,test_spoof_count,test_prn_count,train_block_count,test_block_count,scaler_fit_sample_count,threshold,auroc,auprc,balanced_accuracy,tpr_at_5pct_fpr,spoof_recall,prn_false_positive_rate,tn,fp,fn,tp
A,2,stress_cross_apply,M2R,channel_permutation,actual,96,64,28,68,32,32,5,2,96,0.5,0.6640625,0.8090810000635633,0.703125,0.625,0.625,0.21875,25,7,12,20
A,2,stress_cross_apply,M3,channel_permutation,actual,96,64,28,68,32,32,5,2,96,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0,32,0,32
A,2,stress_cross_apply,M2,one_channel_ablation,actual,96,64,28,68,32,32,5,2,96,0.5,0.57666015625,0.5515243961839514,0.5,0.0,0.0,0.0,32,0,32,0
A,2,stress_cross_apply,M2R,one_channel_ablation,actual,96,64,28,68,32,32,5,2,96,0.5,0.9736328125,0.9856991525423728,0.5,0.96875,1.0,1.0,0,32,0,32
A,2,stress_cross_apply,M3,one_channel_ablation,actual,96,64,28,68,32,32,5,2,96,0.5,0.5771484375,0.5379301652800605,0.5,0.03125,1.0,1.0,0,32,0,32
A,3,actual_oof,M0,actual,actual,121,64,53,68,32,32,5,2,121,0.5,1.0,1.0,1.0,1.0,1.0,0.0,32,0,0,32
A,3,actual_oof,M1,actual,actual,121,64,53,68,32,32,5,2,121,0.5,1.0,1.0,1.0,1.0,1.0,0.0,32,0,0,32
A,3,actual_oof,M2,actual,actual,121,64,53,68,32,32,5,2,121,0.5,1.0,1.0,0.5,1.0,0.0,0.0,32,0,32,0
A,3,actual_oof,M2R,actual,actual,121,64,53,68,32,32,5,2,121,0.5,0.0,0.31460429173075105,0.328125,0.0,0.0,0.34375,21,11,32,0
A,3,actual_oof,M3,actual,actual,121,64,53,68,32,32,5,2,121,0.5,1.0,1.0,1.0,1.0,1.0,0.0,32,0,0,32
A,3,destruction_retrained,M2,mismatched,mismatched,121,64,53,68,32,32,5,2,121,0.5,0.9775390625,0.9808857981537209,0.8125,0.875,1.0,0.375,20,12,0,32
A,3,destruction_cross_apply,M2,mismatched,actual,121,64,53,68,32,32,5,2,121,0.5,0.001953125,0.31466538654991044,0.5,0.0,1.0,1.0,0,32,0,32
A,3,destruction_retrained,M2R,mismatched,mismatched,121,64,53,68,32,32,5,2,121,0.5,0.724609375,0.8248031760665461,0.65625,0.59375,0.71875,0.40625,19,13,9,23
A,3,destruction_cross_apply,M2R,mismatched,actual,121,64,53,68,32,32,5,2,121,0.5,0.625,0.7011660532892381,0.484375,0.1875,0.8125,0.84375,5,27,6,26
A,3,destruction_retrained,M2,circular_shift,circular_shift,121,64,53,68,32,32,5,2,121,0.5,0.974609375,0.9762674753222433,0.90625,0.8125,1.0,0.1875,26,6,0,32
A,3,destruction_cross_apply,M2,circular_shift,actual,121,64,53,68,32,32,5,2,121,0.5,0.048828125,0.32115907649774544,0.5,0.0,1.0,1.0,0,32,0,32
