t,b0_end_s,b0_median,b0_q90,b0_q99,b0_energy,tracked_prns,b0_residual_vector_l2,m1_end_s,m1_ar_rmse,m1_ar_score,m1_level,m1_innov_0,m1_innov_1,m1_innov_2,m1_innov_3,m1_innov_4,m1_innov_5,m1_innov_6,m1_innov_7,available_s,b0_frac_exceed,S_B0,S_M1,S_joint,S_cross,S_cascade,S_full,p_S_B0,p_S_M1,S_mean,S_max,S_fisher
76.5,77.21602,0.37958526611328125,0.4222109615802765,0.4650840342044831,13.644725620746613,11,0.3712485814657774,76.51,1.2736746242060863,0.0,0.9643672333717084,-0.7681275257127811,2.977458182946238,0.062062616111795144,-1.0337797875494577,1.5005529302921936,-0.22907205475648268,-0.029706416675783998,0.38096098000446943,77.21602,0.0,0.3405430087492829,0.3744034642995854,0.22650253580628776,0.3037149950476206,0.0,0.1953124949008985,0.844017094017094,0.8333333333333334,0.35747323652443413,0.3744034642995854,0.7038081756209589
77.0,77.71602,0.3654850721359253,0.38737231492996216,0.40190304815769196,13.040556013584137,11,0.3629363471270782,77.01,1.1624225144099902,0.0,1.015219465699997,-1.0934602393735005,-0.050678913512627766,1.1602226984171697,-0.5696368854032301,-1.265437255096917,-2.4904503923360295,0.355013866093576,-0.10617358035526558,77.71602,0.0,0.6849283465582804,0.6062289464966131,0.2055336943195946,0.4526489211053479,0.41443817894403173,0.18518046059356147,0.4273504273504274,0.6367521367521367,0.6455786465274467,0.6849283465582804,2.603051477563705
77.5,78.21602,0.33965644240379333,0.40555500984191895,0.44991963207721714,12.658380270004272,11,0.357578559169675,77.51,1.5217071007621656,0.20622335960918622,0.9776419096078018,1.6740037953021374,0.48821646423028875,0.4824766595017842,0.12559514674091787,-3.2243841099984145,-0.2906582259360361,-0.6869266441467805,2.06942861825343,78.21602,0.0,0.488584773419016,0.15945967130804534,0.22673708593136632,0.4882998829285881,0.0,0.19676481997859616,0.6752136752136753,0.9658119658119658,0.3240222223635307,0.488584773419016,0.8550243968323002
78.0,78.71602,0.3652922809123993,0.4267102777957916,0.4664622783660889,13.898377895355225,11,0.3746834090580415,78.01,1.546075637465788,0.2756324973088092,0.8829309182583981,3.0027840189139416,-0.07739266038144077,-1.3409736842989464,-0.514907483748265,2.7324742256090016,0.1646124650657541,0.24027251270610236,-0.6967882386774066,78.71602,0.0,0.2545760882937094,0.6261341869391988,0.22539344790919488,0.21753347152312252,0.0,0.1945166464665753,0.9337606837606838,0.608974358974359,0.44035513761645406,0.6261341869391988,1.1290284329421054
78.5,79.21602,0.3565691411495209,0.4466393291950226,0.4567800104618073,13.531749546527863,11,0.369708449563274,78.51,1.0629016477619893,0.0,0.6973767748409747,-0.06718421947925635,2.6059645445491646,0.5095434188601236,-0.6649003033083625,-0.08912577723055792,0.8694618119834387,0.46936163894077076,0.7460428083628879,79.21602,0.0,0.3221805645360506,1.8401404023429295,0.24272873617763305,0.019252310443169975,0.0,0.20022083610729013,0.8653846153846154,0.07905982905982911,1.0811604834394901,1.8401404023429295,5.364263224169058
79.0,79.71602,0.36099764704704285,0.4044043719768524,0.4185104578733444,11.728505820035934,11,0.3441943592014243,79.01,1.8516888082039982,1.1461134337957999,1.107264763787534,-1.351989880120149,-0.8319896896326768,2.622093680258865,-1.114528165238573,-1.5228535553156441,-2.974712445564056,-1.2269474291450357,-2.0295276992543947,79.71602,0.0,0.7283048770934354,1.086052722678923,0.202166438764368,0.1939754046779182,0.4726630234983442,0.18332668580605768,0.39743589743589747,0.30341880341880345,0.9071787998861791,1.086052722678923,4.2307257210416624
79.5,80.21602,0.39686888456344604,0.4456648826599121,0.47326524257659913,15.184790432453156,11,0.39163978584512404,79.51,1.0733107384517147,0.0,0.8854068765498677,0.8913223122018367,1.1786982699513948,-0.43168685342510044,0.6949705473274757,0.7498930361064281,-0.5736265235372303,-2.2471743442591543,-0.6493576562382856,80.21602,0.0,0.9475209974304428,0.957655191209191,0.19086176897596285,0.11848031985059809,1.1158310823242128,0.17084798359763495,0.27564102564102566,0.38247863247863245,0.9525880943198168,0.957655191209191,4.499476763265733
80.0,80.71602,0.4002530574798584,0.46132802963256836,0.524538254737854,16.41940689086914,11,0.40725003092269685,80.01,1.1337930950094859,0.0,0.8477172587623671,-0.06215571816231735,-2.3998078531916365,-0.8751921795551129,1.2505885256260956,0.26435203743291485,-0.18564281306540148,-0.12990565519031666,1.4386797587436582,80.71602,0.0,1.52307656654106,1.0211822081125228,0.16406622679093344,0.003618229936273167,2.804479515487826,0.139253263026506,0.10256410256410253,0.344017094017094,1.2721293873267914,1.52307656654106,6.688662431885879
80.5,81.21602,0.39328011870384216,0.4775509834289551,0.4825288951396942,15.593144953250885,11,0.39687090422342075,80.51,1.572479263076373,0.3508381983348362,0.8863339346673215,-0.13492827100870552,0.7967925604697705,2.196505753305264,-0.7596465388547522,0.5614120890783773,-3.152460437763263,-1.5120836112356824,1.0895671886642762,81.21602,0.0,1.228923664436628,0.6276345559104796,0.17975569906656352,0.25525253363882694,1.941451054106171,0.15545553990492814,0.15170940170940173,0.6047008547008548,0.9282791101735537,1.228923664436628,4.77761963430148
81.0,81.71602,0.377594918012619,0.4334288537502289,0.44001748561859133,14.049292862415314,11,0.3767121578213941,81.01,1.2811959835657873,0.0,0.957867002344959,0.44741234234736393,-1.664510567621467,-0.8454619952527718,2.247109824636817,0.3501379970771148,-1.263171857047976,1.4503018471428577,0.7583193245429363,81.71602,0.0,0.4089373899749195,0.374298870269025,0.22337268564511112,0.29375817991207887,0.0,0.19485802268967672,0.7564102564102564,0.8376068376068376,0.3916181301219722,0.4089373899749195,0.912755677822113
81.5,82.21602,0.37735116481781006,0.42931389808654785,0.47183289229869846,14.61431610584259,11,0.3842126372920577,81.51,1.8596716683526382,1.1688510912117014,1.0598005254888703,-2.23207603858666,-1.3949058499633977,2.8673633006345294,-0.9157186949236905,0.2524552851973141,-3.3957674412435113,0.015333311108852873,0.2891117738374631,82.21602,0.0,0.5661964227188614,0.9466089129071821,0.20886137262989168,0.25996448451584536,0.0,0.1921355126568209,0.5769230769230769,0.3910256410256411,0.7564026678130218,0.9466089129071821,2.9780569599909956
82.0,82.71602,0.3628191649913788,0.426701158285141,0.466834032535553,13.608294248580933,11,0.3707526369811615,82.01,1.427876775805878,0.0,1.0779955281617513,2.240380043891637,-1.20993068852029,-2.022925554995116,1.6894923167846507,-0.2192346432712467,0.5891558348944165,-0.004484305078977409,-1.5765852523337027,82.71602,0.0,0.1745263240271352,0.5359479454125885,0.23057583931756173,0.17842768858336006,0.0,0.1956224663836009,0.9764957264957265,0.7158119658119658,0.35523713471986185,0.5359479454125885,0.7162453382320447
82.5,83.21602,0.36075252294540405,0.43277469277381897,0.4701916426420212,13.348828136920929,11,0.36720109701292214,82.51,1.4346297018623637,0.0,0.9238112632908912,-0.7095787011046165,-0.025695261908542433,-2.2061113377688963,0.518832301835392,-2.2623421748487393,1.1757197637833214,-1.232221533764301,-1.67515482651513,83.21602,0.0,0.20807302610525233,0.35711344587887955,0.23303360814275997,0.1113626487863468,0.0,0.19654041426157293,0.9615384615384616,0.8547008547008547,0.2825932359920659,0.35711344587887955,0.39244892392589215
