prompt_semantics,prompt_offset,state_shift,channel,prn,prompt_mat_row,state_mat_row,support_start_sample,mat_prompt_magnitude,reconstructed_center_magnitude,relative_error
current,0,-1,7,10,176430,176428,4426908213,2566948.5921732667,2460776.2820358505,0.041361291948401324
current,0,0,7,10,176430,176429,4426933213,2566948.5921732667,2567635.453193755,0.0002675787986492484
current,0,1,7,10,176430,176430,4426958213,2566948.5921732667,2239818.072217066,0.12743945124325262
next,1,-1,7,10,176431,176428,4426908213,2239826.5843748217,2460776.2820358505,0.0986458948216744
next,1,0,7,10,176431,176429,4426933213,2239826.5843748217,2567635.453193755,0.14635457544157626
next,1,1,7,10,176431,176430,4426958213,2239826.5843748217,2239818.072217066,3.8003646422035686e-06
current,0,-1,3,20,176701,176699,4436414498,2060173.4342239334,2452783.051908432,0.19057114860448365
current,0,0,3,20,176701,176700,4436439498,2060173.4342239334,2058711.3863778387,0.000709672215846946
current,0,1,3,20,176701,176701,4436464498,2060173.4342239334,1547518.0192058505,0.24884090169389061
next,1,-1,3,20,176702,176699,4436414498,1553763.064882506,2452783.051908432,0.5786081593424344
next,1,0,3,20,176702,176700,4436439498,1553763.064882506,2058711.3863778387,0.32498411946323125
next,1,1,3,20,176702,176701,4436464498,1553763.064882506,1547518.0192058505,0.004019303726419565
current,0,-1,2,3,177596,177594,4440887191,5449715.443159997,6188004.897838574,0.13547302834044528
current,0,0,2,3,177596,177595,4440912191,5449715.443159997,5449677.511421099,6.960315505288861e-06
current,0,1,2,3,177596,177596,4440937191,5449715.443159997,5780514.372066955,0.06070022047153811
next,1,-1,2,3,177597,177594,4440887191,5780514.2293497315,6188004.897838574,0.07049384402859293
next,1,0,2,3,177597,177595,4440912191,5780514.2293497315,5449677.511421099,0.05723309463522397
next,1,1,2,3,177597,177596,4440937191,5780514.2293497315,5780514.372066955,2.468936455279902e-08
current,0,-1,4,30,215779,215777,5399224966,2170027.4264254062,1968373.8418146772,0.09292674468308648
current,0,0,4,30,215779,215778,5399249966,2170027.4264254062,2170029.6526998887,1.0259199747508774e-06
current,0,1,4,30,215779,215779,5399274966,2170027.4264254062,1931356.4001808204,0.10998525794567426
next,1,-1,4,30,215780,215777,5399224966,1931353.5714012855,1968373.8418146772,0.019168044091756764
next,1,0,4,30,215780,215778,5399249966,1931353.5714012855,2170029.6526998887,0.12357969293288584
next,1,1,4,30,215780,215779,5399274966,1931353.5714012855,1931356.4001808204,1.4646616635083376e-06
current,0,-1,0,16,218134,218132,5455389844,4882658.554040298,4876350.227522956,0.0012919860046576304
current,0,0,0,16,218134,218133,5455414844,4882658.554040298,4885026.69694437,0.00048501095824371454
current,0,1,0,16,218134,218134,5455439844,4882658.554040298,4503080.23304712,0.07774009113930047
next,1,-1,0,16,218135,218132,5455389844,4503096.460492866,4876350.227522956,0.0828882459669178
next,1,0,0,16,218135,218133,5455414844,4503096.460492866,4885026.69694437,0.08481502446201228
next,1,1,0,16,218135,218134,5455439844,4503096.460492866,4503080.23304712,3.6036193957755813e-06
current,0,-1,5,6,218479,218477,5462993037,4629753.0908736065,5202386.316763171,0.12368547839373267
current,0,0,5,6,218479,218478,5463018037,4629753.0908736065,4632199.712481903,0.000528456174718972
current,0,1,5,6,218479,218479,5463043037,4629753.0908736065,4976888.994109569,0.07497935557735325
next,1,-1,5,6,218480,218477,5462993037,4976903.229912203,5202386.316763171,0.045305901367695744
next,1,0,5,6,218480,218478,5463018037,4976903.229912203,4632199.712481903,0.06926064291516887
next,1,1,5,6,218480,218479,5463043037,4976903.229912203,4976888.994109569,2.8603736050847317e-06
current,0,-1,10,23,218804,218802,5473091724,6186121.6819928475,6876454.032725727,0.11159372321148564
current,0,0,10,23,218804,218803,5473116724,6186121.6819928475,6184592.242330244,0.0002472372418822477
current,0,1,10,23,218804,218804,5473141724,6186121.6819928475,6408300.404421836,0.03591567283193409
next,1,-1,10,23,218805,218802,5473091724,6408332.25502267,6876454.032725727,0.07304892428699472
next,1,0,10,23,218805,218803,5473116724,6408332.25502267,6184592.242330244,0.034913922029723876
next,1,1,10,23,218805,218804,5473141724,6408332.25502267,6408300.404421836,4.970185621844259e-06
current,0,-1,9,19,219385,219383,5486630884,4483839.532599521,4395886.995030499,0.019615451652443716
current,0,0,9,19,219385,219384,5486655884,4483839.532599521,4492210.460169364,0.001866910603955052
current,0,1,9,19,219385,219385,5486680884,4483839.532599521,3437352.903289983,0.23339074061440235
next,1,-1,9,19,219386,219383,5486630884,3437371.7951031374,4395886.995030499,0.2788511854588607
next,1,0,9,19,219386,219384,5486655884,3437371.7951031374,4492210.460169364,0.3068736022588374
next,1,1,9,19,219386,219385,5486680884,3437371.7951031374,3437352.903289983,5.496005169192131e-06
current,0,-1,6,7,219496,219494,5488399992,4397194.018202312,4538875.312383729,0.03222084210860898
current,0,0,6,7,219496,219495,5488424992,4397194.018202312,4392542.256624135,0.0010578931834531735
current,0,1,6,7,219496,219496,5488449992,4397194.018202312,4414299.990639857,0.0038902018802751126
next,1,-1,6,7,219497,219494,5488399992,4414290.693131939,4538875.312383729,0.028223021072361076
next,1,0,6,7,219497,219495,5488424992,4414290.693131939,4392542.256624135,0.004926824719912792
next,1,1,6,7,219497,219496,5488449992,4414290.693131939,4414299.990639857,2.106229191722875e-06
current,0,-1,8,13,219677,219675,5493962073,6398067.674161881,6434583.278692406,0.0057072863855425204
current,0,0,8,13,219677,219676,5493987072,6398067.674161881,6398086.439929853,2.9330368054303335e-06
current,0,1,8,13,219677,219677,5494012072,6398067.674161881,6310926.864319041,0.013619863727723835
next,1,-1,8,13,219678,219675,5493962073,6310899.807125208,6434583.278692406,0.01959838934973357
next,1,0,8,13,219678,219676,5493987072,6310899.807125208,6398086.439929853,0.013815245918848085
next,1,1,8,13,219678,219677,5494012072,6310899.807125208,6310926.864319041,4.2873749639404934e-06
current,0,-1,7,10,219777,219775,5510582846,3027821.2163480627,2517251.09957712,0.1686262431923755
