case_id,dataset,prn,is_target,delta_bic,requested_delay_chips,recovered_delay_chips,requested_doppler_hz,recovered_doppler_hz
OAKBAT.cleanStatic.single.13,OAKBAT.cleanStatic,24,True,668.8013573661447,0.25,0.2,-50.0,-50.0
OAKBAT.cleanStatic.single.13,OAKBAT.cleanStatic,27,False,437.6381011628546,0.25,-0.25,-50.0,-55.0
OAKBAT.cleanStatic.single.14,OAKBAT.cleanStatic,10,False,-22.39073426509276,0.0,-0.35,0.0,-10.0
OAKBAT.cleanStatic.single.14,OAKBAT.cleanStatic,11,False,-21.202858835691586,0.0,0.05,0.0,5.0
OAKBAT.cleanStatic.single.14,OAKBAT.cleanStatic,21,False,-22.230274544330314,0.0,-0.05,0.0,0.0
OAKBAT.cleanStatic.single.14,OAKBAT.cleanStatic,24,False,75.76741574984044,0.0,0.225,0.0,0.0
OAKBAT.cleanStatic.single.14,OAKBAT.cleanStatic,27,True,53.98316639335826,0.0,-0.3,0.0,75.0
OAKBAT.cleanStatic.single.15,OAKBAT.cleanStatic,10,True,230.0665558394976,-0.05,-0.05,5.0,20.0
OAKBAT.cleanStatic.single.15,OAKBAT.cleanStatic,11,False,224.07480746647343,-0.05,-0.325,5.0,-30.0
OAKBAT.cleanStatic.single.15,OAKBAT.cleanStatic,21,False,598.75779365981,-0.05,0.125,5.0,5.0
OAKBAT.cleanStatic.single.15,OAKBAT.cleanStatic,24,False,-21.59904865315184,-0.05,-0.075,5.0,5.0
OAKBAT.cleanStatic.single.15,OAKBAT.cleanStatic,27,False,-21.12627967586741,-0.05,-0.35,5.0,75.0
OAKBAT.cleanStatic.single.16,OAKBAT.cleanStatic,10,False,1753.2953747054562,0.05,0.275,25.0,55.0
OAKBAT.cleanStatic.single.16,OAKBAT.cleanStatic,11,True,589.9827598622069,0.05,0.05,25.0,15.0
OAKBAT.cleanStatic.single.16,OAKBAT.cleanStatic,21,False,571.3069426969159,0.05,-0.025,25.0,45.0
OAKBAT.cleanStatic.single.16,OAKBAT.cleanStatic,24,False,-20.695436971262097,0.05,0.2,25.0,55.0
OAKBAT.cleanStatic.single.16,OAKBAT.cleanStatic,27,False,-20.018475316930562,0.05,-0.225,25.0,20.0
OAKBAT.cleanStatic.single.17,OAKBAT.cleanStatic,10,False,347.4814866683446,-0.1,0.35,50.0,60.0
OAKBAT.cleanStatic.single.17,OAKBAT.cleanStatic,11,False,634.1299790199846,-0.1,0.025,50.0,30.0
OAKBAT.cleanStatic.single.17,OAKBAT.cleanStatic,21,True,766.7754144989885,-0.1,-0.075,50.0,50.0
OAKBAT.cleanStatic.single.17,OAKBAT.cleanStatic,24,False,-20.525052659446374,-0.1,0.35,50.0,50.0
OAKBAT.cleanStatic.single.17,OAKBAT.cleanStatic,27,False,-21.406524236314,-0.1,0.2,50.0,70.0
OAKBAT.cleanStatic.single.18,OAKBAT.cleanStatic,10,False,-18.016167565481737,0.1,-0.05,-5.0,0.0
OAKBAT.cleanStatic.single.18,OAKBAT.cleanStatic,11,False,-21.343808359233662,0.1,0.2,-5.0,-75.0
OAKBAT.cleanStatic.single.18,OAKBAT.cleanStatic,21,False,-21.813193395966664,0.1,0.075,-5.0,0.0
OAKBAT.cleanStatic.single.18,OAKBAT.cleanStatic,24,True,677.7940913196653,0.1,0.1,-5.0,-5.0
OAKBAT.cleanStatic.single.18,OAKBAT.cleanStatic,27,False,312.19323737127706,0.1,0.175,-5.0,-35.0
OAKBAT.cleanStatic.single.19,OAKBAT.cleanStatic,10,False,-22.19520141975954,-0.25,0.025,-25.0,20.0
OAKBAT.cleanStatic.single.19,OAKBAT.cleanStatic,11,False,-21.393026469973847,-0.25,0.175,-25.0,-5.0
OAKBAT.cleanStatic.single.19,OAKBAT.cleanStatic,21,False,-21.35493002086878,-0.25,0.025,-25.0,-55.0
OAKBAT.cleanStatic.single.19,OAKBAT.cleanStatic,24,False,85.81212429283187,-0.25,-0.3,-25.0,-15.0
OAKBAT.cleanStatic.single.19,OAKBAT.cleanStatic,27,True,777.6765224463306,-0.25,-0.25,-25.0,-25.0
OAKBAT.cleanStatic.single.20,OAKBAT.cleanStatic,10,True,434.51811899384484,0.25,0.25,-50.0,-45.0
OAKBAT.cleanStatic.single.20,OAKBAT.cleanStatic,11,False,364.7867481384892,0.25,-0.35,-50.0,-75.0
OAKBAT.cleanStatic.single.20,OAKBAT.cleanStatic,21,False,430.9455115047749,0.25,0.225,-50.0,-50.0
OAKBAT.cleanStatic.single.20,OAKBAT.cleanStatic,24,False,-21.146278868196532,0.25,-0.05,-50.0,5.0
OAKBAT.cleanStatic.single.20,OAKBAT.cleanStatic,27,False,-16.96082414430566,0.25,-0.35,-50.0,70.0
OAKBAT.cleanStatic.single.21,OAKBAT.cleanStatic,10,False,1556.0154698125552,0.0,0.325,0.0,30.0
OAKBAT.cleanStatic.single.21,OAKBAT.cleanStatic,11,True,77.66108531225473,0.0,-0.35,0.0,-60.0
OAKBAT.cleanStatic.single.21,OAKBAT.cleanStatic,21,False,460.58210368687287,0.0,0.05,0.0,20.0
OAKBAT.cleanStatic.single.21,OAKBAT.cleanStatic,24,False,-20.4073953689076,0.0,0.175,0.0,30.0
OAKBAT.cleanStatic.single.21,OAKBAT.cleanStatic,27,False,-16.392960591241717,0.0,-0.15,0.0,-5.0
OAKBAT.cleanStatic.single.22,OAKBAT.cleanStatic,10,False,294.6760823666118,-0.05,-0.15,5.0,20.0
OAKBAT.cleanStatic.single.22,OAKBAT.cleanStatic,11,False,673.7959782592952,-0.05,0.05,5.0,-15.0
OAKBAT.cleanStatic.single.22,OAKBAT.cleanStatic,21,True,1067.2206777194515,-0.05,-0.05,5.0,-10.0
OAKBAT.cleanStatic.single.22,OAKBAT.cleanStatic,24,False,-20.147218070924282,-0.05,0.275,5.0,5.0
OAKBAT.cleanStatic.single.22,OAKBAT.cleanStatic,27,False,-21.88072369643487,-0.05,-0.05,5.0,40.0
OAKBAT.cleanStatic.single.23,OAKBAT.cleanStatic,10,False,-18.15950941038318,0.05,-0.05,25.0,30.0
OAKBAT.cleanStatic.single.23,OAKBAT.cleanStatic,11,False,-21.33457117783837,0.05,0.175,25.0,-45.0
OAKBAT.cleanStatic.single.23,OAKBAT.cleanStatic,21,False,-22.49341524578631,0.05,-0.075,25.0,-35.0
OAKBAT.cleanStatic.single.23,OAKBAT.cleanStatic,24,True,465.4319787286222,0.05,0.05,25.0,25.0
OAKBAT.cleanStatic.single.23,OAKBAT.cleanStatic,27,False,158.21013236115687,0.05,-0.075,25.0,20.0
OAKBAT.cleanStatic.single.24,OAKBAT.cleanStatic,10,False,-22.082447767956182,-0.1,-0.3,50.0,-10.0
OAKBAT.cleanStatic.single.24,OAKBAT.cleanStatic,11,False,-21.68064337898977,-0.1,0.325,50.0,50.0
OAKBAT.cleanStatic.single.24,OAKBAT.cleanStatic,21,False,-21.119737054221332,-0.1,-0.125,50.0,30.0
OAKBAT.cleanStatic.single.24,OAKBAT.cleanStatic,24,False,112.67489839089103,-0.1,-0.35,50.0,60.0
OAKBAT.cleanStatic.single.24,OAKBAT.cleanStatic,27,True,782.8310689590871,-0.1,-0.1,50.0,50.0
OAKBAT.cleanStatic.single.25,OAKBAT.cleanStatic,10,True,398.70517294248566,0.1,-0.025,-5.0,5.0
OAKBAT.cleanStatic.single.25,OAKBAT.cleanStatic,11,False,234.30538815888576,0.1,0.025,-5.0,-45.0
OAKBAT.cleanStatic.single.25,OAKBAT.cleanStatic,21,False,529.9452206389979,0.1,0.35,-5.0,-10.0
