window_mid_s,score_mean,score_quorum_offset_gate,score_low_quorum_persistence_gate,prn_count,base_high_fraction,low_high_fraction,low_high_fraction_roll3
68.5,1.4260319090706182,5.150072520615041,4.795401986182239,11,0.6363636363636364,0.7272727272727273,0.5757575757575758
69.0,1.4137982367127313,4.592487222217529,4.945674887273618,11,0.5454545454545454,0.5454545454545454,0.6060606060606061
69.5,1.2863273651433744,2.806142291585215,4.49482554318726,11,0.2727272727272727,0.45454545454545453,0.5757575757575758
70.0,1.7764884050484837,3.563663898711293,4.755114227819833,11,0.2727272727272727,0.36363636363636365,0.4545454545454546
70.5,2.163627336964063,5.494197643295029,5.4941976432950295,11,0.45454545454545453,0.5454545454545454,0.4545454545454546
71.0,2.267030763129305,4.3217748157452895,5.691604184155947,11,0.2727272727272727,0.45454545454545453,0.4545454545454546
71.5,2.3383949264727293,4.432064886366945,5.8278448596297565,11,0.2727272727272727,0.36363636363636365,0.4545454545454546
72.0,2.6522441743761105,6.42701160562712,6.17536044354372,11,0.45454545454545453,0.45454545454545453,0.4242424242424243
72.5,2.8090574801442276,5.942917465703666,2.8090574801442276,11,0.36363636363636365,0.36363636363636365,0.39393939393939403
73.0,2.7063360330060195,5.7654895115558515,6.2753484246474915,11,0.36363636363636365,0.45454545454545453,0.4242424242424243
73.5,2.5970938422008563,6.321724607837998,6.073415890128857,11,0.45454545454545453,0.45454545454545453,0.4242424242424243
74.0,2.67949515338754,6.479036201921668,6.73233893849061,11,0.45454545454545453,0.5454545454545454,0.48484848484848486
74.5,2.7108585781159293,5.7733011803820595,6.794115381137436,11,0.36363636363636365,0.45454545454545453,0.48484848484848486
75.0,1.246345560185645,3.4434220083341613,3.8096014163589142,10,0.4,0.4,0.46666666666666673
75.5,1.0777693816699139,2.624431010671862,3.4055732475415335,10,0.3,0.5,0.4515151515151516
76.0,1.0583192157135781,3.6166384314271562,3.6166384314271567,10,0.5,0.6,0.5000000000000001
76.5,1.0373706234766575,2.559792997562652,3.5747412469533155,10,0.3,0.4,0.5000000000000001
77.0,0.8956507544744353,2.3330412071590967,2.9718814083522798,10,0.3,0.3,0.4333333333333334
77.5,1.1290577261737793,3.232303907112803,1.1290577261737793,10,0.4,0.4,0.36666666666666675
78.0,1.1718374935640783,3.8436749871281566,3.4874299879862796,10,0.5,0.6,0.4333333333333334
78.5,1.0444400211810576,3.079992038125904,3.7585093771075195,10,0.4,0.6,0.5333333333333334
79.0,1.082710352301338,3.665420704602676,4.009782084909522,10,0.5,0.5,0.5666666666666668
79.5,1.0980096080923356,3.176417294566204,3.6960192161846717,10,0.4,0.4,0.5000000000000001
80.0,1.0214031735443325,3.0385257123797986,3.206619257282754,10,0.4,0.4,0.4333333333333334
80.5,1.1991113970459317,3.8982227940918635,3.5383412744857394,10,0.5,0.5,0.4333333333333334
81.0,1.354033570651709,4.2080671413034185,4.017798236593305,10,0.5,0.5,0.4666666666666668
81.5,1.1526814902017133,3.2748266823630843,3.8053629804034266,10,0.4,0.5,0.5
82.0,1.03194930934307,3.0575087568175263,3.3951019980632693,10,0.4,0.4,0.4666666666666668
82.5,1.1509757846664326,3.801951569332865,3.6252198503551036,10,0.5,0.5,0.4666666666666668
83.0,1.0654442612402055,3.1177996702323703,3.6308885224804115,10,0.4,0.6,0.5000000000000001
83.5,0.9340507424424682,2.394481187907949,3.692641583877266,10,0.3,0.6,0.5666666666666668
84.0,1.0710962356978868,3.6421924713957736,4.156411718535351,10,0.5,0.6,0.6
84.5,1.125149384776077,2.7002390156417233,3.9253087285372263,10,0.3,0.4,0.5333333333333334
85.0,1.250715555917689,4.0014311118353785,4.0014311118353785,10,0.5,0.5,0.5000000000000001
85.5,1.0084804115969888,2.513568658555182,3.182496768314379,10,0.3,0.4,0.4333333333333334
86.0,0.9714280112376095,1.4657136134851314,2.9485704202276977,10,0.1,0.3,0.40000000000000013
86.5,0.9383138719605769,1.4259766463526924,0.9383138719605769,10,0.1,0.3,0.3333333333333335
87.0,1.1506427236032812,3.2711569024859064,1.1506427236032812,10,0.4,0.4,0.3333333333333335
87.5,1.2092527148136578,2.8348043437018524,3.3766548866645847,10,0.3,0.5,0.4000000000000001
88.0,0.9441244237844428,1.4329493085413314,3.22530721931659,10,0.1,0.5,0.4666666666666668
88.5,0.9716932147039978,2.4547091435263964,3.1138273341141303,10,0.3,0.3,0.4333333333333335
89.0,0.9939008995958938,2.4902414393534302,2.9890216192726093,10,0.3,0.4,0.40000000000000013
89.5,1.021169159409256,3.0381044869366614,1.021169159409256,10,0.4,0.4,0.36666666666666675
