condition_id,geometry_id,distance_m,final_advantage_db,target_offset_enu_m,transition_seconds,distance_chips,pull_off_rate_mps,comparison_start_seconds,spoof_bin_count,multipath_bin_count,minimum_spoof_prn_count,minimum_multipath_prn_count,serial_bin_auc,spoof_median_clock_centered_residual,multipath_median_clock_centered_residual,multipath_minus_spoof_median_residual,median_estimated_displacement_norm_chips,median_absolute_direction_cosine,template_delay_edge_fraction,median_template_distance,delay_estimate_count,aperture_taps
tokyo-straight-ppos3-d060,tokyo-straight,60.0,3.0,"[48.0, 36.0, 0.0]",3.0,0.20474164163262573,20.0,18.0,12,12,9,8,0.4444444444444444,0.368475894041582,0.35263586189279533,-0.015840032148786654,0.17246262790948252,0.6922075202738669,0.0,0.03366048369354725,108,7
tokyo-straight-pneg6-d100,tokyo-straight,100.0,-6.0,"[80.0, 60.0, 0.0]",5.0,0.34123606938770956,20.0,18.0,12,12,9,8,0.8958333333333333,0.03383546895003384,0.35263586189279533,0.3188003929427615,0.3524402565753708,0.9526746929876112,0.0,0.04450934340115523,108,7
tokyo-straight-ppos3-d100,tokyo-straight,100.0,3.0,"[80.0, 60.0, 0.0]",5.0,0.34123606938770956,20.0,18.0,12,12,9,8,0.9097222222222222,0.03763544033258764,0.35263586189279533,0.3150004215602077,0.3668982157722138,0.9849936887310686,0.0,0.034639939812352194,108,7
tokyo-straight-pneg6-d240,tokyo-straight,240.0,-6.0,"[192.0, 144.0, 0.0]",12.0,0.8189665665305029,20.0,18.0,12,12,9,8,0.8402777777777778,0.08371444566951305,0.35263586189279533,0.26892141622328225,0.5487161643032492,0.9904759311361556,0.07407407407407407,0.052234868995491186,108,7
tokyo-straight-ppos3-d240,tokyo-straight,240.0,3.0,"[192.0, 144.0, 0.0]",12.0,0.8189665665305029,20.0,18.0,12,12,9,8,0.4236111111111111,0.5491893217020365,0.35263586189279533,-0.19655345980924116,0.4219452285708775,0.9518948287549376,0.24074074074074073,0.046854702662088875,108,7
london-circle-pneg6-d040,london-circle,40.0,-6.0,"[32.0, 24.0, 0.0]",2.0,0.13649442775508383,20.0,18.0,12,12,11,11,0.6597222222222222,0.648786627525914,0.7218149149258297,0.07302828739991574,0.1427279167954673,0.48465685739328274,0.0,0.03209517074548349,132,7
london-circle-ppos3-d040,london-circle,40.0,3.0,"[32.0, 24.0, 0.0]",2.0,0.13649442775508383,20.0,18.0,12,12,11,11,0.8333333333333333,0.47388930558641196,0.7218149149258297,0.24792560933941776,0.152161979367406,0.6974031976694576,0.0,0.023620061847171872,132,7
london-circle-pneg6-d060,london-circle,60.0,-6.0,"[48.0, 36.0, 0.0]",3.0,0.20474164163262573,20.0,18.0,12,12,11,11,0.7083333333333334,0.4453487166072333,0.7218149149258297,0.2764661983185964,0.18849341926280572,0.6947776063661176,0.0,0.04341035627586927,132,7
london-circle-ppos3-d060,london-circle,60.0,3.0,"[48.0, 36.0, 0.0]",3.0,0.20474164163262573,20.0,18.0,12,12,11,11,0.7777777777777778,0.411892446371136,0.7218149149258297,0.30992246855469374,0.1983042095481512,0.8626651852325681,0.0,0.033883910502477826,132,7
london-circle-pneg6-d100,london-circle,100.0,-6.0,"[80.0, 60.0, 0.0]",5.0,0.34123606938770956,20.0,18.0,12,12,11,11,0.986111111111111,0.118146755786673,0.7218149149258297,0.6036681591391567,0.3242114971035296,0.9149265665110463,0.0,0.04196601730092478,132,7
london-circle-ppos3-d100,london-circle,100.0,3.0,"[80.0, 60.0, 0.0]",5.0,0.34123606938770956,20.0,18.0,12,12,11,11,0.9930555555555555,0.1068004123263489,0.7218149149258297,0.6150145025994809,0.335815929601722,0.9677610216709915,0.0,0.03168355053478611,132,7
london-circle-pneg6-d240,london-circle,240.0,-6.0,"[192.0, 144.0, 0.0]",12.0,0.8189665665305029,20.0,18.0,12,12,11,11,1.0,0.1355808317506731,0.7218149149258297,0.5862340831751567,0.5103398821490032,0.9599949464343622,0.045454545454545456,0.05121047926243943,132,7
london-circle-ppos3-d240,london-circle,240.0,3.0,"[192.0, 144.0, 0.0]",12.0,0.8189665665305029,20.0,18.0,12,12,10,11,1.0,0.030412102205848494,0.7218149149258297,0.6914028127199813,0.7170050093858369,0.9687584178441924,0.16030534351145037,0.04398975989813354,131,7
sydney-sweep-pneg6-d040,sydney-sweep,40.0,-6.0,"[32.0, 24.0, 0.0]",2.0,0.13649442775508383,20.0,18.0,12,12,11,9,0.9305555555555556,0.2656052700538165,0.5638044550005897,0.2981991849467732,0.17319496744057422,0.8979029820073573,0.0,0.0421355903353092,132,7
sydney-sweep-ppos3-d040,sydney-sweep,40.0,3.0,"[32.0, 24.0, 0.0]",2.0,0.13649442775508383,20.0,18.0,12,12,11,9,0.8680555555555556,0.31227327605128397,0.5638044550005897,0.25153117894930577,0.20104379735518513,0.8037542791448584,0.0,0.03162438490308882,132,7
sydney-sweep-pneg6-d060,sydney-sweep,60.0,-6.0,"[48.0, 36.0, 0.0]",3.0,0.20474164163262573,20.0,18.0,12,12,10,9,0.7847222222222223,0.34316755875282395,0.5638044550005897,0.22063689624776578,0.21724517184252856,0.6113250169617894,0.0,0.044073503705132355,120,7
sydney-sweep-ppos3-d060,sydney-sweep,60.0,3.0,"[48.0, 36.0, 0.0]",3.0,0.20474164163262573,20.0,18.0,12,12,10,9,0.8333333333333334,0.26850824124892836,0.5638044550005897,0.2952962137516614,0.21826451708251718,0.8612073380487302,0.0,0.03380127240428317,125,7
sydney-sweep-pneg6-d100,sydney-sweep,100.0,-6.0,"[80.0, 60.0, 0.0]",5.0,0.34123606938770956,20.0,18.0,12,12,11,9,1.0,0.044206111863514634,0.5638044550005897,0.5195983431370751,0.36140739175612113,0.9777235421752469,0.0,0.05197319013306635,132,7
sydney-sweep-ppos3-d100,sydney-sweep,100.0,3.0,"[80.0, 60.0, 0.0]",5.0,0.34123606938770956,20.0,18.0,12,12,8,9,0.9583333333333334,0.042276048492707975,0.5638044550005897,0.5215284065078818,0.3792422364232111,0.9645169876257444,0.0,0.04034405780617908,111,7
sydney-sweep-pneg6-d240,sydney-sweep,240.0,-6.0,"[192.0, 144.0, 0.0]",12.0,0.8189665665305029,20.0,18.0,12,12,11,9,1.0,0.09075633036962677,0.5638044550005897,0.47304812463096296,0.4526733097472051,0.9097811504956381,0.08333333333333333,0.05592708239495219,132,7
sydney-sweep-ppos3-d240,sydney-sweep,240.0,3.0,"[192.0, 144.0, 0.0]",12.0,0.8189665665305029,20.0,18.0,12,12,10,9,1.0,0.08518348581088278,0.5638044550005897,0.478620969189707,0.5160128116681004,0.9596964730799193,0.19166666666666668,0.05137265465299344,120,7
