pair_id,condition,bin_index,prn_count,absolute_centered_correlation,truth_direction_r2,signed_affine_slope,estimated_to_truth_spread_ratio,median_template_distance,partial_f_p_value,raw_spoof_alarm
ccfs-s1-a-tokyo,doppler-locked,20,11,0.4527385408211048,0.2049721863448232,0.47490847754991106,1.0489685209670865,0.03947639641262893,0.045758243546784684,True
ccfs-s1-a-tokyo,doppler-locked,21,11,0.5459731997934946,0.2980867348927471,0.5446341775601151,0.9975474579450313,0.040262646694570386,0.01830617439831423,True
ccfs-s1-a-tokyo,doppler-locked,22,11,0.6207038903910667,0.3852733195466053,0.5317908964131102,0.8567545727449234,0.039870249326498054,0.2501099355059743,False
ccfs-s1-a-tokyo,doppler-locked,23,11,0.5684949760051581,0.32318653774310524,0.5307410239685906,0.9335896469976456,0.037423861661026805,0.04536446134189003,True
ccfs-s1-a-tokyo,doppler-locked,24,11,0.6678451295600665,0.44601711707710195,0.6471696524943226,0.969041509549731,0.04099312590906226,0.2046826969966349,False
ccfs-s1-a-tokyo,doppler-locked,25,11,0.778282698042642,0.6057239580725343,0.6994028817749873,0.8986488888086102,0.037493760344711136,0.026521626848611875,True
ccfs-s1-a-tokyo,doppler-locked,26,11,0.7552491469281223,0.5704012739356564,0.697295958276458,0.9232661315972598,0.03739407883046431,0.01851437011693093,True
ccfs-s1-a-tokyo,doppler-locked,27,11,0.4703510502038544,0.22123011042786878,0.44184832792139456,0.9394011722305996,0.039188121684504335,0.6001631623104267,False
ccfs-s1-a-tokyo,doppler-locked,28,11,0.25095946941016195,0.06298065528663001,0.23014966093038625,0.9170790067069966,0.038554526063010075,0.7658434377462124,False
ccfs-s1-a-tokyo,doppler-locked,29,11,0.4357894795003535,0.18991247044318904,0.4236828479481182,0.9722190825576701,0.03595195729120889,0.48094446037981786,False
ccfs-s2-a-london,carrier-coupled,12,11,0.9140677591702009,0.8355198683544324,1.0330635113423365,1.1301826379700355,0.04347071364808717,0.0018778724150392864,True
ccfs-s2-a-london,carrier-coupled,13,11,0.8379116391746447,0.70209591506434,0.9516932742771523,1.135791925762702,0.04097905477511808,0.013774557868131893,True
ccfs-s2-a-london,carrier-coupled,14,11,0.8635326567462014,0.7456886492671528,0.9060232418149696,1.0492055334987251,0.04406643345681374,0.013770583626066465,True
ccfs-s2-a-london,carrier-coupled,15,11,0.5332516193778474,0.2843572895690966,0.5416386939834609,1.0157281746568325,0.03744700908971832,0.4549857840215414,False
