pair_id,condition,bin_index,prn_count,median_quadrature_fraction,median_cn0_db_hz
ccfs-s2-a-london,doppler-locked,28,11,0.053363072282896655,49.76261520385742
ccfs-s2-a-london,doppler-locked,29,11,0.04378130887161705,49.32773208618164
ccfs-s3-a-sao-paulo,carrier-coupled,12,11,0.11133271725590899,47.50887870788574
ccfs-s3-a-sao-paulo,carrier-coupled,13,11,0.1379312910463421,47.682586669921875
ccfs-s3-a-sao-paulo,carrier-coupled,14,11,0.07200339263436353,47.53571701049805
ccfs-s3-a-sao-paulo,carrier-coupled,15,11,0.09257490365946992,48.35941505432129
ccfs-s3-a-sao-paulo,carrier-coupled,16,12,0.08066186902987887,48.107656478881836
ccfs-s3-a-sao-paulo,carrier-coupled,17,11,0.09070207785689124,49.3975830078125
ccfs-s3-a-sao-paulo,carrier-coupled,18,11,0.07246718504204036,49.78830337524414
ccfs-s3-a-sao-paulo,carrier-coupled,19,11,0.0600976829382444,50.0350399017334
ccfs-s3-a-sao-paulo,carrier-coupled,20,11,0.08347293183678055,49.318397521972656
ccfs-s3-a-sao-paulo,carrier-coupled,21,11,0.06602974022007504,49.069679260253906
ccfs-s3-a-sao-paulo,carrier-coupled,22,11,0.09331833202984408,48.42005157470703
ccfs-s3-a-sao-paulo,carrier-coupled,23,11,0.13821381348651704,46.75278663635254
ccfs-s3-a-sao-paulo,carrier-coupled,24,11,0.13863689780133548,45.81821060180664
ccfs-s3-a-sao-paulo,carrier-coupled,25,11,0.14564174376574623,46.945858001708984
ccfs-s3-a-sao-paulo,carrier-coupled,26,11,0.10589763618745242,45.32159614562988
ccfs-s3-a-sao-paulo,carrier-coupled,27,11,0.15430522269180189,45.80058670043945
ccfs-s3-a-sao-paulo,carrier-coupled,28,11,0.1762578555655705,45.38755416870117
ccfs-s3-a-sao-paulo,carrier-coupled,29,11,0.11229478226133291,44.98578071594238
ccfs-s3-a-sao-paulo,doppler-locked,12,11,0.041770029318740645,50.543739318847656
ccfs-s3-a-sao-paulo,doppler-locked,13,11,0.05233757495256383,49.43534469604492
