pair_id,condition,bin_index,prn,sampled_epoch_count,median_quadrature_fraction,median_cn0_db_hz
ccfs-s1-a-tokyo,carrier-coupled,17,G18,3,0.059543448747242565,50.59783172607422
ccfs-s1-a-tokyo,carrier-coupled,18,G18,2,0.09527785912984182,49.694650650024414
ccfs-s1-a-tokyo,carrier-coupled,19,G18,3,0.03795720372707592,50.75751876831055
ccfs-s1-a-tokyo,carrier-coupled,20,G18,2,0.08598786843745652,50.174293518066406
ccfs-s1-a-tokyo,carrier-coupled,21,G18,3,0.058553970195978695,50.53926467895508
ccfs-s1-a-tokyo,carrier-coupled,22,G18,2,0.04767454603569027,50.8818244934082
ccfs-s1-a-tokyo,carrier-coupled,23,G18,3,0.06904369376638862,50.963783264160156
ccfs-s1-a-tokyo,carrier-coupled,24,G18,2,0.041891139916393275,51.57979774475098
ccfs-s1-a-tokyo,carrier-coupled,25,G18,3,0.06992053636132305,51.26593780517578
ccfs-s1-a-tokyo,carrier-coupled,26,G18,2,0.03143613905642389,51.032466888427734
ccfs-s1-a-tokyo,carrier-coupled,27,G18,3,0.04058731357838685,50.469600677490234
ccfs-s1-a-tokyo,carrier-coupled,28,G18,2,0.06951787240242416,50.102678298950195
ccfs-s1-a-tokyo,carrier-coupled,29,G18,3,0.07322859850511544,49.664154052734375
ccfs-s1-a-tokyo,carrier-coupled,12,G12,13,0.14623603963813755,46.37608337402344
ccfs-s1-a-tokyo,carrier-coupled,13,G12,3,0.10773477574002563,50.41268539428711
ccfs-s1-a-tokyo,carrier-coupled,14,G12,2,0.11287415458833702,51.489973068237305
ccfs-s1-a-tokyo,carrier-coupled,15,G12,3,0.08013600824572945,51.8126220703125
ccfs-s1-a-tokyo,carrier-coupled,16,G12,2,0.06276689706842488,52.973642349243164
ccfs-s1-a-tokyo,carrier-coupled,17,G12,3,0.08345557643007699,53.0449104309082
ccfs-s1-a-tokyo,carrier-coupled,18,G12,2,0.07409867923949709,51.88271713256836
ccfs-s1-a-tokyo,carrier-coupled,19,G12,3,0.07550846347418133,51.14567184448242
ccfs-s1-a-tokyo,carrier-coupled,20,G12,2,0.05595220978838861,51.54544448852539
ccfs-s1-a-tokyo,carrier-coupled,21,G12,3,0.025459722152441185,51.98598861694336
ccfs-s1-a-tokyo,carrier-coupled,22,G12,2,0.0592809434471511,52.1737003326416
ccfs-s1-a-tokyo,carrier-coupled,23,G12,3,0.04016543709415432,52.222530364990234
ccfs-s1-a-tokyo,carrier-coupled,24,G12,2,0.03924000268925797,51.61996269226074
ccfs-s1-a-tokyo,carrier-coupled,25,G12,3,0.07022990675901969,53.01467514038086
ccfs-s1-a-tokyo,carrier-coupled,26,G12,2,0.054479897728244873,53.14275932312012
ccfs-s1-a-tokyo,carrier-coupled,27,G12,3,0.0433005609763532,53.71001052856445
ccfs-s1-a-tokyo,carrier-coupled,28,G12,2,0.04019545793504602,53.7409610748291
ccfs-s1-a-tokyo,carrier-coupled,29,G12,2,0.053373729739070695,53.7905158996582
ccfs-s1-a-tokyo,carrier-coupled,12,G15,13,0.14763636994156035,51.58308792114258
ccfs-s1-a-tokyo,carrier-coupled,13,G15,3,0.25420572601021263,50.94154739379883
ccfs-s1-a-tokyo,carrier-coupled,14,G15,2,0.2444910066823884,50.34989547729492
ccfs-s1-a-tokyo,carrier-coupled,15,G15,3,0.2755156353984892,49.9222412109375
ccfs-s1-a-tokyo,carrier-coupled,16,G15,2,0.21379891274323248,47.48112869262695
ccfs-s1-a-tokyo,carrier-coupled,17,G15,3,0.3484752854395872,45.95709991455078
ccfs-s1-a-tokyo,carrier-coupled,18,G15,2,0.38399664025118607,44.86281967163086
ccfs-s1-a-tokyo,carrier-coupled,19,G15,3,0.30047878467677835,43.39955520629883
ccfs-s1-a-tokyo,carrier-coupled,20,G15,2,0.2860728631758433,45.21893882751465
ccfs-s1-a-tokyo,carrier-coupled,21,G15,3,0.17864237086255427,48.26811981201172
ccfs-s1-a-tokyo,carrier-coupled,22,G15,2,0.16511951888776027,49.328765869140625
ccfs-s1-a-tokyo,carrier-coupled,23,G15,3,0.16352619014313668,49.970645904541016
ccfs-s1-a-tokyo,carrier-coupled,24,G15,2,0.05276624264927054,52.289865493774414
ccfs-s1-a-tokyo,carrier-coupled,25,G15,3,0.07498844845474859,52.345909118652344
ccfs-s1-a-tokyo,carrier-coupled,26,G15,2,0.05839364060545825,54.12750244140625
ccfs-s1-a-tokyo,carrier-coupled,27,G15,3,0.0373341921053855,55.773468017578125
ccfs-s1-a-tokyo,carrier-coupled,28,G15,2,0.02498135747166261,56.01951026916504
ccfs-s1-a-tokyo,carrier-coupled,29,G15,2,0.03098240136133039,56.024858474731445
ccfs-s1-a-tokyo,carrier-coupled,12,G10,14,0.11943744127881262,51.7944221496582
ccfs-s1-a-tokyo,carrier-coupled,13,G10,3,0.12739529317055145,51.85888671875
ccfs-s1-a-tokyo,carrier-coupled,14,G10,2,0.19410893178050542,49.87735939025879
ccfs-s1-a-tokyo,carrier-coupled,15,G10,3,0.20385724006502398,48.43031692504883
ccfs-s1-a-tokyo,carrier-coupled,16,G10,2,0.2088970208773349,48.335763931274414
ccfs-s1-a-tokyo,carrier-coupled,17,G10,3,0.24033346841290099,47.703556060791016
ccfs-s1-a-tokyo,carrier-coupled,18,G10,2,0.21960456028480535,47.16519355773926
ccfs-s1-a-tokyo,carrier-coupled,19,G10,3,0.24287877274149122,47.050941467285156
ccfs-s1-a-tokyo,carrier-coupled,20,G10,2,0.2470532023161695,46.99107551574707
ccfs-s1-a-tokyo,carrier-coupled,21,G10,3,0.3051198410848177,46.9555549621582
ccfs-s1-a-tokyo,carrier-coupled,22,G10,2,0.1998105388557032,46.69788360595703
ccfs-s1-a-tokyo,carrier-coupled,23,G10,3,0.25685970787263357,46.1196174621582
ccfs-s1-a-tokyo,carrier-coupled,24,G10,2,0.15674839388351558,46.82650566101074
ccfs-s1-a-tokyo,carrier-coupled,25,G10,3,0.20755952842246878,45.52864456176758
ccfs-s1-a-tokyo,carrier-coupled,26,G10,2,0.262594265553306,45.60434913635254
ccfs-s1-a-tokyo,carrier-coupled,27,G10,3,0.2348996785235134,45.14921188354492
ccfs-s1-a-tokyo,carrier-coupled,28,G10,2,0.2088855283080328,45.62808036804199
ccfs-s1-a-tokyo,carrier-coupled,29,G10,2,0.22115195819729125,46.64884567260742
ccfs-s1-a-tokyo,carrier-coupled,12,G23,13,0.07337770581837305,56.699623107910156
ccfs-s1-a-tokyo,carrier-coupled,13,G23,2,0.13616682088842927,54.564327239990234
ccfs-s1-a-tokyo,carrier-coupled,14,G23,3,0.12832376666220796,54.220359802246094
ccfs-s1-a-tokyo,carrier-coupled,15,G23,2,0.09990255934034196,53.553863525390625
ccfs-s1-a-tokyo,carrier-coupled,16,G23,3,0.11398390383192539,53.73485565185547
ccfs-s1-a-tokyo,carrier-coupled,17,G23,2,0.13448677136628565,52.959983825683594
ccfs-s1-a-tokyo,carrier-coupled,18,G23,3,0.11523713670509886,51.65236282348633
ccfs-s1-a-tokyo,carrier-coupled,19,G23,2,0.11625572888664124,52.51276206970215
ccfs-s1-a-tokyo,carrier-coupled,20,G23,3,0.12196913898644393,52.14656448364258
ccfs-s1-a-tokyo,carrier-coupled,21,G23,2,0.09735521482787723,51.64504814147949
ccfs-s1-a-tokyo,carrier-coupled,22,G23,3,0.11750482816715538,50.381500244140625
ccfs-s1-a-tokyo,carrier-coupled,23,G23,2,0.16736550842513087,48.76022911071777
ccfs-s1-a-tokyo,carrier-coupled,24,G23,3,0.1474472245855779,43.989013671875
ccfs-s1-a-tokyo,carrier-coupled,25,G23,2,0.180508756240884,43.64384841918945
ccfs-s1-a-tokyo,carrier-coupled,26,G23,3,0.12433225386344882,44.90130615234375
ccfs-s1-a-tokyo,carrier-coupled,27,G23,2,0.21129577181969977,44.84858512878418
ccfs-s1-a-tokyo,carrier-coupled,28,G23,3,0.2191861862939871,44.948421478271484
ccfs-s1-a-tokyo,carrier-coupled,29,G23,2,0.11377720529283677,45.06357192993164
ccfs-s1-a-tokyo,doppler-locked,12,G32,50,0.06245567924458707,46.49455261230469
ccfs-s1-a-tokyo,doppler-locked,13,G32,50,0.08240611132878504,47.48514175415039
ccfs-s1-a-tokyo,doppler-locked,14,G32,50,0.07803093564392895,46.204301834106445
ccfs-s1-a-tokyo,doppler-locked,15,G32,50,0.06136210746942701,44.31599807739258
ccfs-s1-a-tokyo,doppler-locked,16,G32,27,0.06232916898039934,46.103118896484375
ccfs-s1-a-tokyo,doppler-locked,17,G32,2,0.05089634746384732,45.08754920959473
ccfs-s1-a-tokyo,doppler-locked,18,G32,3,0.06637053472269398,43.81932067871094
ccfs-s1-a-tokyo,doppler-locked,19,G32,2,0.08731580324586109,43.343475341796875
ccfs-s1-a-tokyo,doppler-locked,20,G32,3,0.07308610737080436,44.8885383605957
ccfs-s1-a-tokyo,doppler-locked,21,G32,2,0.059721129503895395,46.802059173583984
ccfs-s1-a-tokyo,doppler-locked,22,G32,3,0.10306641690733928,45.86004638671875
ccfs-s1-a-tokyo,doppler-locked,23,G32,2,0.1008490879105843,46.21147537231445
ccfs-s1-a-tokyo,doppler-locked,24,G32,3,0.07655377044824214,45.403564453125
ccfs-s1-a-tokyo,doppler-locked,25,G32,2,0.08933749131823672,46.54473114013672
ccfs-s1-a-tokyo,doppler-locked,26,G32,3,0.09217593659887968,45.76188278198242
ccfs-s1-a-tokyo,doppler-locked,27,G32,2,0.06940035957608368,45.66540718078613
ccfs-s1-a-tokyo,doppler-locked,28,G32,3,0.08967239990237375,46.025169372558594
ccfs-s1-a-tokyo,doppler-locked,29,G32,2,0.09820764176981416,44.32856750488281
ccfs-s1-a-tokyo,doppler-locked,12,G12,14,0.034750620999260545,51.36485290527344
ccfs-s1-a-tokyo,doppler-locked,13,G12,2,0.026058300111905183,52.35045051574707
ccfs-s1-a-tokyo,doppler-locked,14,G12,3,0.044098524934601174,52.347801208496094
ccfs-s1-a-tokyo,doppler-locked,15,G12,2,0.07982067731905906,51.032928466796875
ccfs-s1-a-tokyo,doppler-locked,16,G12,3,0.019066427552021255,53.58926010131836
ccfs-s1-a-tokyo,doppler-locked,17,G12,2,0.03772949282987974,53.7413272857666
ccfs-s1-a-tokyo,doppler-locked,18,G12,3,0.026363162520086778,52.16184616088867
ccfs-s1-a-tokyo,doppler-locked,19,G12,2,0.026989056599813127,51.69382667541504
ccfs-s1-a-tokyo,doppler-locked,20,G12,3,0.06320448214734325,52.35218048095703
ccfs-s1-a-tokyo,doppler-locked,21,G12,2,0.041608137324622825,51.121686935424805
ccfs-s1-a-tokyo,doppler-locked,22,G12,3,0.014805264187388863,50.648624420166016
ccfs-s1-a-tokyo,doppler-locked,23,G12,2,0.05554710352926788,51.45400047302246
ccfs-s1-a-tokyo,doppler-locked,24,G12,3,0.07147055320241814,51.11493682861328
ccfs-s1-a-tokyo,doppler-locked,25,G12,2,0.01899168712463973,50.78102493286133
ccfs-s1-a-tokyo,doppler-locked,26,G12,3,0.03342476577827671,51.612152099609375
ccfs-s1-a-tokyo,doppler-locked,27,G12,2,0.04352260827500278,50.70100402832031
ccfs-s1-a-tokyo,doppler-locked,28,G12,3,0.03163080618030688,49.93516540527344
ccfs-s1-a-tokyo,doppler-locked,29,G12,2,0.0497496133135614,50.44738006591797
ccfs-s1-a-tokyo,doppler-locked,12,G25,14,0.06647779875097005,46.54062080383301
ccfs-s1-a-tokyo,doppler-locked,13,G25,2,0.10286772894934221,47.420000076293945
ccfs-s1-a-tokyo,doppler-locked,14,G25,3,0.09308250814435974,47.92040252685547
ccfs-s1-a-tokyo,doppler-locked,15,G25,2,0.06194007006998193,46.11592674255371
ccfs-s1-a-tokyo,doppler-locked,16,G25,3,0.03592692284675523,46.981536865234375
ccfs-s1-a-tokyo,doppler-locked,17,G25,2,0.09486506163973754,47.54421615600586
ccfs-s1-a-tokyo,doppler-locked,18,G25,3,0.0460291758240129,45.933937072753906
ccfs-s1-a-tokyo,doppler-locked,19,G25,2,0.058030799395778626,47.24788284301758
ccfs-s1-a-tokyo,doppler-locked,20,G25,3,0.08587851191036826,47.61782455444336
ccfs-s1-a-tokyo,doppler-locked,21,G25,2,0.06477861362509041,47.57606506347656
ccfs-s1-a-tokyo,doppler-locked,22,G25,3,0.054868151708195055,46.7907600402832
ccfs-s1-a-tokyo,doppler-locked,23,G25,2,0.04259137392165187,45.92689895629883
ccfs-s1-a-tokyo,doppler-locked,24,G25,3,0.12072919767428512,46.45648193359375
ccfs-s1-a-tokyo,doppler-locked,25,G25,2,0.07783387616297341,47.00575256347656
ccfs-s1-a-tokyo,doppler-locked,26,G25,3,0.07306904981250886,47.64023971557617
ccfs-s1-a-tokyo,doppler-locked,27,G25,2,0.07227566988646433,45.97576332092285
ccfs-s1-a-tokyo,doppler-locked,28,G25,3,0.06787361388114818,47.70800018310547
