scenario,model,operating_point,diagnostic_only,seed,roc_auc,stable_pre_fpr,post_detection,converged,source_checkpoint,source_file,seed_count,roc_auc_mean,roc_auc_std,all_members_converged,nonconverged_excluded
DS8,Magnitude all9,q995,true,202,0.9733327871538587,0.008403361344537815,0.8467966573816156,true,models/magnitude_all9_seed202.pt,per_epoch/DS8.csv,,,,,
DS8,Complex EPL,q99,false,202,0.9385489571873318,0.11764705882352941,0.9707520891364902,true,models/complex_EPL_seed202.pt,per_epoch/DS8.csv,,,,,
DS8,Complex EPL,q995,true,202,0.9385489571873318,0.11764705882352941,0.9707520891364902,true,models/complex_EPL_seed202.pt,per_epoch/DS8.csv,,,,,
DS8,Magnitude EPL,q99,false,202,0.9749245101940498,0.04201680672268908,0.9080779944289693,true,models/magnitude_EPL_seed202.pt,per_epoch/DS8.csv,,,,,
DS8,Magnitude EPL,q995,true,202,0.9749245101940498,0.0,0.8272980501392758,true,models/magnitude_EPL_seed202.pt,per_epoch/DS8.csv,,,,,
DS8,Complex all9,q99,false,303,0.9773530582149295,0.025210084033613446,0.9303621169916435,true,models/complex_all9_seed303.pt,per_epoch/DS8.csv,,,,,
DS8,Complex all9,q995,true,303,0.9773530582149295,0.01680672268907563,0.924791086350975,true,models/complex_all9_seed303.pt,per_epoch/DS8.csv,,,,,
DS8,Magnitude all9,q99,false,303,0.9696168160857658,0.008403361344537815,0.8579387186629527,true,models/magnitude_all9_seed303.pt,per_epoch/DS8.csv,,,,,
DS8,Magnitude all9,q995,true,303,0.9696168160857658,0.008403361344537815,0.8467966573816156,true,models/magnitude_all9_seed303.pt,per_epoch/DS8.csv,,,,,
DS8,Complex EPL,q99,false,303,0.9587907586432902,0.06722689075630252,0.9623955431754875,true,models/complex_EPL_seed303.pt,per_epoch/DS8.csv,,,,,
DS8,Complex EPL,q995,true,303,0.9587907586432902,0.06722689075630252,0.9623955431754875,true,models/complex_EPL_seed303.pt,per_epoch/DS8.csv,,,,,
DS8,Magnitude EPL,q99,false,303,0.9722501814096112,0.05042016806722689,0.9178272980501393,true,models/magnitude_EPL_seed303.pt,per_epoch/DS8.csv,,,,,
DS8,Magnitude EPL,q995,true,303,0.9722501814096112,0.008403361344537815,0.871866295264624,true,models/magnitude_EPL_seed303.pt,per_epoch/DS8.csv,,,,,
DS1,mean_std::Complex EPL,q99,,mean/std,,,,,,,3,0.9293605491666433,0.01057864313138106,true,true
DS1,mean_std::Complex EPL,q995,,mean/std,,,,,,,3,0.9293605491666433,0.01057864313138106,true,true
DS1,mean_std::Complex all9,q99,,mean/std,,,,,,,3,0.9327532014512624,0.009061867383306438,true,true
DS1,mean_std::Complex all9,q995,,mean/std,,,,,,,3,0.9327532014512624,0.009061867383306438,true,true
DS1,mean_std::Magnitude EPL,q99,,mean/std,,,,,,,3,0.9691210349105086,0.0027786313285344034,true,true
DS1,mean_std::Magnitude EPL,q995,,mean/std,,,,,,,3,0.9691210349105086,0.0027786313285344034,true,true
DS1,mean_std::Magnitude all9,q99,,mean/std,,,,,,,3,0.9619673186155181,0.00019041743737676544,true,true
DS1,mean_std::Magnitude all9,q995,,mean/std,,,,,,,3,0.9619673186155181,0.00019041743737676544,true,true
DS2,mean_std::Complex EPL,q99,,mean/std,,,,,,,3,0.9612062655540917,0.01944429068894997,true,true
