scenario,operating_point,threshold,rows,clean_test_fpr,stable_pre_fpr,post_detection,persistent_detection,roc_auc,pr_auc,sustained3_delay_s,model,diagnostic_only,source_file,roc_definition,phase_definition,status,reason,included_in_attack_go
DS7,q995,4.836281906951478,527,,0.0,0.59375,0.7375,0.9437237394957984,0.979697365145896,68.0,Magnitude EPL,true,per_epoch/DS7.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS7,q99,1.7035537524611113,527,,0.08403361344537816,0.63125,0.8333333333333334,0.8896008403361344,0.957753657287508,N/A: already alarming in stable-pre,B0 Exact,false,per_epoch/DS7.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS7,q995,1.7035537524611113,527,,0.08403361344537816,0.63125,0.8333333333333334,0.8896008403361344,0.957753657287508,N/A: already alarming in stable-pre,B0 Exact,true,per_epoch/DS7.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS8,q99,4.007979690355477,925,,0.01680672268907563,0.9345403899721448,0.9749216300940439,0.9867219868448772,0.9978832443412149,2.5,Complex all9,false,per_epoch/DS8.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS8,q995,4.836281906951478,925,,0.0,0.915041782729805,0.957680250783699,0.9867219868448772,0.9978832443412149,4.5,Complex all9,true,per_epoch/DS8.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS8,q99,4.143134726391533,925,,0.008403361344537815,0.8551532033426184,0.932601880877743,0.9722209217949018,0.9877724932758992,21.0,Magnitude all9,false,per_epoch/DS8.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS8,q995,4.836281906951478,925,,0.008403361344537815,0.8426183844011143,0.9278996865203761,0.9722209217949018,0.9877724932758992,22.0,Magnitude all9,true,per_epoch/DS8.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS8,q99,3.9120856662048844,925,,0.10084033613445378,0.967966573816156,0.9827586206896551,0.966275368085953,0.9594775518845147,N/A: already alarming in stable-pre,Complex EPL,false,per_epoch/DS8.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS8,q995,3.956596130413059,925,,0.10084033613445378,0.9665738161559888,0.9827586206896551,0.966275368085953,0.9594775518845147,N/A: already alarming in stable-pre,Complex EPL,true,per_epoch/DS8.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS8,q99,3.8377044824334807,925,,0.04201680672268908,0.9122562674094707,0.9561128526645768,0.976457714004822,0.9961717998132302,17.0,Magnitude EPL,false,per_epoch/DS8.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS8,q995,4.836281906951478,925,,0.0,0.8217270194986073,0.8918495297805643,0.976457714004822,0.9961717998132302,22.0,Magnitude EPL,true,per_epoch/DS8.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS8,q99,1.7035537524611113,925,,0.0,0.915041782729805,0.9608150470219435,0.9819760773390136,0.997224451639476,17.5,B0 Exact,false,per_epoch/DS8.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS8,q995,1.7035537524611113,925,,0.0,0.915041782729805,0.9608150470219435,0.9819760773390136,0.997224451639476,17.5,B0 Exact,true,per_epoch/DS8.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS4,NA,,,,,,,,,,NA,,,,,NA,mixed-producer dataset is outside the five-scenario Shape-Only attack GO contract,false
