criterion,first_alarm_delay_s,persistence,post_detection_rate,post_events,pr_auc,pre_events,pre_fpr,roc_auc,scenario,score,threshold
q995,81.0,0.008571428571428572,0.008571428571428572,700,0.8310951948582807,160,0.00625,0.5304285714285715,os3,A3,3.5997956112571123
FPR1,81.0,0.008571428571428572,0.008571428571428572,700,0.8310951948582807,160,0.00625,0.5304285714285715,os3,A3,3.55456013818232
q99,140.5,0.004285714285714286,0.004285714285714286,700,0.8158250334432253,160,0.0,0.5135178571428571,os3,A4,4.500612513552208
q995,,0.0,0.0,700,0.8158250334432253,160,0.0,0.5135178571428571,os3,A4,5.236979456232935
FPR1,140.5,0.004285714285714286,0.004285714285714286,700,0.8158250334432253,160,0.0,0.5135178571428571,os3,A4,4.500612513552208
q99,10.0,1.0,1.0,700,0.9999999999999999,160,0.0,1.0,os4,Full,8.92725718498114
q995,10.0,1.0,1.0,700,0.9999999999999999,160,0.0,1.0,os4,Full,9.59855959495032
FPR1,10.0,1.0,1.0,700,0.9999999999999999,160,0.0,1.0,os4,Full,8.92725718498114
q99,10.0,1.0,1.0,700,0.9999999999999999,160,0.0,1.0,os4,A2,3.5873610596999046
q995,10.0,1.0,1.0,700,0.9999999999999999,160,0.0,1.0,os4,A2,3.8634110763153147
FPR1,10.0,1.0,1.0,700,0.9999999999999999,160,0.0,1.0,os4,A2,3.5873610596999046
q99,307.0,0.0014285714285714286,0.0014285714285714286,700,0.7654391704020893,160,0.025,0.3831160714285714,os4,A3,3.55456013818232
q995,307.0,0.0014285714285714286,0.0014285714285714286,700,0.7654391704020893,160,0.025,0.3831160714285714,os4,A3,3.5997956112571123
FPR1,307.0,0.0014285714285714286,0.0014285714285714286,700,0.7654391704020893,160,0.025,0.3831160714285714,os4,A3,3.55456013818232
q99,97.5,0.007142857142857143,0.007142857142857143,700,0.8356859370814805,160,0.0,0.5458392857142857,os4,A4,4.500612513552208
q995,175.0,0.002857142857142857,0.002857142857142857,700,0.8356859370814805,160,0.0,0.5458392857142857,os4,A4,5.236979456232935
FPR1,97.5,0.007142857142857143,0.007142857142857143,700,0.8356859370814805,160,0.0,0.5458392857142857,os4,A4,4.500612513552208
