window_mid_s,score_mean,score_prior_consensus_gate,score_soft_quorum_gate,prn_count,prior_high_fraction,soft_high_fraction
62.5,1.242725044948816,1.581650057207584,2.1465250776388642,11,0.2727272727272727,0.36363636363636365
63.0,1.2669128157381382,1.4972606004177997,2.188303954456784,11,0.18181818181818182,0.36363636363636365
63.5,1.1582563242674617,1.2635523537463218,2.2112166190560636,11,0.09090909090909091,0.45454545454545453
64.0,1.1981772081462365,1.3071024088868033,2.7231300185141736,11,0.09090909090909091,0.6363636363636364
64.5,1.1366981290078302,1.2400343225539965,2.170060064469494,11,0.09090909090909091,0.45454545454545453
65.0,1.0910264523413185,1.1902106752814383,2.082868681742517,11,0.09090909090909091,0.45454545454545453
65.5,1.18762460785491,1.2955904812962653,2.2672833422684646,11,0.09090909090909091,0.45454545454545453
66.0,1.1373376897630882,1.2407320251960963,1.7577037023611364,11,0.09090909090909091,0.2727272727272727
66.5,1.2245937821239368,1.4472471970555618,2.3378608567820613,11,0.18181818181818182,0.45454545454545453
67.0,1.3378618966220328,1.5811095141896752,2.310852366892602,11,0.18181818181818182,0.36363636363636365
67.5,1.2970315293548687,1.5328554437830266,2.2403271870675003,11,0.18181818181818182,0.36363636363636365
68.0,1.5025065903205428,1.7756896067424597,2.59523865600821,11,0.18181818181818182,0.36363636363636365
68.5,1.4260319090706182,1.814949702453514,3.240981611524132,11,0.2727272727272727,0.6363636363636364
69.0,1.4137982367127313,1.7993795739980216,2.956123585853893,11,0.2727272727272727,0.5454545454545454
69.5,1.2863273651433744,1.4032662165200447,1.9879604734033969,11,0.09090909090909091,0.2727272727272727
70.0,1.7764884050484837,1.937987350961982,2.7454820805294746,11,0.09090909090909091,0.2727272727272727
70.5,2.163627336964063,2.5570141255029837,4.130561279658665,11,0.18181818181818182,0.45454545454545453
71.0,2.267030763129305,2.6792181746073607,3.5035929975634716,11,0.18181818181818182,0.2727272727272727
71.5,2.3383949264727293,2.5509762834247955,3.613883068185127,11,0.09090909090909091,0.2727272727272727
