feature,pre_absz_median,post_absz_median,delta_post_minus_pre,post_absz_q95,pre_absz_q95
dmcpd_pair4_signed_asym_mean,0.6558293100031284,1.3076738856263401,0.6518445756232117,4.350564831318855,2.6562760147238165
dmcpd_pair3_sum_to_prompt_mean,0.6695221512522062,1.3191713109092078,0.6496491596570017,5.120373245084331,2.321665809481304
tap_E3_rel_sum_mean,0.6428920629107574,1.2849817965858334,0.642089733675076,4.334476351712087,2.5337325380021736
dmcpd_pair4_ratio_mean,0.6317449265405153,1.2578681407251884,0.6261232141846731,3.379690202117069,3.6959658417902035
tap_P_rel_sum_mean,0.6572489728271437,1.2657374903337875,0.6084885175066438,5.671841170056386,2.3558243283919538
dmcpd_prompt_dominance_mean,0.6572489732066406,1.2657374906154735,0.6084885174088329,5.671841172414196,2.3558243294796672
dmcpd_pair4_sum_to_prompt_mean,0.6728763643096105,1.2557577495935255,0.582881385283915,3.821164690581252,2.3952297675052194
dmcpd_pair3_ratio_mean,0.6366659125255056,1.1654610414010702,0.5287951288755646,3.278986942391113,3.1380797115729524
peak_sharpness_mean,0.6865337586806984,1.203859942711739,0.5173261840310405,5.560383763510447,2.349465791808803
dmcpd_pair3_signed_asym_mean,0.65007340225057,1.1387813428650457,0.48870794061447576,4.200987938764504,2.8034637493274697
dmcpd_centroid_shift_mean,0.6513946893389119,1.1366485431743167,0.48525385383540487,3.913527482555175,2.8445776733472576
tap_L3_rel_prompt_mean,0.6358619243345001,1.1097370599829348,0.47387513564843475,3.601036766101567,2.7210312075652614
tap_E2_rel_sum_mean,0.6473504562776183,1.0777007424269334,0.43035028614931503,3.5067325573959214,2.827438766011964
left_right_imbalance_mean,0.6301604593971519,1.0281235759905667,0.39796311659341477,3.6591113651968374,2.857268982195577
tap_L2_rel_sum_mean,0.6144766257496054,0.8870439188409845,0.27256729309137917,2.706062270118462,2.574732865265718
tap_L3_rel_sum_mean,0.6169459071740214,0.8718006116938388,0.2548547045198174,2.6514100328036423,2.661946218889053
dmcpd_pair2_signed_asym_mean,0.6374885179304145,0.8249036048828747,0.18741508695246023,3.4349159969836016,2.912095667411022
cn0_std,0.6451856372097203,0.7969044610630214,0.15171882385330104,2.990389083808449,2.387306893366065
tap_L4_rel_sum_mean,0.64647996507573,0.7848352524215624,0.13835528734583236,2.436568408962093,2.61701508934466
dmcpd_pair2_ratio_mean,0.6191099902380023,0.755206921059108,0.13609693082110574,2.971189791871871,2.7809508353345413
dmcpd_pair4_abs_asym_mean,0.6243169093686609,0.7424538663239968,0.11813695695533588,2.9377182044930237,3.3870341917783797
tap_E4_cv,0.6315010205834289,0.7491700205624957,0.11766899997906677,2.9329387326901206,3.3357303200488126
dmcpd_pair1_signed_asym_mean,0.5650277459005614,0.6677813030661909,0.1027535571656295,2.593642158029833,2.9879365760513776
peak_width_std,0.6440668091202847,0.7389505469113925,0.09488373779110781,3.287898354430243,4.121401082140276
tap_E3_cv,0.6411862774730327,0.7268923013157135,0.08570602384268078,3.09622454653453,3.460368250322221
peak_sharpness_std,0.619779378533819,0.7008064505931231,0.08102707205930404,2.9901052215262824,3.775337769057203
tap_L2_cv,0.6351409381492799,0.7105736316623562,0.07543269351307635,2.951548590691054,3.308432916168012
dmcpd_pair1_ratio_mean,0.5901048615399136,0.6593091698619609,0.06920430832204727,2.596007886392662,2.9661609152869337
tap_L3_cv,0.6298063872157034,0.6925265605184887,0.06272017330278534,2.7370664382041117,3.211781626464937
left_right_imbalance_std,0.6327440955654166,0.6954358001142212,0.06269170454880468,3.177375463483874,3.762820608237364
dmcpd_pair3_abs_asym_mean,0.6405200673361365,0.7021024409230953,0.06158237358695873,3.0334078308540824,3.6935807547645747
dmcpd_left_right_energy_abs_mean,0.6300017983459691,0.6903196187818065,0.06031782043583733,3.087195398438085,3.6114130230981347
tap_L4_cv,0.6408829958792763,0.6987838207272601,0.057900824847983756,2.6930308228126125,3.064200190263242
dmcpd_pair2_abs_asym_mean,0.6317183096437098,0.6879049914120486,0.05618668176833885,3.2449344069697283,3.851982480797452
tap_E2_cv,0.646651696958084,0.6996835647211542,0.05303186776307023,2.954508261086446,3.4509345892172965
dmcpd_centroid_shift_std,0.633888476958071,0.6791762141437717,0.04528773718570067,3.124123952422665,3.6260743459859905
