group,agg,scenario,feature_count,rows,pfa10_q90_normal_flag_rate,pfa5_q95_normal_flag_rate,pfa1_q99_normal_flag_rate,pfa0_5_q995_normal_flag_rate,pfa0_1_q999_normal_flag_rate,pre_windows_t_lt_90,post_windows_t_ge_110,auc_pre_vs_post_buffered,pre_score_median,post_score_median,pre_score_q95,post_score_q95,pfa10_q90_pre_fp_rate,pfa10_q90_post_det_rate,pfa10_q90_first_delay_s,pfa5_q95_pre_fp_rate,pfa5_q95_post_det_rate,pfa5_q95_first_delay_s,pfa1_q99_pre_fp_rate,pfa1_q99_post_det_rate,pfa1_q99_first_delay_s,pfa0_5_q995_pre_fp_rate,pfa0_5_q995_post_det_rate,pfa0_5_q995_first_delay_s,pfa0_1_q999_pre_fp_rate,pfa0_1_q999_post_det_rate,pfa0_1_q999_first_delay_s
tap_rel_cv_only,score_top3,ds2,27,913,,,,,,179.0,694.0,0.7511551527055528,2.3917799363542795,3.576536135624524,6.744038549575147,7.241083165070273,0.18994413407821228,0.17435158501440923,10.0,0.1452513966480447,0.17435158501440923,10.0,0.055865921787709494,0.17002881844380405,10.0,0.01675977653631285,0.1642651296829971,10.0,0.0,0.11959654178674352,76.5
tap_rel_cv_only,score_top3,ds4,27,255,,,,,,179.0,36.0,0.8080384854127871,2.0301801964032844,2.866625871582942,4.03564708512124,3.1219506943542448,0.01675977653631285,0.0,,0.00558659217877095,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
tap_rel_cv_only,score_top5,cleanStatic,27,959,0.10010427528675704,0.05005213764337852,0.010427528675703858,0.005213764337851929,0.0010427528675703858,,,,,,,,,,,,,,,,,,,,,,
tap_rel_cv_only,score_top5,ds1,27,922,,,,,,179.0,703.0,0.9852269205400638,1.7205377057797644,4.832899587505739,4.368233819245303,7.164966258410809,0.0782122905027933,0.9786628733997155,17.0,0.0223463687150838,0.9516358463726885,17.0,0.0,0.7453769559032717,19.5,0.0,0.6984352773826458,19.5,0.0,0.5433854907539118,20.0
tap_rel_cv_only,score_top5,ds2,27,913,,,,,,179.0,694.0,0.8073913673466102,1.8599414460458543,3.284918426099419,4.708825652790569,5.573705561561689,0.18435754189944134,0.18876080691642652,10.0,0.1452513966480447,0.1829971181556196,10.0,0.07262569832402235,0.1786743515850144,10.0,0.061452513966480445,0.17723342939481268,10.0,0.0111731843575419,0.17579250720461095,10.0
tap_rel_cv_only,score_top5,ds4,27,255,,,,,,179.0,36.0,0.8518001241464929,1.6876074299274548,2.5457714964133986,2.985442136696474,2.7583572680096764,0.01675977653631285,0.0,,0.00558659217877095,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
tap_rel_cv_only,score_max,cleanStatic,27,959,0.10010427528675704,0.05005213764337852,0.010427528675703858,0.005213764337851929,0.0010427528675703858,,,,,,,,,,,,,,,,,,,,,,
tap_rel_cv_only,score_max,ds1,27,922,,,,,,179.0,703.0,0.8011872501728426,2.6173286154737445,6.0292941116505,15.173455195190884,15.297568521817066,0.19553072625698323,0.3015647226173542,17.0,0.19553072625698323,0.3015647226173542,17.0,0.17318435754189945,0.3015647226173542,17.0,0.1564245810055866,0.29871977240398295,17.0,0.061452513966480445,0.21906116642958748,17.0
tap_rel_cv_only,score_max,ds2,27,913,,,,,,179.0,694.0,0.5906171010899489,3.6510043884511285,4.148013800528272,15.123820116558509,14.808134028903801,0.19553072625698323,0.07060518731988473,77.5,0.18994413407821228,0.04899135446685879,78.0,0.17318435754189945,0.018731988472622477,78.0,0.12849162011173185,0.002881844380403458,131.5,0.027932960893854747,0.0,
tap_rel_cv_only,score_max,ds4,27,255,,,,,,179.0,36.0,0.7630353817504656,2.3572465553430324,3.2023412123499018,8.588127888497716,3.4862866810295774,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.00558659217877095,0.0,,0.0,0.0,
tap_cv_only,score_mean,cleanStatic,9,959,0.10010427528675704,0.05005213764337852,0.010427528675703858,0.005213764337851929,0.0010427528675703858,,,,,,,,,,,,,,,,,,,,,,
tap_cv_only,score_mean,ds1,9,922,,,,,,179.0,703.0,0.7310647901650548,1.186379245544083,1.3877999375590127,1.7937388055552828,2.02309287519429,0.055865921787709494,0.28165007112375534,19.0,0.0223463687150838,0.2503556187766714,19.0,0.0,0.14793741109530584,19.5,0.0,0.12802275960170698,20.0,0.0,0.06685633001422475,25.0
tap_cv_only,score_mean,ds2,9,913,,,,,,179.0,694.0,0.5941751324199442,1.272962250644721,1.364472022418674,1.9451030921715502,3.1476587954308175,0.1564245810055866,0.23631123919308358,10.0,0.1340782122905028,0.2219020172910663,10.0,0.0670391061452514,0.20461095100864554,10.0,0.0335195530726257,0.20317002881844382,10.0,0.027932960893854747,0.19452449567723343,10.0
tap_cv_only,score_mean,ds4,9,255,,,,,,179.0,36.0,0.17256362507759157,1.1433370700155852,0.9028815033558355,1.6250816125792853,1.3676912574533122,0.0111731843575419,0.05555555555555555,13.5,0.0111731843575419,0.027777777777777776,14.0,0.0,0.027777777777777776,14.0,0.0,0.027777777777777776,14.0,0.0,0.027777777777777776,14.0
tap_cv_only,score_top3,cleanStatic,9,959,0.10010427528675704,0.05005213764337852,0.010427528675703858,0.005213764337851929,0.0010427528675703858,,,,,,,,,,,,,,,,,,,,,,
tap_cv_only,score_top3,ds1,9,922,,,,,,179.0,703.0,0.7564547788011475,2.776684269913235,3.5010562820960254,4.908802517181461,5.5021151763322145,0.0893854748603352,0.2802275960170697,19.0,0.05027932960893855,0.25889046941678523,20.0,0.0,0.1507823613086771,25.0,0.0,0.12660028449502134,25.0,0.0,0.11522048364153627,25.0
tap_cv_only,score_top3,ds2,9,913,,,,,,179.0,694.0,0.4138827620626922,3.032310600298974,2.828998887056891,5.086678447320404,5.021196380784892,0.17318435754189945,0.0792507204610951,10.0,0.1005586592178771,0.06195965417867435,10.0,0.0335195530726257,0.02881844380403458,10.0,0.0335195530726257,0.021613832853025938,10.0,0.0335195530726257,0.018731988472622477,10.0
tap_cv_only,score_top3,ds4,9,255,,,,,,179.0,36.0,0.12383612662942271,2.6755766846742115,1.7053297673411958,3.9414765210873774,2.924658815909265,0.00558659217877095,0.0,,0.00558659217877095,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
tap_cv_only,score_top5,cleanStatic,9,959,0.10010427528675704,0.05005213764337852,0.010427528675703858,0.005213764337851929,0.0010427528675703858,,,,,,,,,,,,,,,,,,,,,,
tap_cv_only,score_top5,ds1,9,922,,,,,,179.0,703.0,0.7327971900156551,2.004488702022144,2.3955049214773703,3.418534897333746,3.958417631714784,0.0446927374301676,0.28165007112375534,19.0,0.01675977653631285,0.26458036984352773,19.5,0.0,0.17069701280227595,25.0,0.0,0.15220483641536273,25.0,0.0,0.12091038406827881,25.0
tap_cv_only,score_top5,ds2,9,913,,,,,,179.0,694.0,0.49806803728688037,2.2255950978098107,2.2142927290423033,3.7628349363848224,4.123541460315061,0.18435754189944134,0.14553314121037464,10.0,0.12849162011173185,0.1282420749279539,10.0,0.055865921787709494,0.11095100864553314,10.0,0.055865921787709494,0.10951008645533142,10.0,0.03910614525139665,0.10230547550432277,10.0
tap_cv_only,score_top5,ds4,9,255,,,,,,179.0,36.0,0.1301986343885785,1.9660592949266136,1.36461290036276,2.931778460469366,2.1875994534871195,0.0111731843575419,0.027777777777777776,14.0,0.00558659217877095,0.027777777777777776,14.0,0.00558659217877095,0.027777777777777776,14.0,0.00558659217877095,0.027777777777777776,14.0,0.0,0.027777777777777776,14.0
tap_cv_only,score_max,cleanStatic,9,959,0.10010427528675704,0.05005213764337852,0.010427528675703858,0.005213764337851929,0.0010427528675703858,,,,,,,,,,,,,,,,,,,,,,
tap_cv_only,score_max,ds1,9,922,,,,,,179.0,703.0,0.7096164085284932,3.3898181950653705,4.224743558464445,9.050695588784714,9.033888847159469,0.13966480446927373,0.21763869132290184,17.0,0.0782122905027933,0.13086770981507823,17.5,0.0335195530726257,0.029871977240398292,25.5,0.01675977653631285,0.015647226173541962,25.5,0.00558659217877095,0.012802275960170697,25.5
tap_cv_only,score_max,ds2,9,913,,,,,,179.0,694.0,0.44539790382045624,4.826949038749003,3.937345408255013,8.895542434996003,8.76789237705635,0.1005586592178771,0.05043227665706052,10.0,0.055865921787709494,0.03602305475504323,10.0,0.00558659217877095,0.018731988472622477,10.0,0.0,0.01440922190201729,10.0,0.0,0.008645533141210375,10.0
tap_cv_only,score_max,ds4,9,255,,,,,,179.0,36.0,0.30741775294847923,3.2232730250645663,2.707426503572968,6.245295007541623,3.985797165304297,0.00558659217877095,0.0,,0.00558659217877095,0.0,,0.00558659217877095,0.0,,0.00558659217877095,0.0,,0.00558659217877095,0.0,
tap_rel_prompt_only,score_mean,cleanStatic,9,959,0.10010427528675704,0.05005213764337852,0.010427528675703858,0.005213764337851929,0.0010427528675703858,,,,,,,,,,,,,,,,,,,,,,
