group,agg,scenario,feature_count,rows,pfa10_q90_normal_flag_rate,pfa5_q95_normal_flag_rate,pfa1_q99_normal_flag_rate,pfa0_5_q995_normal_flag_rate,pfa0_1_q999_normal_flag_rate,pre_windows_t_lt_90,post_windows_t_ge_110,auc_pre_vs_post_buffered,pre_score_median,post_score_median,pre_score_q95,post_score_q95,pfa10_q90_pre_fp_rate,pfa10_q90_post_det_rate,pfa10_q90_first_delay_s,pfa5_q95_pre_fp_rate,pfa5_q95_post_det_rate,pfa5_q95_first_delay_s,pfa1_q99_pre_fp_rate,pfa1_q99_post_det_rate,pfa1_q99_first_delay_s,pfa0_5_q995_pre_fp_rate,pfa0_5_q995_post_det_rate,pfa0_5_q995_first_delay_s,pfa0_1_q999_pre_fp_rate,pfa0_1_q999_post_det_rate,pfa0_1_q999_first_delay_s
full_all_features,score_max,ds4,84,255,,,,,,179.0,36.0,0.638423339540658,2.8994303771349714,3.2853360493036146,8.712909117092908,3.504122542126929,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.00558659217877095,0.0,,0.00558659217877095,0.0,,0.00558659217877095,0.0,
peak_shape_only,score_top3,ds4,8,255,,,,,,179.0,36.0,0.5858162631905649,2.2227724715353587,2.318998499008707,4.594655653143294,2.6014657656573226,0.01675977653631285,0.0,,0.0111731843575419,0.0,,0.00558659217877095,0.0,,0.0,0.0,,0.0,0.0,
full_no_raw_power,score_top3,ds4,57,255,,,,,,179.0,36.0,0.5659528243327127,3.0135982336506566,3.1122034708658086,5.292776149907905,3.2953004382900963,0.0223463687150838,0.0,,0.0223463687150838,0.0,,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.0111731843575419,0.0,
peak_shape_only,score_max,ds4,8,255,,,,,,179.0,36.0,0.5238981998758535,2.606401242002538,2.6083565627969363,9.293195516138193,3.0722310320586717,0.0223463687150838,0.0,,0.0223463687150838,0.0,,0.01675977653631285,0.0,,0.00558659217877095,0.0,,0.00558659217877095,0.0,
full_no_raw_power,score_max,ds4,57,255,,,,,,179.0,36.0,0.5107076350093109,3.2599375107190296,3.3183264285905802,9.073739485325415,3.5289253604626607,0.0111731843575419,0.0,,0.00558659217877095,0.0,,0.00558659217877095,0.0,,0.00558659217877095,0.0,,0.00558659217877095,0.0,
tap_cv_only,score_max,ds4,9,255,,,,,,179.0,36.0,0.30741775294847923,3.2232730250645663,2.707426503572968,6.245295007541623,3.985797165304297,0.00558659217877095,0.0,,0.00558659217877095,0.0,,0.00558659217877095,0.0,,0.00558659217877095,0.0,,0.00558659217877095,0.0,
code_only,score_max,ds4,2,255,,,,,,179.0,36.0,0.2666045934202359,3.9200776355358613,3.2270543267049607,12.058229493567367,4.78172057173068,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
doppler_only,score_max,ds4,2,255,,,,,,179.0,36.0,0.25527622594661703,3.192344544368232,2.5368037789705746,20.0,3.936108455799406,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
doppler_only,score_mean,ds4,2,255,,,,,,179.0,36.0,0.20701427684667909,1.1987231762163224,0.9449275764727196,4.604649780599099,1.2854151311042192,0.09497206703910614,0.0,,0.0782122905027933,0.0,,0.0782122905027933,0.0,,0.0670391061452514,0.0,,0.01675977653631285,0.0,
doppler_only,score_top5,ds4,2,255,,,,,,179.0,36.0,0.15983860955927995,1.952357376292485,1.4177580690508833,8.845190757054002,2.0387325237526435,0.09497206703910614,0.0,,0.0782122905027933,0.0,,0.07262569832402235,0.0,,0.0670391061452514,0.0,,0.01675977653631285,0.0,
doppler_only,score_top3,ds4,2,255,,,,,,179.0,36.0,0.1474239602731223,2.5445670782771557,1.7626374164114782,14.047988186297873,2.6752058476528884,0.08379888268156424,0.0,,0.0782122905027933,0.0,,0.0670391061452514,0.0,,0.0670391061452514,0.0,,0.0,0.0,
tap_cv_only,score_top3,ds4,9,255,,,,,,179.0,36.0,0.12383612662942271,2.6755766846742115,1.7053297673411958,3.9414765210873774,2.924658815909265,0.00558659217877095,0.0,,0.00558659217877095,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
code_only,score_mean,ds4,2,255,,,,,,179.0,36.0,0.11840471756672874,1.300964834774327,0.8945537710563565,2.1438294131482905,1.3311499996089813,0.0111731843575419,0.0,,0.00558659217877095,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
code_only,score_top3,ds4,2,255,,,,,,179.0,36.0,0.10924891371818746,3.2865872323547194,1.9027262474174476,6.138143448172081,3.423393934500761,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
code_only,score_top5,ds4,2,255,,,,,,179.0,36.0,0.10180012414649287,2.2702976361540546,1.4721948468003698,4.317671908140122,2.304641344901176,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
