evaluation,fold,experiment,training_view,view,model,train_count,test_count,train_block_count,test_block_count,scaler_fit_sample_count,threshold,auroc,auprc,balanced_accuracy,tpr_at_5pct_fpr,tn,fp,fn,tp
sensitivity_a,0,destruction_retrained,circular_shift,circular_shift,M2,188,140,25,4,188,0.5,0.5277551020408163,0.5225057312776772,0.5285714285714286,0.05714285714285714,32,38,28,42
sensitivity_a,0,destruction_cross_apply,actual,circular_shift,M2,188,140,25,4,188,0.5,0.4930612244897959,0.4965060277117201,0.5,0.0,0,70,0,70
sensitivity_a,0,destruction_retrained,circular_shift,circular_shift,M3,188,140,25,4,188,0.5,0.5371428571428571,0.534926101664636,0.5071428571428571,0.05714285714285714,30,40,29,41
sensitivity_a,0,destruction_cross_apply,actual,circular_shift,M3,188,140,25,4,188,0.5,0.5,0.5000513874614594,0.5071428571428571,0.0,1,69,0,70
sensitivity_a,0,destruction_retrained,fourier_phase_randomized,fourier_phase_randomized,M2,188,140,25,4,188,0.5,0.6432653061224489,0.6516976098411388,0.5928571428571429,0.12857142857142856,40,30,27,43
sensitivity_a,0,destruction_cross_apply,actual,fourier_phase_randomized,M2,188,140,25,4,188,0.5,0.5,0.5,0.5,0.0,0,70,0,70
sensitivity_a,0,destruction_retrained,fourier_phase_randomized,fourier_phase_randomized,M3,188,140,25,4,188,0.5,0.543469387755102,0.5415142106722779,0.5357142857142857,0.05714285714285714,39,31,34,36
sensitivity_a,0,destruction_cross_apply,actual,fourier_phase_randomized,M3,188,140,25,4,188,0.5,0.5,0.5,0.5,0.0,0,70,0,70
sensitivity_a,0,stress_cross_apply,actual,channel_permutation,M2,188,140,25,4,188,0.5,1.0,0.9999999999999998,1.0,1.0,70,0,0,70
sensitivity_a,0,stress_cross_apply,actual,channel_permutation,M3,188,140,25,4,188,0.5,0.8987755102040816,0.9448407126735948,0.7714285714285714,0.8857142857142857,70,0,32,38
sensitivity_a,0,stress_cross_apply,actual,one_channel_ablation,M2,188,140,25,4,188,0.5,0.5539795918367347,0.5634211285278978,0.5,0.08571428571428572,70,0,70,0
sensitivity_a,0,stress_cross_apply,actual,one_channel_ablation,M3,188,140,25,4,188,0.5,0.5437755102040817,0.5489185993532659,0.5,0.07142857142857142,70,0,70,0
sensitivity_a,1,actual_oof,actual,actual,M0,140,184,23,4,140,0.5,1.0,1.0,0.9184782608695652,1.0,92,0,15,77
sensitivity_a,1,actual_oof,actual,actual,M1,140,184,23,4,140,0.5,1.0,1.0,1.0,1.0,92,0,0,92
sensitivity_a,1,actual_oof,actual,actual,M2,140,184,23,4,140,0.5,0.9084357277882797,0.9203324973942323,0.532608695652174,0.6956521739130435,92,0,86,6
sensitivity_a,1,actual_oof,actual,actual,M3,140,184,23,4,140,0.5,1.0,1.0,0.9945652173913043,1.0,92,0,1,91
sensitivity_a,1,destruction_retrained,mismatched,mismatched,M2,140,184,23,4,140,0.5,0.6688327032136105,0.6011942235950173,0.6358695652173914,0.05434782608695652,67,25,42,50
sensitivity_a,1,destruction_cross_apply,actual,mismatched,M2,140,184,23,4,140,0.5,0.5,0.5,0.5,0.0,0,92,0,92
sensitivity_a,1,destruction_retrained,mismatched,mismatched,M3,140,184,23,4,140,0.5,0.694234404536862,0.6511248375135714,0.6358695652173914,0.13043478260869565,62,30,37,55
sensitivity_a,1,destruction_cross_apply,actual,mismatched,M3,140,184,23,4,140,0.5,0.5054347826086957,0.5027322404371585,0.5,0.0,0,92,0,92
sensitivity_a,1,destruction_retrained,circular_shift,circular_shift,M2,140,184,23,4,140,0.5,0.6141304347826088,0.5809346566093965,0.5815217391304348,0.05434782608695652,53,39,38,54
sensitivity_a,1,destruction_cross_apply,actual,circular_shift,M2,140,184,23,4,140,0.5,0.5268194706994328,0.5139707688528617,0.5,0.0,0,92,0,92
