path,receiver,area,band,reconstructed_object,oid_sha256,logical_size_bytes,payload_present
dataset/Sample_Area1_0400000_0424999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0400000_0424999.h5,795d60ca8ce13167c1dfb2af9bcebf7d9ac2bbb64c79bc44598c75fbfa974c17,1992294400,false
dataset/Sample_Area1_0400000_0424999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0400000_0424999.h5,c5e5d1f06ca971c4659f5fc845af37301b2317bd9e45c9c241e88becfd7154d8,1758355666,false
dataset/Sample_Area1_0425000_0449999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0425000_0449999.h5,866f8546c27acaea9efc47801afc10be8bd9ea39f5b016701a1b72589237ed9a,1992294400,false
dataset/Sample_Area1_0425000_0449999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0425000_0449999.h5,783692ae096d6a4bbd762138413112a3313b9ecffd33de0e322a56d74e7b2b7b,1347971283,false
dataset/Sample_Area1_0450000_0474999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0450000_0474999.h5,affcfea3591ebb16478f6c0577f76f8f494aece71f05f07c549da2e52fd26b5c,1992294400,false
dataset/Sample_Area1_0450000_0474999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0450000_0474999.h5,ed0625c8b77d7a5fbf22457a4dd6b903d0ddb2463fc1c12e4974c71b34d5f37e,1044440145,false
dataset/Sample_Area1_0475000_0499999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0475000_0499999.h5,9e760b5339098f6d3277c5c0daf0e7a50c72579de5e961d1d03926f3994d02c2,1992294400,false
dataset/Sample_Area1_0475000_0499999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0475000_0499999.h5,f77ba0486088be2f1a6ae28ce37b7f31d8b7ec4bb3ccabf56061f37333b4bf74,1992294400,false
dataset/Sample_Area1_0475000_0499999.h5.part-ac,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0475000_0499999.h5,3a21700bd5293eeea3688d04c9749a7ee20cd669e65715257539ccd41388490d,4634736,false
dataset/Sample_Area1_0500000_0524999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0500000_0524999.h5,676793a2d6db20e6ce5d04ad0609f2edcf38249229fc05f900a37497976fcebf,1992294400,false
dataset/Sample_Area1_0500000_0524999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0500000_0524999.h5,c7b6e5be6a73772ff77b007a5450f60d00cd20d17cb0774eddc2eb8092aab988,1149184141,false
