scenario,score_col,threshold,th,pre_windows,post_windows,pre_fp_rate,post_det_rate,post_flags,first_delay_s
ds1,ai_rmse_q_binom_btail_mean_507080_lam0.5,q99_9,0.5745722883578009,168,702,0.0,0.002849002849002849,2,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam0.75,q90,0.3062956811149246,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam0.75,q95,0.3351246756148531,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam0.75,q99,0.4152696895655257,168,702,0.0,0.9501424501424501,667,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam0.75,q99_5,0.5007227736914995,168,702,0.0,0.07264957264957266,51,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam0.75,q99_9,0.616981359563151,168,702,0.0,0.002849002849002849,2,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam1,q90,0.34387535202233643,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam1,q95,0.3750106390921334,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam1,q99,0.4568883497590837,168,702,0.0,0.9501424501424501,667,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam1,q99_5,0.5426210779496157,168,702,0.0,0.07977207977207977,56,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam1,q99_9,0.6593904307685011,168,702,0.0,0.002849002849002849,2,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam1.5,q90,0.4233655609794729,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam1.5,q95,0.45727381133769823,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam1.5,q99,0.5414854883215261,168,702,0.0,0.9529914529914529,669,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam1.5,q99_5,0.6275205872014051,168,702,0.0,0.08974358974358974,63,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam1.5,q99_9,0.7442085731792013,168,702,0.0,0.002849002849002849,2,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam2,q90,0.501077349199919,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam2,q95,0.537776407791111,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam2,q99,0.6268886494702686,168,702,0.0,0.9529914529914529,669,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam2,q99_5,0.7121670191835824,168,702,0.0,0.09971509971509972,70,25.040794759999997
ds1,ai_rmse_q_binom_btail_mean_507080_lam2,q99_9,0.8290267155899014,168,702,0.0,0.002849002849002849,2,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam0.25,q90,0.22756974201082833,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam0.25,q95,0.25518319132198153,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam0.25,q99,0.33370191678903255,168,702,0.0,0.9358974358974359,657,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam0.25,q99_5,0.41674564911816253,168,702,0.0,0.0698005698005698,49,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam0.25,q99_9,0.5332023442082073,168,702,0.0,0.0014245014245014246,1,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam0.5,q90,0.2660983884636282,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam0.5,q95,0.2952257166967392,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam0.5,q99,0.37042859000995,168,702,0.0,0.9501424501424501,667,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam0.5,q99_5,0.4584634373191742,168,702,0.0,0.07122507122507123,50,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam0.5,q99_9,0.5734814727362377,168,702,0.0,0.002849002849002849,2,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam0.75,q90,0.3043451359964137,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam0.75,q95,0.3350174349500253,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam0.75,q99,0.4112607732138185,168,702,0.0,0.9515669515669516,668,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam0.75,q99_5,0.5001812255201858,168,702,0.0,0.07834757834757834,55,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam0.75,q99_9,0.6153451361308062,168,702,0.0,0.002849002849002849,2,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam1,q90,0.34230959734768296,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam1,q95,0.3746721582098032,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam1,q99,0.45301884358373773,168,702,0.0,0.9529914529914529,669,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam1,q99_5,0.5414166963696044,168,702,0.0,0.08262108262108261,58,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam1,q99_9,0.6572087995253747,168,702,0.0,0.002849002849002849,2,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam1.5,q90,0.42179529846884956,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam1.5,q95,0.4550856040128674,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam1.5,q99,0.538217944502445,168,702,0.0,0.9529914529914529,669,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam1.5,q99_5,0.6206943171019269,168,702,0.0,0.14245014245014245,100,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam1.5,q99_9,0.7409361263145118,168,702,0.0,0.002849002849002849,2,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam2,q90,0.49820644273219644,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam2,q95,0.5355677209027808,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam2,q99,0.6244854414656584,168,702,0.0,0.9544159544159544,670,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam2,q99_5,0.7004404617392243,168,702,0.0,0.18376068376068377,129,25.040794759999997
ds1,ai_rmse_q_binom_btail_max_507080_lam2,q99_9,0.8246634531036486,168,702,0.0,0.002849002849002849,2,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam0.25,q90,0.2037163447277195,168,702,0.0,0.9586894586894587,673,23.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam0.25,q95,0.2251500392296238,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65_binom_btail70_lam0.25,q99,0.29340710958354305,168,702,0.0,0.9558404558404558,671,25.040794759999997
