scenario,score_col,threshold,th,pre_fp_rate,post_det_rate,post_flags,first_delay_s
ds3,btail_mean_507080_roll4_mean,q95,2.4045598525247396,0.0,0.9740634005763689,676,19.45092984
ds3,btail_mean_507080_roll4_mean,q99,3.484253896917547,0.0,0.9697406340057637,673,19.45092984
ds3,btail_mean_507080_roll4_mean,q99_5,3.95195908975753,0.0,0.962536023054755,668,19.45092984
ds3,btail_mean_507080_roll4_max,q95,3.7047543296505694,0.0,0.9755043227665706,677,18.95092984
ds3,btail_mean_507080_roll4_max,q99,5.034421586349297,0.0,0.9610951008645533,667,18.95092984
ds3,btail_mean_507080_roll4_max,q99_5,6.143834282526126,0.0,0.9322766570605188,647,19.45092984
ds3,btail_mean_507080_ewma075,q95,2.2673000820182616,0.0,0.9740634005763689,676,19.45092984
ds3,btail_mean_507080_ewma075,q99,3.221368723501553,0.0,0.9740634005763689,676,19.45092984
ds3,btail_mean_507080_ewma075,q99_5,3.418522208079335,0.0,0.9726224783861671,675,19.45092984
ds3,btail_max_507080_roll4_mean,q95,3.272391421905396,0.0,0.9740634005763689,676,19.45092984
ds3,btail_max_507080_roll4_mean,q99,4.590100620578314,0.0,0.9697406340057637,673,19.45092984
ds3,btail_max_507080_roll4_mean,q99_5,5.01816314055296,0.0,0.962536023054755,668,19.45092984
ds3,btail_max_507080_roll4_max,q95,5.060425746962489,0.0,0.9740634005763689,676,18.95092984
ds3,btail_max_507080_roll4_max,q99,6.931471805599453,0.0,0.9481268011527377,658,18.95092984
ds3,btail_max_507080_roll4_max,q99_5,7.053523060357283,0.0,0.9293948126801153,645,18.95092984
ds3,btail_max_507080_ewma075,q95,3.1339658979144747,0.0,0.9740634005763689,676,19.45092984
ds3,btail_max_507080_ewma075,q99,4.169877716047041,0.0,0.9740634005763689,676,19.45092984
ds3,btail_max_507080_ewma075,q99_5,4.6536503466170185,0.0,0.9711815561959655,674,19.45092984
ds4,btail70_roll4_mean,q95,2.49511613258766,0.0,0.8,28,13.540465319999996
ds4,btail70_roll4_mean,q99,3.7416515651865168,0.0,0.5428571428571428,19,14.040465319999996
ds4,btail70_roll4_mean,q99_5,4.3586021821109915,0.0,0.4857142857142857,17,14.040465319999996
ds4,btail70_roll4_max,q95,4.54764887800219,0.0,0.6,21,13.540465319999996
ds4,btail70_roll4_max,q99,6.443778273406375,0.0,0.2571428571428571,9,13.540465319999996
ds4,btail70_roll4_max,q99_5,6.443778273406375,0.0,0.2571428571428571,9,13.540465319999996
ds4,btail70_ewma075,q95,2.3956039882045266,0.0,0.8,28,13.540465319999996
ds4,btail70_ewma075,q99,3.342825202292502,0.0,0.7428571428571429,26,13.540465319999996
ds4,btail70_ewma075,q99_5,3.748270216387204,0.0,0.6,21,14.040465319999996
