scenario,method,operating_point,threshold,roc_auc,pr_auc,cmte_calibration_independent_clean_fpr,independent_clean_fpr,independent_clean_fpr_caveat,stable_pre_fpr,alarm_epoch_count,alarm_epoch_occupancy_per_min,false_alarm_events,false_alarms_per_min,sequence_any_alarm_fraction,first_crossing_epoch,first_crossing_censored,censored_run_length_epochs,censored_arl_epochs,detection,first_alarm_censored,first_alarm_availability_s,first_alarm_delay_s,persistent_detection,pre_summary,post_summary
DS1,Full,target1,3.606925652969479,1.0,1.0,0.9887640449438202,0.9887640449438202,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,1.0,120,120.0,1,1.0,1.0,1,False,1.0,1.0,True,False,110.14809752,10.148097519999993,1.0,"{""median"": 34.765586709571025, ""n"": 120, ""q90"": 51.49587719343815, ""q99"": 53.093619749476105}","{""median"": 885.5126854391501, ""n"": 704, ""q90"": 1605.4296769275802, ""q99"": 1768.2416574212264}"
DS2,A0,q99,0.35194873809814453,0.8483213429256595,0.9336217147500648,0.13108614232209737,0.13108614232209737,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.14166666666666666,17,17.0,4,4.0,1.0,4,False,4.0,4.0,True,False,110.62368472,10.62368472,0.437410071942446,"{""median"": 0.20085864514112473, ""n"": 120, ""q90"": 0.4384390950202955, ""q99"": 1.5821054899692537}","{""median"": 0.3436731696128845, ""n"": 695, ""q90"": 0.4722277045249939, ""q99"": 1.7211524701118346}"
DS2,A0,q995,0.3682686388492584,0.8483213429256595,0.9336217147500648,0.12734082397003746,0.12734082397003746,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.125,15,15.0,4,4.0,1.0,4,False,4.0,4.0,True,False,110.62368472,10.62368472,0.3237410071942446,"{""median"": 0.20085864514112473, ""n"": 120, ""q90"": 0.4384390950202955, ""q99"": 1.5821054899692537}","{""median"": 0.3436731696128845, ""n"": 695, ""q90"": 0.4722277045249939, ""q99"": 1.7211524701118346}"
DS2,A0,target1,0.35194873809814453,0.8483213429256595,0.9336217147500648,0.13108614232209737,0.13108614232209737,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.14166666666666666,17,17.0,4,4.0,1.0,4,False,4.0,4.0,True,False,110.62368472,10.62368472,0.437410071942446,"{""median"": 0.20085864514112473, ""n"": 120, ""q90"": 0.4384390950202955, ""q99"": 1.5821054899692537}","{""median"": 0.3436731696128845, ""n"": 695, ""q90"": 0.4722277045249939, ""q99"": 1.7211524701118346}"
DS2,A1,q99,2.959124947792766,0.9986570743405275,0.9998003084521234,0.00749063670411985,0.00749063670411985,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.008333333333333333,1,1.0,1,1.0,1.0,44,False,44.0,44.0,True,False,110.62368472,10.62368472,0.9985611510791367,"{""median"": 0.6585349919989136, ""n"": 120, ""q90"": 1.1797153642437108, ""q99"": 2.0694234685177215}","{""median"": 14.488714005925683, ""n"": 695, ""q90"": 16.084736408150302, ""q99"": 16.098571117601495}"
DS2,A1,q995,3.6266467613498405,0.9986570743405275,0.9998003084521234,0.003745318352059925,0.003745318352059925,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.0,0,0.0,0,0.0,0.0,120,True,120.0,120.0,True,False,110.62368472,10.62368472,0.9985611510791367,"{""median"": 0.6585349919989136, ""n"": 120, ""q90"": 1.1797153642437108, ""q99"": 2.0694234685177215}","{""median"": 14.488714005925683, ""n"": 695, ""q90"": 16.084736408150302, ""q99"": 16.098571117601495}"
DS2,A1,target1,2.959124947792766,0.9986570743405275,0.9998003084521234,0.00749063670411985,0.00749063670411985,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.008333333333333333,1,1.0,1,1.0,1.0,44,False,44.0,44.0,True,False,110.62368472,10.62368472,0.9985611510791367,"{""median"": 0.6585349919989136, ""n"": 120, ""q90"": 1.1797153642437108, ""q99"": 2.0694234685177215}","{""median"": 14.488714005925683, ""n"": 695, ""q90"": 16.084736408150302, ""q99"": 16.098571117601495}"
DS2,A2,q99,1.619448445563424,0.9996882494004796,0.9999481136311479,0.033707865168539325,0.033707865168539325,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.058333333333333334,7,7.0,4,4.0,1.0,68,False,68.0,68.0,True,False,110.62368472,10.62368472,0.9985611510791367,"{""median"": 0.9025222276466851, ""n"": 120, ""q90"": 1.46196444033072, ""q99"": 1.7419717709035647}","{""median"": 4.953189692352349, ""n"": 695, ""q90"": 5.342894457587269, ""q99"": 5.661216594186605}"
DS2,A2,q995,2.653551098051885,0.9996882494004796,0.9999481136311479,0.0,0.0,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.0,0,0.0,0,0.0,0.0,120,True,120.0,120.0,True,False,110.62368472,10.62368472,0.9985611510791367,"{""median"": 0.9025222276466851, ""n"": 120, ""q90"": 1.46196444033072, ""q99"": 1.7419717709035647}","{""median"": 4.953189692352349, ""n"": 695, ""q90"": 5.342894457587269, ""q99"": 5.661216594186605}"
DS2,A2,target1,1.619448445563424,0.9996882494004796,0.9999481136311479,0.033707865168539325,0.033707865168539325,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.058333333333333334,7,7.0,4,4.0,1.0,68,False,68.0,68.0,True,False,110.62368472,10.62368472,0.9985611510791367,"{""median"": 0.9025222276466851, ""n"": 120, ""q90"": 1.46196444033072, ""q99"": 1.7419717709035647}","{""median"": 4.953189692352349, ""n"": 695, ""q90"": 5.342894457587269, ""q99"": 5.661216594186605}"
DS2,A3,q99,0.15721452988006848,0.9988249400479616,0.9998080860398392,0.9887640449438202,0.9887640449438202,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.44166666666666665,53,53.0,1,1.0,1.0,68,False,68.0,68.0,True,False,110.12368472,10.12368472,1.0,"{""median"": 0.034422351958023054, ""n"": 120, ""q90"": 1.2212888015268566, ""q99"": 1.3008770661728661}","{""median"": 71.6796456909117, ""n"": 695, ""q90"": 124.99018813801669, ""q99"": 136.971183962046}"
DS2,A3,q995,0.15979958369650618,0.9988249400479616,0.9998080860398392,0.9887640449438202,0.9887640449438202,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.44166666666666665,53,53.0,1,1.0,1.0,68,False,68.0,68.0,True,False,110.12368472,10.12368472,1.0,"{""median"": 0.034422351958023054, ""n"": 120, ""q90"": 1.2212888015268566, ""q99"": 1.3008770661728661}","{""median"": 71.6796456909117, ""n"": 695, ""q90"": 124.99018813801669, ""q99"": 136.971183962046}"
DS2,A3,target1,0.15721452988006848,0.9988249400479616,0.9998080860398392,0.9887640449438202,0.9887640449438202,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.44166666666666665,53,53.0,1,1.0,1.0,68,False,68.0,68.0,True,False,110.12368472,10.12368472,1.0,"{""median"": 0.034422351958023054, ""n"": 120, ""q90"": 1.2212888015268566, ""q99"": 1.3008770661728661}","{""median"": 71.6796456909117, ""n"": 695, ""q90"": 124.99018813801669, ""q99"": 136.971183962046}"
DS2,A4,q99,2.067049237638354,0.9980335731414868,0.9996675531992854,0.13108614232209737,0.13108614232209737,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.13333333333333333,16,16.0,3,3.0,1.0,67,False,67.0,67.0,True,False,110.62368472,10.62368472,0.9985611510791367,"{""median"": 0.820702385750772, ""n"": 120, ""q90"": 3.452258149876398, ""q99"": 3.6782757148344998}","{""median"": 7.502712806007752, ""n"": 695, ""q90"": 10.199726115128291, ""q99"": 12.4306367518702}"
DS2,A4,q995,2.5606663272854315,0.9980335731414868,0.9996675531992854,0.13108614232209737,0.13108614232209737,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.13333333333333333,16,16.0,3,3.0,1.0,67,False,67.0,67.0,True,False,110.62368472,10.62368472,0.9985611510791367,"{""median"": 0.820702385750772, ""n"": 120, ""q90"": 3.452258149876398, ""q99"": 3.6782757148344998}","{""median"": 7.502712806007752, ""n"": 695, ""q90"": 10.199726115128291, ""q99"": 12.4306367518702}"
DS2,A4,target1,2.067049237638354,0.9980335731414868,0.9996675531992854,0.13108614232209737,0.13108614232209737,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.13333333333333333,16,16.0,3,3.0,1.0,67,False,67.0,67.0,True,False,110.62368472,10.62368472,0.9985611510791367,"{""median"": 0.820702385750772, ""n"": 120, ""q90"": 3.452258149876398, ""q99"": 3.6782757148344998}","{""median"": 7.502712806007752, ""n"": 695, ""q90"": 10.199726115128291, ""q99"": 12.4306367518702}"
DS2,Full,q99,3.606925652969479,0.9950239808153478,0.9991856122355519,0.9887640449438202,0.9887640449438202,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.43333333333333335,52,52.0,1,1.0,1.0,69,False,69.0,69.0,True,False,110.62368472,10.62368472,0.9985611510791367,"{""median"": 0.06762666260017494, ""n"": 120, ""q90"": 18.266079561236605, ""q99"": 20.869172755850474}","{""median"": 696.8919094578774, ""n"": 695, ""q90"": 1242.188437963572, ""q99"": 1364.3262301675907}"
DS2,Full,q995,3.606925652969479,0.9950239808153478,0.9991856122355519,0.9887640449438202,0.9887640449438202,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.43333333333333335,52,52.0,1,1.0,1.0,69,False,69.0,69.0,True,False,110.62368472,10.62368472,0.9985611510791367,"{""median"": 0.06762666260017494, ""n"": 120, ""q90"": 18.266079561236605, ""q99"": 20.869172755850474}","{""median"": 696.8919094578774, ""n"": 695, ""q90"": 1242.188437963572, ""q99"": 1364.3262301675907}"
