window_mid_s,score_mean,score_consensus_gate,prn_count,prn_high_count,prn_high_fraction
38.5,1.2564758968600178,1.6334186659180232,10,3,0.3
39.0,1.0203279474270135,1.0203279474270135,10,0,0.0
39.5,1.0990671669337786,1.2089738836271566,10,1,0.1
40.0,1.1740184838623895,1.5262240290211064,10,3,0.3
40.5,1.2230485480514888,1.4676582576617865,10,2,0.2
41.0,1.27639194018487,1.6593095222403311,10,3,0.3
41.5,1.4096406547579996,1.8325328511853995,10,3,0.3
42.0,1.2610519739822865,1.3871571713805153,10,1,0.1
42.5,1.12430294807749,1.12430294807749,10,0,0.0
43.0,1.0884608773678202,1.0884608773678202,10,0,0.0
43.5,1.0458194415000872,1.0458194415000872,10,0,0.0
44.0,1.10685178004058,1.10685178004058,10,0,0.0
44.5,1.0024412357456638,1.0024412357456638,10,0,0.0
45.0,1.0166610008949266,1.1183271009844193,10,1,0.1
45.5,1.1240412961898218,1.2364454258088042,10,1,0.1
46.0,1.2648318584758003,1.5177982301709603,10,2,0.2
46.5,1.1519552633534638,1.2671507896888103,10,1,0.1
47.0,1.1075514601795768,1.2183066061975347,10,1,0.1
47.5,1.0879224237335088,1.1967146661068597,10,1,0.1
48.0,1.2271042053428958,1.5952354669457645,10,3,0.3
48.5,1.2959677798611264,1.4255645578472391,10,1,0.1
49.0,1.0149828754894223,1.0149828754894223,10,0,0.0
49.5,1.0031943348883454,1.0031943348883454,10,0,0.0
50.0,1.1618702721272538,1.3942443265527045,10,2,0.2
50.5,1.2373542235358308,1.60856049059658,10,3,0.3
51.0,1.1233746958905058,1.2357121654795564,10,1,0.1
51.5,1.298159504199689,1.6876073554595956,10,3,0.3
52.0,1.0681696328780073,1.1749865961658081,10,1,0.1
52.5,1.0357825777987846,1.0357825777987846,10,0,0.0
53.0,1.1204591577795608,1.344550989335473,10,2,0.2
53.5,1.1395691161497161,1.2535260277646878,10,1,0.1
54.0,1.276444487056656,1.5317333844679872,10,2,0.2
54.5,1.38941564420326,1.806240337464238,10,3,0.3
55.0,1.2696448471015085,1.5235738165218102,10,2,0.2
55.5,1.2516430407766934,1.4792145027360923,11,2,0.18181818181818182
56.0,1.2741273751240938,1.3899571364990113,11,1,0.09090909090909091
56.5,1.3153206395965567,1.5544698467959306,11,2,0.18181818181818182
57.0,1.2361577364986167,1.3485357125439454,11,1,0.09090909090909091
57.5,1.1676687181325607,1.1676687181325607,11,0,0.0
58.0,1.3190468776103013,1.4389602301203286,11,1,0.09090909090909091
58.5,1.347284938842716,1.592245836814119,11,2,0.18181818181818182
59.0,1.327800858453329,1.6899283653042367,11,3,0.2727272727272727
59.5,1.2766211420511981,1.5087340769695978,11,2,0.18181818181818182
60.0,1.2921659841013773,1.5271052539379915,11,2,0.18181818181818182
60.5,1.3361686028361686,1.7005782217914873,11,3,0.2727272727272727
61.0,1.201346144988202,1.4197727168042387,11,2,0.18181818181818182
61.5,1.1752526498189046,1.2820937998024413,11,1,0.09090909090909091
62.0,1.188717674794617,1.296782917957764,11,1,0.09090909090909091
62.5,1.242725044948816,1.581650057207584,11,3,0.2727272727272727
63.0,1.2669128157381382,1.4972606004177997,11,2,0.18181818181818182
63.5,1.1582563242674617,1.2635523537463218,11,1,0.09090909090909091
64.0,1.1981772081462365,1.3071024088868033,11,1,0.09090909090909091
64.5,1.1366981290078302,1.2400343225539965,11,1,0.09090909090909091
65.0,1.0910264523413185,1.1902106752814383,11,1,0.09090909090909091
65.5,1.18762460785491,1.2955904812962653,11,1,0.09090909090909091
66.0,1.1373376897630882,1.2407320251960963,11,1,0.09090909090909091
66.5,1.2245937821239368,1.4472471970555618,11,2,0.18181818181818182
67.0,1.3378618966220328,1.5811095141896752,11,2,0.18181818181818182
67.5,1.2970315293548687,1.5328554437830266,11,2,0.18181818181818182
68.0,1.5025065903205428,1.7756896067424597,11,2,0.18181818181818182
68.5,1.4260319090706182,1.814949702453514,11,3,0.2727272727272727
69.0,1.4137982367127313,1.7993795739980216,11,3,0.2727272727272727
69.5,1.2863273651433744,1.4032662165200447,11,1,0.09090909090909091
70.0,1.7764884050484837,1.937987350961982,11,1,0.09090909090909091
70.5,2.163627336964063,2.5570141255029837,11,2,0.18181818181818182
71.0,2.267030763129305,2.6792181746073607,11,2,0.18181818181818182
71.5,2.3383949264727293,2.5509762834247955,11,1,0.09090909090909091
72.0,2.6522441743761105,2.893357281137575,11,1,0.09090909090909091
72.5,2.8090574801442276,3.3197952038068146,11,2,0.18181818181818182
73.0,2.7063360330060195,2.952366581461112,11,1,0.09090909090909091
