scenario,threshold,comparison,held_out_clean_fpr,stable_pre_fpr,roc_auc,pr_auc,post_detection,persistent_detection,first_sustained_3_delay_s,q99,q995,count,alarms,exact_binomial_ci_low,exact_binomial_ci_high,held_out_clean_exact_binomial_ci_low,held_out_clean_exact_binomial_ci_high,held_out_clean_count,stable_pre_exact_binomial_ci_low,stable_pre_exact_binomial_ci_high,stable_pre_count,post_exact_binomial_ci_low,post_exact_binomial_ci_high,post_count,persistent_exact_binomial_ci_low,persistent_exact_binomial_ci_high,persistent_count,model,operating_point,calibration_q99,calibration_q995,calibration_count,model_seed,policy_seed,delta_roc_auc_vs_primary,delta_post_detection_vs_primary,matched_target_fpr,common_timestamp_count
cleanStatic,0.733831892489849,strict_greater,0.037383177570093455,,,,,,,0.7440765700779894,0.7571714215916702,107,4,0.010278000727758071,0.09295471054939439,0.010278000727758071,0.09295471054939439,107,,,0,,,0,,,0,seed::complex all9 temporal-shuffled::model303::policyNone,q99,0.733831892489849,0.736871344214922,125,303,None,,,,
cleanStatic,0.736871344214922,strict_greater,0.028037383177570093,,,,,,,0.7440765700779894,0.7571714215916702,107,3,0.005819728791506875,0.07975465583240321,0.005819728791506875,0.07975465583240321,107,,,0,,,0,,,0,seed::complex all9 temporal-shuffled::model303::policyNone,q995,0.733831892489849,0.736871344214922,125,303,None,,,,
DS1,0.733831892489849,strict_greater,,0.0,0.617731673582296,0.9258814222379301,0.04149377593360996,0.041990668740279936,45.5,0.7318525119023511,0.7318525119023511,723,30,0.028167830119695154,0.058707373364289814,,,0,0.0,0.03621669264517641,100,0.028167830119695154,0.058707373364289814,723,0.027851451173216826,0.06050851313541715,643,seed::complex all9 temporal-shuffled::model303::policyNone,q99,0.733831892489849,0.736871344214922,125,303,None,,,,
DS1,0.736871344214922,strict_greater,,0.0,0.617731673582296,0.9258814222379301,0.03734439834024896,0.038880248833592534,45.5,0.7318525119023511,0.7318525119023511,723,27,0.024751793617944388,0.05387107270808469,,,0,0.0,0.03621669264517641,100,0.024751793617944388,0.05387107270808469,723,0.025316490208011754,0.05686194412826136,643,seed::complex all9 temporal-shuffled::model303::policyNone,q995,0.733831892489849,0.736871344214922,125,303,None,,,,
DS2,0.733831892489849,strict_greater,,0.0,0.7424789915966387,0.9589411449157327,0.16946778711484595,0.13249211356466878,15.5,0.7080317379552152,0.7080317379552152,714,121,0.14266097188145976,0.19903785054496115,,,0,0.0,0.03621669264517641,100,0.14266097188145976,0.19903785054496115,714,0.10707511934231663,0.16138726596098513,634,seed::complex all9 temporal-shuffled::model303::policyNone,q99,0.733831892489849,0.736871344214922,125,303,None,,,,
DS2,0.736871344214922,strict_greater,,0.0,0.7424789915966387,0.9589411449157327,0.1568627450980392,0.11829652996845426,15.5,0.7080317379552152,0.7080317379552152,714,112,0.1309494912913975,0.18564748881909213,,,0,0.0,0.03621669264517641,100,0.1309494912913975,0.18564748881909213,714,0.09419402460028047,0.14601812287398502,634,seed::complex all9 temporal-shuffled::model303::policyNone,q995,0.733831892489849,0.736871344214922,125,303,None,,,,
DS3,0.733831892489849,strict_greater,,0.02,0.3385195530726257,0.8753222146063953,0.22486033519553073,0.19811320754716982,21.0,0.749326055489105,0.749326055489105,716,161,0.19476758489188353,0.25723938462629314,,,0,0.0024313368239425423,0.07038393247107011,100,0.19476758489188353,0.25723938462629314,716,0.16781107881072618,0.23124768586051503,636,seed::complex all9 temporal-shuffled::model303::policyNone,q99,0.733831892489849,0.736871344214922,125,303,None,,,,
DS3,0.736871344214922,strict_greater,,0.01,0.3385195530726257,0.8753222146063953,0.21508379888268156,0.1871069182389937,21.0,0.749326055489105,0.749326055489105,716,154,0.18551447394591475,0.2470217496777218,,,0,0.00025314603297742064,0.054459385392080645,100,0.18551447394591475,0.2470217496777218,716,0.15752126810113726,0.21963021594981214,636,seed::complex all9 temporal-shuffled::model303::policyNone,q995,0.733831892489849,0.736871344214922,125,303,None,,,,
DS7,0.733831892489849,strict_greater,,1.0,0.37642782969885774,0.7557965424018309,1.0,1.0,0.0,1.230254055346264,1.2310838702862936,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,seed::complex all9 temporal-shuffled::model303::policyNone,q99,0.733831892489849,0.736871344214922,125,303,None,,,,
DS7,0.736871344214922,strict_greater,,1.0,0.37642782969885774,0.7557965424018309,1.0,1.0,0.0,1.230254055346264,1.2310838702862936,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,seed::complex all9 temporal-shuffled::model303::policyNone,q995,0.733831892489849,0.736871344214922,125,303,None,,,,
