scenario,metric,ci_low,ci_high,reps,block_seconds,phase_aware,model,operating_point
DS2,pr_auc,0.7110971024405552,0.7681452423335392,100,10,True,seed::complex K3::model202::policyNone,q995
DS3,post_detection,0.02925977653631285,0.1390712290502793,100,10,True,seed::complex K3::model202::policyNone,q99
DS3,roc_auc,0.0274804469273743,0.14215712290502774,100,10,True,seed::complex K3::model202::policyNone,q99
DS3,pr_auc,0.7192739380036169,0.7933109771995164,100,10,True,seed::complex K3::model202::policyNone,q99
DS3,post_detection,0.02925977653631285,0.1383379888268156,100,10,True,seed::complex K3::model202::policyNone,q995
DS3,roc_auc,0.0274804469273743,0.14215712290502774,100,10,True,seed::complex K3::model202::policyNone,q995
DS3,pr_auc,0.7192739380036169,0.7933109771995164,100,10,True,seed::complex K3::model202::policyNone,q995
DS7,post_detection,1.0,1.0,100,10,True,seed::complex K3::model202::policyNone,q99
DS7,roc_auc,0.05527193665628245,0.3358307031451103,100,10,True,seed::complex K3::model202::policyNone,q99
DS7,pr_auc,0.5214502372415485,0.7234125334603257,100,10,True,seed::complex K3::model202::policyNone,q99
DS7,post_detection,1.0,1.0,100,10,True,seed::complex K3::model202::policyNone,q995
DS7,roc_auc,0.05527193665628245,0.3358307031451103,100,10,True,seed::complex K3::model202::policyNone,q995
DS7,pr_auc,0.5214502372415485,0.7234125334603257,100,10,True,seed::complex K3::model202::policyNone,q995
DS8,post_detection,1.0,1.0,100,10,True,seed::complex K3::model202::policyNone,q99
DS8,roc_auc,0.2765066550925926,0.5314409722222222,100,10,True,seed::complex K3::model202::policyNone,q99
DS8,pr_auc,0.8336064755272719,0.912281280158302,100,10,True,seed::complex K3::model202::policyNone,q99
DS8,post_detection,1.0,1.0,100,10,True,seed::complex K3::model202::policyNone,q995
DS8,roc_auc,0.2765066550925926,0.5314409722222222,100,10,True,seed::complex K3::model202::policyNone,q995
DS8,pr_auc,0.8336064755272719,0.912281280158302,100,10,True,seed::complex K3::model202::policyNone,q995
cleanStatic,clean_fpr,0.0,0.11214953271028037,100,10,False,seed::complex K3::model303::policyNone,q99
cleanStatic,clean_fpr,0.0,0.028037383177570093,100,10,False,seed::complex K3::model303::policyNone,q995
DS1,post_detection,0.8648150705864376,1.0,100,10,True,seed::complex K3::model303::policyNone,q99
DS1,roc_auc,0.9301186030428769,1.0,100,10,True,seed::complex K3::model303::policyNone,q99
DS1,pr_auc,0.9905274301425535,1.0,100,10,True,seed::complex K3::model303::policyNone,q99
DS1,post_detection,0.8481586402266289,1.0,100,10,True,seed::complex K3::model303::policyNone,q995
DS1,roc_auc,0.9301186030428769,1.0,100,10,True,seed::complex K3::model303::policyNone,q995
DS1,pr_auc,0.9905274301425535,1.0,100,10,True,seed::complex K3::model303::policyNone,q995
DS2,post_detection,0.9355042016806723,0.9852668185918435,100,10,True,seed::complex K3::model303::policyNone,q99
DS2,roc_auc,0.9747415966386554,0.9967247899159664,100,10,True,seed::complex K3::model303::policyNone,q99
DS2,pr_auc,0.996519830866673,0.9995314566724975,100,10,True,seed::complex K3::model303::policyNone,q99
