scenario,threshold,comparison,held_out_clean_fpr,stable_pre_fpr,roc_auc,pr_auc,post_detection,persistent_detection,first_sustained_3_delay_s,q99,q995,count,alarms,exact_binomial_ci_low,exact_binomial_ci_high,held_out_clean_exact_binomial_ci_low,held_out_clean_exact_binomial_ci_high,held_out_clean_count,stable_pre_exact_binomial_ci_low,stable_pre_exact_binomial_ci_high,stable_pre_count,post_exact_binomial_ci_low,post_exact_binomial_ci_high,post_count,persistent_exact_binomial_ci_low,persistent_exact_binomial_ci_high,persistent_count,model,operating_point,calibration_q99,calibration_q995,calibration_count,delta_roc_auc_vs_primary,delta_post_detection_vs_primary,matched_target_fpr,common_timestamp_count
DS2,0.6157407077354784,strict_greater,,0.15,0.7595238095238095,0.9585803072598137,0.5014005602240896,0.4526813880126183,0.0,0.6425152471086529,0.6425152471086529,714,358,0.46408464677805045,0.5387048578195219,,,0,0.08645438564164859,0.23530750014895488,100,0.46408464677805045,0.5387048578195219,714,0.41344575851398,0.49235957549455084,634,ensemble::complex random K5 policy37::policy37,q99,0.6157407077354784,0.6202181678608653,125,0.052310924369747824,-0.06862745098039214,,
DS2,0.6202181678608653,strict_greater,,0.1,0.7595238095238095,0.9585803072598137,0.45098039215686275,0.4069400630914827,0.0,0.6425152471086529,0.6425152471086529,714,322,0.41404950374137317,0.4883178827849878,,,0,0.04900468922148595,0.17622259774002266,100,0.41404950374137317,0.4883178827849878,714,0.36842184661479954,0.4463289383629407,634,ensemble::complex random K5 policy37::policy37,q995,0.6157407077354784,0.6202181678608653,125,0.052310924369747824,-0.061624649859943925,,
DS3,0.6157407077354784,strict_greater,,0.15,0.4724162011173184,0.9043285548906629,0.3505586592178771,0.30974842767295596,0.0,0.6622561666552932,0.6622561666552932,716,251,0.31558817310415294,0.3867664981699156,,,0,0.08645438564164859,0.23530750014895488,100,0.31558817310415294,0.3867664981699156,716,0.2739807076450654,0.3472933321466292,636,ensemble::complex random K5 policy37::policy37,q99,0.6157407077354784,0.6202181678608653,125,0.07435754189944133,-0.0013966480446927498,,
DS3,0.6202181678608653,strict_greater,,0.14,0.4724162011173184,0.9043285548906629,0.34217877094972066,0.30345911949685533,1.0,0.6622561666552932,0.6622561666552932,716,245,0.3074405542550319,0.3782239124525715,,,0,0.07870540492696577,0.22372798137056774,100,0.3074405542550319,0.3782239124525715,716,0.2679250989151473,0.34082936341304887,636,ensemble::complex random K5 policy37::policy37,q995,0.6157407077354784,0.6202181678608653,125,0.07435754189944133,-0.008379888268156443,,
DS7,0.6157407077354784,strict_greater,,1.0,0.10568535825545171,0.5386345239026686,1.0,1.0,0.0,1.4931141285956457,1.4941851202969427,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,ensemble::complex random K5 policy37::policy37,q99,0.6157407077354784,0.6202181678608653,125,-0.08964174454828662,0.0,,
DS7,0.6202181678608653,strict_greater,,1.0,0.10568535825545171,0.5386345239026686,1.0,1.0,0.0,1.4931141285956457,1.4941851202969427,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,ensemble::complex random K5 policy37::policy37,q995,0.6157407077354784,0.6202181678608653,125,-0.08964174454828662,0.0,,
DS8,0.6157407077354784,strict_greater,,1.0,0.38158564814814816,0.8683826150519561,1.0,1.0,0.0,1.4913280850007682,1.4930564778567836,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,ensemble::complex random K5 policy37::policy37,q99,0.6157407077354784,0.6202181678608653,125,-0.07553240740740741,0.0,,
DS8,0.6202181678608653,strict_greater,,1.0,0.38158564814814816,0.8683826150519561,1.0,1.0,0.0,1.4913280850007682,1.4930564778567836,720,720,0.9948896587652258,1.0,,,0,0.9697270274225799,1.0,120,0.9948896587652258,1.0,720,0.9942527051066671,1.0,640,ensemble::complex random K5 policy37::policy37,q995,0.6157407077354784,0.6202181678608653,125,-0.07553240740740741,0.0,,
cleanStatic,0.649038632422881,strict_greater,0.0,,,,,,,0.6345622575215556,0.6354353573163865,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,ensemble::complex random K7 policy11::policy11,q99,0.649038632422881,0.6541050096937471,125,,,,
cleanStatic,0.6541050096937471,strict_greater,0.0,,,,,,,0.6345622575215556,0.6354353573163865,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,ensemble::complex random K7 policy11::policy11,q995,0.649038632422881,0.6541050096937471,125,,,,
