scenario,model,model_seed,policy_seed,ordered_path,count,fraction
cleanStatic,complex random K7 policy11,101,11,3-5-0-1-6-2,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-0-1-6-7,22,0.0024875621890547263
cleanStatic,complex random K7 policy11,101,11,3-5-0-1-6-8,23,0.002600633197648123
cleanStatic,complex random K7 policy11,101,11,3-5-0-1-7-2,21,0.0023744911804613297
cleanStatic,complex random K7 policy11,101,11,3-5-0-1-7-6,26,0.002939846223428313
cleanStatic,complex random K7 policy11,101,11,3-5-0-1-7-8,19,0.0021483491632745366
cleanStatic,complex random K7 policy11,101,11,3-5-0-1-8-2,29,0.0032790592492085028
cleanStatic,complex random K7 policy11,101,11,3-5-0-1-8-6,19,0.0021483491632745366
cleanStatic,complex random K7 policy11,101,11,3-5-0-1-8-7,26,0.002939846223428313
cleanStatic,complex random K7 policy11,101,11,3-5-0-2-1-6,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-0-2-1-7,23,0.002600633197648123
cleanStatic,complex random K7 policy11,101,11,3-5-0-2-1-8,21,0.0023744911804613297
cleanStatic,complex random K7 policy11,101,11,3-5-0-2-6-1,19,0.0021483491632745366
cleanStatic,complex random K7 policy11,101,11,3-5-0-2-6-7,23,0.002600633197648123
cleanStatic,complex random K7 policy11,101,11,3-5-0-2-6-8,26,0.002939846223428313
cleanStatic,complex random K7 policy11,101,11,3-5-0-2-7-1,34,0.003844414292175486
cleanStatic,complex random K7 policy11,101,11,3-5-0-2-7-6,23,0.002600633197648123
cleanStatic,complex random K7 policy11,101,11,3-5-0-2-7-8,18,0.0020352781546811396
cleanStatic,complex random K7 policy11,101,11,3-5-0-2-8-1,14,0.001582994120307553
cleanStatic,complex random K7 policy11,101,11,3-5-0-2-8-6,20,0.002261420171867933
cleanStatic,complex random K7 policy11,101,11,3-5-0-2-8-7,19,0.0021483491632745366
cleanStatic,complex random K7 policy11,101,11,3-5-0-6-1-2,29,0.0032790592492085028
cleanStatic,complex random K7 policy11,101,11,3-5-0-6-1-7,22,0.0024875621890547263
cleanStatic,complex random K7 policy11,101,11,3-5-0-6-1-8,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-0-6-2-1,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-0-6-2-7,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-0-6-2-8,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-0-6-7-1,22,0.0024875621890547263
cleanStatic,complex random K7 policy11,101,11,3-5-0-6-7-2,25,0.0028267752148349165
cleanStatic,complex random K7 policy11,101,11,3-5-0-6-7-8,28,0.003165988240615106
cleanStatic,complex random K7 policy11,101,11,3-5-0-6-8-1,30,0.0033921302578018998
cleanStatic,complex random K7 policy11,101,11,3-5-0-6-8-2,27,0.0030529172320217096
cleanStatic,complex random K7 policy11,101,11,3-5-0-6-8-7,24,0.0027137042062415195
cleanStatic,complex random K7 policy11,101,11,3-5-0-7-1-2,28,0.003165988240615106
cleanStatic,complex random K7 policy11,101,11,3-5-0-7-1-6,33,0.0037313432835820895
cleanStatic,complex random K7 policy11,101,11,3-5-0-7-1-8,29,0.0032790592492085028
cleanStatic,complex random K7 policy11,101,11,3-5-0-7-2-1,28,0.003165988240615106
cleanStatic,complex random K7 policy11,101,11,3-5-0-7-2-6,23,0.002600633197648123
cleanStatic,complex random K7 policy11,101,11,3-5-0-7-2-8,26,0.002939846223428313
cleanStatic,complex random K7 policy11,101,11,3-5-0-7-6-1,33,0.0037313432835820895
