window_mid_s,score_mean,score_max,prn_count,score_roll5_median,score_roll5_mean
27.0,1.1063421080044216,1.8697659172805419,10,1.1456770440647435,1.1328218181656151
27.5,0.9002399876173331,1.6258236678871492,10,1.1063421080044216,1.083734406876133
28.0,1.1235124044242795,2.420716210845009,10,1.1235124044242795,1.094489632849722
28.5,1.1078053388203755,2.0585412732324326,10,1.1078053388203755,1.084613244580148
29.0,1.069646672468949,1.8012106604280322,10,1.1063421080044216,1.0615093022670719
29.5,1.1152164426866646,2.996946356218605,10,1.1078053388203755,1.0632841692035204
30.0,1.1849999376969687,2.5978739311097123,10,1.1152164426866646,1.1202361592194474
30.5,1.1778451561378929,1.7101874233493892,10,1.1152164426866646,1.1311027095621702
31.0,1.1104136570378715,2.236923527815469,10,1.1152164426866646,1.1316243732056694
31.5,1.3771573270520503,3.2153164347604632,10,1.1778451561378929,1.1931265041222896
32.0,1.3832213305357532,4.573442299665722,10,1.1849999376969687,1.2467274816921072
32.5,1.2549905856563477,4.016077199297977,10,1.2549905856563477,1.260725611283983
33.0,1.1473434107525429,3.3999636108102833,10,1.2549905856563477,1.2546252622069132
33.5,1.1641404897034047,2.7065592521368966,10,1.2549905856563477,1.2653706287400197
34.0,1.130013002392505,2.079021773829684,10,1.1641404897034047,1.2159417638081107
34.5,1.15878409010661,2.1211767105507353,10,1.15878409010661,1.1710543157222821
35.0,1.1913956341103618,2.059982114501813,10,1.15878409010661,1.1583353254130848
35.5,0.9464964525843312,1.7562978931411646,10,1.15878409010661,1.1181659337794425
36.0,0.9221461000513184,1.3633899175338222,10,1.130013002392505,1.069767055849025
36.5,1.2677945663834764,2.5040423446169187,10,1.15878409010661,1.0973233686472195
37.0,1.3050122878660164,2.7795836783380152,10,1.1913956341103618,1.1265690081991009
37.5,1.1087791507867246,2.2151350961761516,10,1.1087791507867246,1.1100457115343736
38.0,1.1166041043126098,2.0396818834308776,10,1.1166041043126098,1.144067241880029
38.5,1.2564758968600178,2.50694779679554,10,1.2564758968600178,1.210933201241769
39.0,1.0203279474270135,1.7555009751783177,10,1.1166041043126098,1.1614398774504764
39.5,1.0990671669337786,1.9384145714572134,10,1.1087791507867246,1.1202508532640287
40.0,1.1740184838623895,2.1834186651150302,10,1.1166041043126098,1.1332987198791618
40.5,1.2230485480514888,2.0711647149304424,10,1.1740184838623895,1.1545876086269375
41.0,1.27639194018487,2.3940699897779893,10,1.1740184838623895,1.158570817291908
