dataset,window_ms,feature,seed,roc_auc,low_fpr_standardized_pauc_0_05,pr_auc,eer,balanced_accuracy,threshold,positive_pairs,negative_pairs
OAKBAT.cleanStatic,100,C4_plus_PN_SCAT_DIAGNOSTIC_ONLY,2026081903,0.5264285714285715,0.5227629513343799,0.5572007567634504,0.5035714285714286,0.4892857142857143,-488.378549334952,140,140
OAKBAT.cleanStatic,100,C4_plus_PN_SCAT_DIAGNOSTIC_ONLY,2026081904,0.5211734693877551,0.5149136577708007,0.5482902385978374,0.5035714285714286,0.4892857142857143,-488.378549334952,140,140
OAKBAT.cleanStatic,100,C4_plus_PN_SCAT_DIAGNOSTIC_ONLY,2026081905,0.5093877551020408,0.5044479330193616,0.5333688820065441,0.5142857142857142,0.46785714285714286,-488.378549334952,140,140
OAKBAT.cleanStatic,100,C4_plus_PN_SCAT_DIAGNOSTIC_ONLY,2026081906,0.5742346938775511,0.5358451072736787,0.5955744729343153,0.4642857142857143,0.5214285714285715,-488.378549334952,140,140
OAKBAT.cleanStatic,100,C4_plus_PN_SCAT_DIAGNOSTIC_ONLY,2026081907,0.5518877551020409,0.5128205128205128,0.5661740483697115,0.4928571428571429,0.49642857142857144,-488.378549334952,140,140
OAKBAT.cleanStatic,100,C4_plus_PN_SCAT_DIAGNOSTIC_ONLY,2026081908,0.571530612244898,0.5358451072736787,0.5935011627053459,0.4892857142857143,0.5142857142857142,-488.378549334952,140,140
OAKBAT.cleanStatic,100,C4_plus_PN_SCAT_DIAGNOSTIC_ONLY,2026081909,0.5546938775510204,0.5332286760858189,0.578984991973879,0.48571428571428577,0.5,-488.378549334952,140,140
OAKBAT.cleanStatic,100,C4_plus_PN_SCAT_DIAGNOSTIC_ONLY,2026081910,0.5535714285714286,0.554683411826269,0.5996187384103244,0.4928571428571429,0.5071428571428571,-488.378549334952,140,140
OAKBAT.cleanStatic,500,B0_CN0,2026081901,0.4764795918367346,0.5013082155939299,0.4979338691859101,0.5071428571428571,0.5107142857142857,-0.09267529867307464,140,140
OAKBAT.cleanStatic,500,B0_CN0,2026081902,0.465765306122449,0.5013082155939299,0.4860665531356797,0.5142857142857142,0.48928571428571427,-0.09267529867307464,140,140
OAKBAT.cleanStatic,500,B0_CN0,2026081903,0.48178571428571426,0.5018315018315018,0.5001493942540891,0.5071428571428571,0.5142857142857143,-0.09267529867307464,140,140
OAKBAT.cleanStatic,500,B0_CN0,2026081904,0.45948979591836736,0.5013082155939299,0.484458174836418,0.5142857142857142,0.4964285714285714,-0.09267529867307464,140,140
OAKBAT.cleanStatic,500,B0_CN0,2026081905,0.4321428571428571,0.5018315018315018,0.4661327344968226,0.5321428571428571,0.48214285714285715,-0.09267529867307464,140,140
OAKBAT.cleanStatic,500,B0_CN0,2026081906,0.4588775510204081,0.5013082155939299,0.48684892716164946,0.5107142857142857,0.5071428571428571,-0.09267529867307464,140,140
OAKBAT.cleanStatic,500,B0_CN0,2026081907,0.45836734693877557,0.49973835688121404,0.4737670266876898,0.5107142857142857,0.46785714285714286,-0.09267529867307464,140,140
OAKBAT.cleanStatic,500,B0_CN0,2026081908,0.45035714285714284,0.4965986394557823,0.47046707709236507,0.5178571428571428,0.4857142857142857,-0.09267529867307464,140,140
OAKBAT.cleanStatic,500,B0_CN0,2026081909,0.45489795918367343,0.5034013605442177,0.4824062286368896,0.5214285714285714,0.4964285714285714,-0.09267529867307464,140,140
OAKBAT.cleanStatic,500,B0_CN0,2026081910,0.47321428571428575,0.5034013605442177,0.49104042941853543,0.5178571428571428,0.4964285714285714,-0.09267529867307464,140,140
OAKBAT.cleanStatic,500,B1_power,2026081901,0.5108928571428571,0.5096807953950812,0.5263495635393214,0.4892857142857143,0.5142857142857142,-0.12157849805613742,140,140
OAKBAT.cleanStatic,500,B1_power,2026081902,0.5038265306122449,0.5045133437990581,0.5089788178926287,0.5142857142857142,0.5107142857142857,-0.12157849805613742,140,140
OAKBAT.cleanStatic,500,B1_power,2026081903,0.503545918367347,0.5047967905110762,0.507148559026348,0.4928571428571429,0.5071428571428571,-0.12157849805613742,140,140
OAKBAT.cleanStatic,500,B1_power,2026081904,0.5087244897959183,0.5086342229199372,0.5191640638690929,0.4928571428571429,0.5214285714285714,-0.12157849805613742,140,140
OAKBAT.cleanStatic,500,B1_power,2026081905,0.5081122448979593,0.5091575091575091,0.5208322842179032,0.4928571428571429,0.5142857142857142,-0.12157849805613742,140,140
OAKBAT.cleanStatic,500,B1_power,2026081906,0.5097448979591837,0.5070643642072213,0.5214897890900441,0.4892857142857143,0.5142857142857142,-0.12157849805613742,140,140
