case_id,dataset,ablation,score
OAKBAT.cleanStatic.r1.07,OAKBAT.cleanStatic,Full,2.1503911735710215
OAKBAT.cleanStatic.r1.08,OAKBAT.cleanStatic,E0_total_energy,1151742697052787.0
OAKBAT.cleanStatic.r1.08,OAKBAT.cleanStatic,E1_magnitude_distortion,0.21760367136878808
OAKBAT.cleanStatic.r1.08,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.21718267591400445
OAKBAT.cleanStatic.r1.08,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.8867409430862732
OAKBAT.cleanStatic.r1.08,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.6931186620889553
OAKBAT.cleanStatic.r1.08,OAKBAT.cleanStatic,E5_500ms_complex_minor,0.7141969296437922
OAKBAT.cleanStatic.r1.08,OAKBAT.cleanStatic,E6_magnitude_minor,0.21760367136878808
OAKBAT.cleanStatic.r1.08,OAKBAT.cleanStatic,E7_single_prn_node,4.4759199688208025
OAKBAT.cleanStatic.r1.08,OAKBAT.cleanStatic,Full,4.4759199688207945
OAKBAT.cleanStatic.r1.09,OAKBAT.cleanStatic,E0_total_energy,1264264881672719.5
OAKBAT.cleanStatic.r1.09,OAKBAT.cleanStatic,E1_magnitude_distortion,0.19127126010498968
OAKBAT.cleanStatic.r1.09,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.2706043770196317
OAKBAT.cleanStatic.r1.09,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.547761497679018
OAKBAT.cleanStatic.r1.09,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.3620934306754067
OAKBAT.cleanStatic.r1.09,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.0895290421514143
OAKBAT.cleanStatic.r1.09,OAKBAT.cleanStatic,E6_magnitude_minor,0.19127126010498968
OAKBAT.cleanStatic.r1.09,OAKBAT.cleanStatic,E7_single_prn_node,3.025926360522999
OAKBAT.cleanStatic.r1.09,OAKBAT.cleanStatic,Full,2.3403117116965566
OAKBAT.cleanStatic.r1.10,OAKBAT.cleanStatic,E0_total_energy,1024441186745516.1
OAKBAT.cleanStatic.r1.10,OAKBAT.cleanStatic,E1_magnitude_distortion,0.21882888640047632
OAKBAT.cleanStatic.r1.10,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.23139062483641631
OAKBAT.cleanStatic.r1.10,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.7397846319850652
OAKBAT.cleanStatic.r1.10,OAKBAT.cleanStatic,E4_100ms_complex_minor,2.0464352452116663
OAKBAT.cleanStatic.r1.10,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.8868022213509492
OAKBAT.cleanStatic.r1.10,OAKBAT.cleanStatic,E6_magnitude_minor,0.21882888640047632
OAKBAT.cleanStatic.r1.10,OAKBAT.cleanStatic,E7_single_prn_node,5.107765988334574
OAKBAT.cleanStatic.r1.10,OAKBAT.cleanStatic,Full,2.964648203318478
OAKBAT.cleanStatic.r1.11,OAKBAT.cleanStatic,E0_total_energy,1401575619894902.2
OAKBAT.cleanStatic.r1.11,OAKBAT.cleanStatic,E1_magnitude_distortion,0.16940209344787815
OAKBAT.cleanStatic.r1.11,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.2407791832492301
OAKBAT.cleanStatic.r1.11,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.2574268991123905
OAKBAT.cleanStatic.r1.11,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.7279153079885528
OAKBAT.cleanStatic.r1.11,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.0461581415945176
OAKBAT.cleanStatic.r1.11,OAKBAT.cleanStatic,E6_magnitude_minor,0.16940209344787815
OAKBAT.cleanStatic.r1.11,OAKBAT.cleanStatic,E7_single_prn_node,3.238931179192899
OAKBAT.cleanStatic.r1.11,OAKBAT.cleanStatic,Full,2.3551002203683997
OAKBAT.cleanStatic.r1.12,OAKBAT.cleanStatic,E0_total_energy,1534863947644519.5
OAKBAT.cleanStatic.r1.12,OAKBAT.cleanStatic,E1_magnitude_distortion,0.19353768669097576
OAKBAT.cleanStatic.r1.12,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.23146403600355592
OAKBAT.cleanStatic.r1.12,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.7096550362259664
OAKBAT.cleanStatic.r1.12,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.417566163749827
OAKBAT.cleanStatic.r1.12,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.3379865736840664
OAKBAT.cleanStatic.r1.12,OAKBAT.cleanStatic,E6_magnitude_minor,0.19353768669097576
OAKBAT.cleanStatic.r1.12,OAKBAT.cleanStatic,E7_single_prn_node,4.377564821697775
OAKBAT.cleanStatic.r1.12,OAKBAT.cleanStatic,Full,2.385891575571085
OAKBAT.cleanStatic.r1.13,OAKBAT.cleanStatic,E0_total_energy,1004648288440397.8
OAKBAT.cleanStatic.r1.13,OAKBAT.cleanStatic,E1_magnitude_distortion,0.1817957322063175
OAKBAT.cleanStatic.r1.13,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.2163634367581544
OAKBAT.cleanStatic.r1.13,OAKBAT.cleanStatic,E3_20ms_complex_minor,0.7034721906346957
OAKBAT.cleanStatic.r1.13,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.3628879849259752
OAKBAT.cleanStatic.r1.13,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.3538154129825042
OAKBAT.cleanStatic.r1.13,OAKBAT.cleanStatic,E6_magnitude_minor,0.1817957322063175
OAKBAT.cleanStatic.r1.13,OAKBAT.cleanStatic,E7_single_prn_node,4.6573727156654865
OAKBAT.cleanStatic.r1.13,OAKBAT.cleanStatic,Full,2.4244186563381946
OAKBAT.cleanStatic.r1.14,OAKBAT.cleanStatic,E0_total_energy,1322766950359427.0
OAKBAT.cleanStatic.r1.14,OAKBAT.cleanStatic,E1_magnitude_distortion,0.20846352244172622
OAKBAT.cleanStatic.r1.14,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.23416149748118234
OAKBAT.cleanStatic.r1.14,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.4126752742213666
OAKBAT.cleanStatic.r1.14,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.463223332657051
OAKBAT.cleanStatic.r1.14,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.0735283622938874
OAKBAT.cleanStatic.r1.14,OAKBAT.cleanStatic,E6_magnitude_minor,0.20846352244172622
OAKBAT.cleanStatic.r1.14,OAKBAT.cleanStatic,E7_single_prn_node,3.5728458654807254
OAKBAT.cleanStatic.r1.14,OAKBAT.cleanStatic,Full,2.2945091414018868
OAKBAT.cleanStatic.r1.15,OAKBAT.cleanStatic,E0_total_energy,1076938174949955.0
OAKBAT.cleanStatic.r1.15,OAKBAT.cleanStatic,E1_magnitude_distortion,0.1907684510592116
OAKBAT.cleanStatic.r1.15,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.25765567154420116
OAKBAT.cleanStatic.r1.15,OAKBAT.cleanStatic,E3_20ms_complex_minor,2.498628658897331
OAKBAT.cleanStatic.r1.15,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.708495391330421
OAKBAT.cleanStatic.r1.15,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.2275816597000713
OAKBAT.cleanStatic.r1.15,OAKBAT.cleanStatic,E6_magnitude_minor,0.1907684510592116
OAKBAT.cleanStatic.r1.15,OAKBAT.cleanStatic,E7_single_prn_node,4.780802754631242
OAKBAT.cleanStatic.r1.15,OAKBAT.cleanStatic,Full,2.9091189349322466
OAKBAT.cleanStatic.r1.16,OAKBAT.cleanStatic,E0_total_energy,1401748593343760.8
OAKBAT.cleanStatic.r1.16,OAKBAT.cleanStatic,E1_magnitude_distortion,0.2038334852971042
OAKBAT.cleanStatic.r1.16,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.252102762454356
OAKBAT.cleanStatic.r1.16,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.9125166058916534
OAKBAT.cleanStatic.r1.16,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.2949872143464445
OAKBAT.cleanStatic.r1.16,OAKBAT.cleanStatic,E5_500ms_complex_minor,0.8150022960927223
OAKBAT.cleanStatic.r1.16,OAKBAT.cleanStatic,E6_magnitude_minor,0.2038334852971042
OAKBAT.cleanStatic.r1.16,OAKBAT.cleanStatic,E7_single_prn_node,5.49436093245132
OAKBAT.cleanStatic.r1.16,OAKBAT.cleanStatic,Full,2.145329669755297
OAKBAT.cleanStatic.r1.17,OAKBAT.cleanStatic,E0_total_energy,1204991348203973.5
OAKBAT.cleanStatic.r1.17,OAKBAT.cleanStatic,E1_magnitude_distortion,0.17344079276908264
OAKBAT.cleanStatic.r1.17,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.22889892968424552
OAKBAT.cleanStatic.r1.17,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.516473041684229
OAKBAT.cleanStatic.r1.17,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.1962817345940562
OAKBAT.cleanStatic.r1.17,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.1096591751714393
OAKBAT.cleanStatic.r1.17,OAKBAT.cleanStatic,E6_magnitude_minor,0.17344079276908264
OAKBAT.cleanStatic.r1.17,OAKBAT.cleanStatic,E7_single_prn_node,4.545800940008374
OAKBAT.cleanStatic.r1.17,OAKBAT.cleanStatic,Full,2.057779015345063
OAKBAT.cleanStatic.r1.18,OAKBAT.cleanStatic,E0_total_energy,958688641385636.8
OAKBAT.cleanStatic.r1.18,OAKBAT.cleanStatic,E1_magnitude_distortion,0.21518628688686325
OAKBAT.cleanStatic.r1.18,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.2570293525026144
OAKBAT.cleanStatic.r1.18,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.6195919531107066
OAKBAT.cleanStatic.r1.18,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.7458497679239773
OAKBAT.cleanStatic.r1.18,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.1344572067123448
OAKBAT.cleanStatic.r1.18,OAKBAT.cleanStatic,E6_magnitude_minor,0.21518628688686325
OAKBAT.cleanStatic.r1.18,OAKBAT.cleanStatic,E7_single_prn_node,6.390240667065342
OAKBAT.cleanStatic.r1.18,OAKBAT.cleanStatic,Full,3.9194194557607
OAKBAT.cleanStatic.r1.19,OAKBAT.cleanStatic,E0_total_energy,1376103258752259.0
OAKBAT.cleanStatic.r1.19,OAKBAT.cleanStatic,E1_magnitude_distortion,0.19148312957637387
OAKBAT.cleanStatic.r1.19,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.18583042830839197
OAKBAT.cleanStatic.r1.19,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.5193447602974346
OAKBAT.cleanStatic.r1.19,OAKBAT.cleanStatic,E4_100ms_complex_minor,0.7877067192078135
OAKBAT.cleanStatic.r1.19,OAKBAT.cleanStatic,E5_500ms_complex_minor,0.7660863343406279
OAKBAT.cleanStatic.r1.19,OAKBAT.cleanStatic,E6_magnitude_minor,0.19148312957637387
OAKBAT.cleanStatic.r1.19,OAKBAT.cleanStatic,E7_single_prn_node,2.9148332828440577
OAKBAT.cleanStatic.r1.19,OAKBAT.cleanStatic,Full,2.073553194212526
OAKBAT.cleanStatic.r1.20,OAKBAT.cleanStatic,E0_total_energy,1166625257050963.5
OAKBAT.cleanStatic.r1.20,OAKBAT.cleanStatic,E1_magnitude_distortion,0.1612126586460302
OAKBAT.cleanStatic.r1.20,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.19460289706551365
OAKBAT.cleanStatic.r1.20,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.379827644588669
OAKBAT.cleanStatic.r1.20,OAKBAT.cleanStatic,E4_100ms_complex_minor,2.5752528135514554
OAKBAT.cleanStatic.r1.20,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.649751662155997
OAKBAT.cleanStatic.r1.20,OAKBAT.cleanStatic,E6_magnitude_minor,0.1612126586460302
OAKBAT.cleanStatic.r1.20,OAKBAT.cleanStatic,E7_single_prn_node,5.840934522731291
OAKBAT.cleanStatic.r1.20,OAKBAT.cleanStatic,Full,3.3160065191065264
OAKBAT.cleanStatic.r1.21,OAKBAT.cleanStatic,E0_total_energy,1013515803374876.0
OAKBAT.cleanStatic.r1.21,OAKBAT.cleanStatic,E1_magnitude_distortion,0.22742054817643356
OAKBAT.cleanStatic.r1.21,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.2636369410834825
OAKBAT.cleanStatic.r1.21,OAKBAT.cleanStatic,E3_20ms_complex_minor,2.809041918387491
OAKBAT.cleanStatic.r1.21,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.516823795819974
OAKBAT.cleanStatic.r1.21,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.041096473654063
OAKBAT.cleanStatic.r1.21,OAKBAT.cleanStatic,E6_magnitude_minor,0.22742054817643356
OAKBAT.cleanStatic.r1.21,OAKBAT.cleanStatic,E7_single_prn_node,6.39024066706535
OAKBAT.cleanStatic.r1.21,OAKBAT.cleanStatic,Full,2.8617221762164036
OAKBAT.cleanStatic.r1.22,OAKBAT.cleanStatic,E0_total_energy,1016285841802795.5
OAKBAT.cleanStatic.r1.22,OAKBAT.cleanStatic,E1_magnitude_distortion,0.17313659389310665
OAKBAT.cleanStatic.r1.22,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.2511404067691198
OAKBAT.cleanStatic.r1.22,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.4485982444560455
OAKBAT.cleanStatic.r1.22,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.7548993665741772
OAKBAT.cleanStatic.r1.22,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.5427783247968765
OAKBAT.cleanStatic.r1.22,OAKBAT.cleanStatic,E6_magnitude_minor,0.17313659389310665
OAKBAT.cleanStatic.r1.22,OAKBAT.cleanStatic,E7_single_prn_node,4.761192398054609
OAKBAT.cleanStatic.r1.22,OAKBAT.cleanStatic,Full,2.562545344652273
OAKBAT.cleanStatic.r1.23,OAKBAT.cleanStatic,E0_total_energy,1174196879213972.5
OAKBAT.cleanStatic.r1.23,OAKBAT.cleanStatic,E1_magnitude_distortion,0.19364817790423816
OAKBAT.cleanStatic.r1.23,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.2227532200846009
OAKBAT.cleanStatic.r1.23,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.2411263184246915
OAKBAT.cleanStatic.r1.23,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.9009734620236904
OAKBAT.cleanStatic.r1.23,OAKBAT.cleanStatic,E5_500ms_complex_minor,0.829381552760968
OAKBAT.cleanStatic.r1.23,OAKBAT.cleanStatic,E6_magnitude_minor,0.19364817790423816
OAKBAT.cleanStatic.r1.23,OAKBAT.cleanStatic,E7_single_prn_node,3.7937622416202443
OAKBAT.cleanStatic.r1.23,OAKBAT.cleanStatic,Full,2.8304228480565325
OAKBAT.cleanStatic.r1.24,OAKBAT.cleanStatic,E0_total_energy,1220537034135264.0
OAKBAT.cleanStatic.r1.24,OAKBAT.cleanStatic,E1_magnitude_distortion,0.18618781373880502
OAKBAT.cleanStatic.r1.24,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.22121417736686333
OAKBAT.cleanStatic.r1.24,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.864216770574555
OAKBAT.cleanStatic.r1.24,OAKBAT.cleanStatic,E4_100ms_complex_minor,0.6745999291004907
OAKBAT.cleanStatic.r1.24,OAKBAT.cleanStatic,E5_500ms_complex_minor,0.8219034473151208
OAKBAT.cleanStatic.r1.24,OAKBAT.cleanStatic,E6_magnitude_minor,0.18618781373880502
OAKBAT.cleanStatic.r1.24,OAKBAT.cleanStatic,E7_single_prn_node,3.047934803231387
OAKBAT.cleanStatic.r1.24,OAKBAT.cleanStatic,Full,1.993131325225605
OAKBAT.cleanStatic.r1.25,OAKBAT.cleanStatic,E0_total_energy,913601822677428.9
OAKBAT.cleanStatic.r1.25,OAKBAT.cleanStatic,E1_magnitude_distortion,0.19893974677074044
OAKBAT.cleanStatic.r1.25,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.23543878629618595
OAKBAT.cleanStatic.r1.25,OAKBAT.cleanStatic,E3_20ms_complex_minor,0.8414599047239413
OAKBAT.cleanStatic.r1.25,OAKBAT.cleanStatic,E4_100ms_complex_minor,0.9860438042935273
OAKBAT.cleanStatic.r1.25,OAKBAT.cleanStatic,E5_500ms_complex_minor,0.9915152308022537
OAKBAT.cleanStatic.r1.25,OAKBAT.cleanStatic,E6_magnitude_minor,0.19893974677074044
OAKBAT.cleanStatic.r1.25,OAKBAT.cleanStatic,E7_single_prn_node,4.64198688633211
OAKBAT.cleanStatic.r1.25,OAKBAT.cleanStatic,Full,2.2166824865459893
OAKBAT.cleanStatic.r1.26,OAKBAT.cleanStatic,E0_total_energy,903997976409527.4
OAKBAT.cleanStatic.r1.26,OAKBAT.cleanStatic,E1_magnitude_distortion,0.2005200263253087
OAKBAT.cleanStatic.r1.26,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.21022239801804915
OAKBAT.cleanStatic.r1.26,OAKBAT.cleanStatic,E3_20ms_complex_minor,2.4179945850992706
OAKBAT.cleanStatic.r1.26,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.8293768102555603
OAKBAT.cleanStatic.r1.26,OAKBAT.cleanStatic,E5_500ms_complex_minor,0.8636857860093583
OAKBAT.cleanStatic.r1.26,OAKBAT.cleanStatic,E6_magnitude_minor,0.2005200263253087
OAKBAT.cleanStatic.r1.26,OAKBAT.cleanStatic,E7_single_prn_node,5.417285592537695
OAKBAT.cleanStatic.r1.26,OAKBAT.cleanStatic,Full,3.4998689091691846
OAKBAT.cleanStatic.r1.27,OAKBAT.cleanStatic,E0_total_energy,1226231073906616.5
