scenario,detector,role,status,epochs,available_epochs,total_candidate_epochs,roc_auc,pr_auc,normalized_pauc_fpr_lte_0.05,strict_q99_detection_rate,strict_q995_detection_rate,sustained_q99_detection_rate,first_sustained_alarm_delay_s,persistent_alarm_ratio
DS3,A1,primary,EVALUATED,816,816,816,0.42333798882681567,0.8613611960269283,0.02932960893854749,0.01675977653631285,0.006983240223463687,0.004189944134078212,105.51815479999999,0.018867924528301886
DS3,A2,primary,EVALUATED,816,816,816,0.4037709497206704,0.8604091672546016,0.044972067039106146,0.04888268156424581,0.0111731843575419,0.02094972067039106,85.01816288,0.05188679245283019
DS3,A3,primary,EVALUATED,816,816,816,0.5094553072625698,0.8853028906718214,0.0223463687150838,0.0335195530726257,0.030726256983240222,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.03773584905660377
DS3,A4,primary,EVALUATED,816,816,816,0.39090782122905027,0.8543413554632044,0.035195530726256974,0.019553072625698324,0.015363128491620111,0.004189944134078212,105.51815479999999,0.018867924528301886
DS3,Full R2C-GNSS,primary,EVALUATED,816,816,816,0.47391061452513966,0.8732679279886367,0.0164804469273743,0.002793296089385475,0.002793296089385475,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.0015723270440251573
DS3,Power-only,primary,EVALUATED,816,816,816,0.8175139664804469,0.9711702682005006,0.4187150837988826,0.0,0.0,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.0
DS7,B0,primary,EVALUATED,442,442,442,0.9997929606625259,0.9999247129681913,0.9968944099378882,0.16770186335403728,0.15838509316770186,0.14906832298136646,19.018638879999997,0.04132231404958678
DS7,A1,primary,EVALUATED,442,442,442,0.45256211180124223,0.7278857650629253,0.03260869565217391,0.018633540372670808,0.006211180124223602,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.01652892561983471
DS7,A2,primary,EVALUATED,442,442,442,0.5300724637681159,0.7818441121768196,0.059006211180124224,0.018633540372670808,0.0,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.012396694214876033
DS7,A3,primary,EVALUATED,442,442,442,0.609083850931677,0.7980369766503761,0.06418219461697722,0.21739130434782608,0.21428571428571427,0.13043478260869565,98.01866532,0.2809917355371901
DS7,A4,primary,EVALUATED,442,442,442,0.5179347826086956,0.7797173614372425,0.08436853002070394,0.003105590062111801,0.003105590062111801,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.004132231404958678
DS7,Full R2C-GNSS,primary,EVALUATED,442,442,442,0.48237577639751555,0.6826309986354073,0.007246376811594203,0.006211180124223602,0.006211180124223602,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.008264462809917356
DS7,Power-only,primary,EVALUATED,442,442,442,0.49332298136645963,0.7167152933828379,0.020703933747412008,0.0,0.0,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.0
DS8,B0,primary,EVALUATED,840,840,840,0.9885069444444444,0.9982894893272767,0.9828703703703703,0.5833333333333334,0.575,0.5652777777777778,25.519271239999995,0.6421875
DS8,A1,primary,EVALUATED,840,840,840,0.24190972222222223,0.7792996136233786,0.013194444444444446,0.005555555555555556,0.002777777777777778,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.0046875
DS8,A2,primary,EVALUATED,840,840,840,0.20895833333333333,0.7700589866821026,0.018287037037037036,0.009722222222222222,0.0,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.0078125
DS8,A3,primary,EVALUATED,840,840,840,0.5976273148148148,0.8969112687904736,0.05231481481481483,0.16527777777777777,0.1597222222222222,0.044444444444444446,99.51917916,0.1796875
DS8,A4,primary,EVALUATED,840,840,840,0.2094675925925926,0.7698264451064372,0.020138888888888887,0.004166666666666667,0.001388888888888889,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.003125
DS8,Full R2C-GNSS,primary,EVALUATED,840,840,840,0.4226736111111111,0.823811734473462,0.010648148148148148,0.005555555555555556,0.004166666666666667,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.00625
DS8,Power-only,primary,EVALUATED,840,840,840,0.16288194444444445,0.7211888051955212,0.00023148148148148163,0.0,0.0,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.0
