scenario,model,roc_auc,pr_auc,independent_test_fpr,attack_detection_rate,first_alarm_delay_s,persistent_delay_s,threshold_q99,threshold_q995,target_fpr_1pct_threshold
os4,B0,1.0,1.0,0.014598540145985401,1.0,0.0,0.0,3.387595597216391,3.407964047302959,3.387595597216391
os4,M1,1.0,1.0,0.010948905109489052,1.0,0.0,0.0,5.516420623855864,6.351747988603181,5.516420623855864
os4,mean_fusion,1.0,1.0,0.0036496350364963502,1.0,0.0,0.0,3.1998721084335653,3.386963810204123,3.1998721084335653
os4,max_fusion,0.9950248756218906,0.9971469329529244,0.0036496350364963502,1.0,0.0,0.0,5.033564968282611,5.0369526024136295,5.033564968282611
os4,fisher_fusion,1.0,1.0,0.0036496350364963502,1.0,0.0,0.0,12.799488433734261,13.547855240816492,12.799488433734261
os4,P0_median,1.0,1.0,0.014598540145985401,1.0,0.0,0.0,3.387595597216391,3.407964047302959,3.387595597216391
os4,P1_median,1.0,1.0,0.0036496350364963502,1.0,0.0,0.0,3.3440419036722595,3.383195009370686,3.3440419036722595
os4,P2_median,1.0,1.0,0.021897810218978103,1.0,0.0,0.0,3.3446229163599765,3.378392833036875,3.3446229163599765
os4,P3_median,1.0,1.0,0.010948905109489052,1.0,0.0,0.0,3.320348639995132,3.363762627122649,3.320348639995132
os4,Full,1.0,1.0,0.0072992700729927005,1.0,0.0,0.0,5.132180280290414,6.642795878519902,5.132180280290414
os4,minus_M1,1.0,1.0,0.0036496350364963502,1.0,0.0,0.0,4.902868148829208,5.777288712237308,4.902868148829208
os4,minus_B0history,1.0,1.0,0.0,1.0,0.0,0.0,5.058810212233893,5.427970069849825,5.058810212233893
os4,minus_concordance,1.0,1.0,0.014598540145985401,1.0,0.0,0.0,3.6417244347285336,3.9935915187020514,3.6417244347285336
