established_detection_rate,estimated_onset_s,family,finite_epochs,first_alarm_delay_s,longest_alarm_run_epochs,mean_participation,mean_tracked_prns,method,onset_error_s,pauc_fpr_0_05,persistent_alarm_ratio,pr_auc,pre_onset_fpr,roc_auc,scenario,score_total_prompt_power_pearson_r,score_total_prompt_power_spearman_rho,score_total_residual_energy_pearson_r,score_total_residual_energy_spearman_rho,transition_detection_rate
0.25588235294117645,,OS2,958,3.996770600000005,18,0.489182007971152,11.0,A3,,0.6263888888888889,0.25277777777777777,0.8143644166086754,0.0,0.6263888888888889,OS2,,,,,0.2
0.3088235294117647,142.5,OS2,958,5.496768599999996,29,0.8135745928164247,11.0,A4,22.5,0.5081160669395963,0.3013888888888889,0.8111186568143592,0.15546218487394958,0.6112336601307189,OS2,,,,,0.175
0.011764705882352941,142.5,OS2,958,23.496744199999995,1,0.19481686823024108,11.0,A5,22.5,0.5032000798444085,0.011111111111111112,0.7529433161476916,0.004201680672268907,0.5034430438842203,OS2,,,,,0.0
0.0014705882352941176,215.0,OS2,958,95.49664720000001,1,0.2734366593554002,11.0,A6,95.0,0.5006944444444444,0.001388888888888889,0.7519108095569473,0.0,0.5006944444444444,OS2,,,,,0.0
0.7455882352941177,142.5,OS2,958,1.996773200000007,31,0.400269800134178,11.0,A7,22.5,0.8581795313242323,0.7444444444444445,0.9357535709335857,0.004201680672268907,0.8703664799253035,OS2,,,,,0.725
0.7455882352941177,142.5,OS2,958,1.996773200000007,31,0.400269800134178,11.0,Full,22.5,0.8581795313242323,0.7444444444444445,0.9357535709335857,0.004201680672268907,0.8703664799253035,OS2,0.43291583416534873,0.2727254536337739,0.4117097720277417,0.29260831255317377,0.725
0.004411764705882353,147.0,OS2,958,23.496744199999995,1,0.3890244950777677,11.0,EPL3,27.0,0.5020833333333333,0.004166666666666667,0.7526009046624913,0.0,0.5020833333333333,OS2,,,,,0.0
1.0,142.0,OS2,958,0.49677520000000186,721,0.5832002966654743,11.0,No-quotient,22.0,0.9909621968445497,1.0,0.9996902230581224,0.03361344537815126,0.9991188141923436,OS2,,,,,1.0
0.007352941176470588,,OS3,958,23.496732199999997,3,nan,10.998956158663884,A1,,0.5055364025952261,0.006944444444444444,0.8032854748407332,0.0,0.6077906162464987,OS3,,,,,0.0
0.016176470588235296,,OS3,958,23.496732199999997,3,nan,10.998956158663884,A2,,0.5644437262084321,0.015277777777777777,0.930138705627736,0.004201680672268907,0.8648809523809524,OS3,,,,,0.0
0.0,,OS3,958,nan,0,0.021635984057695956,10.998956158663884,A3,,0.5,0.0,0.7515657620041754,0.0,0.5,OS3,,,,,0.0
0.2073529411764706,142.5,OS3,958,5.496756599999998,28,0.8200244720354758,10.998956158663884,A4,22.5,0.5069908305202423,0.2,0.7516481860537474,0.20168067226890757,0.4896358543417367,OS3,,,,,0.075
0.0,1.0,OS3,958,nan,0,0.15338401947699468,10.998956158663884,A5,-119.0,0.5,0.0,0.7515657620041754,0.0,0.5,OS3,,,,,0.0
0.0,1.0,OS3,958,nan,0,0.1852978987333832,10.998956158663884,A6,-119.0,0.5,0.0,0.7515657620041754,0.0,0.5,OS3,,,,,0.0
0.0014705882352941176,142.5,OS3,958,23.496732199999997,1,0.26280190082182064,10.998956158663884,A7,22.5,0.5006944444444444,0.001388888888888889,0.7519108095569473,0.0,0.5006944444444444,OS3,,,,,0.0
0.0014705882352941176,142.5,OS3,958,23.496732199999997,1,0.26280190082182064,10.998956158663884,Full,22.5,0.5006944444444444,0.001388888888888889,0.7519108095569473,0.0,0.5006944444444444,OS3,0.3031627522230137,0.0559308376721747,0.2907661942003661,0.055813949819150305,0.0
0.0,1.0,OS3,958,nan,0,0.3690560756619915,10.998956158663884,EPL3,-119.0,0.5,0.0,0.7515657620041754,0.0,0.5,OS3,,,,,0.0
0.010294117647058823,142.5,OS3,958,23.496732199999997,2,0.3433726497271305,10.998956158663884,No-quotient,22.5,0.49828001959103335,0.009722222222222222,0.7504576160376004,0.012605042016806723,0.49851482259570495,OS3,,,,,0.0
0.013235294117647059,,OS4,958,22.996759400000002,3,nan,10.998956158663884,A1,,0.521187962364433,0.0125,0.8343624455545291,0.0,0.6538632119514471,OS4,,,,,0.0
0.6058823529411764,,OS4,958,0.4967900000000043,13,nan,10.998956158663884,A2,,0.8959575283104695,0.6097222222222223,0.9891674468084568,0.0,0.9659547152194211,OS4,,,,,0.675
0.9088235294117647,,OS4,958,1.996787800000007,159,0.3972290757259442,10.998956158663884,A3,,0.9548611111111112,0.9097222222222222,0.9775719090698214,0.0,0.9548611111111112,OS4,,,,,0.925
0.3397058823529412,142.5,OS4,958,5.496783199999996,29,0.8150754572079016,10.998956158663884,A4,22.5,0.5155737508678685,0.33611111111111114,0.8814455213853759,0.11764705882352941,0.7792308590102708,OS4,,,,,0.275
0.7470588235294118,142.5,OS4,958,1.996787800000007,75,0.17756088597180572,10.998956158663884,A5,22.5,0.8622547396475612,0.7444444444444445,0.9360577909384553,0.008403361344537815,0.8702731092436975,OS4,,,,,0.7
0.2073529411764706,293.0,OS4,958,1.996787800000007,11,0.2427286918356847,10.998956158663884,A6,173.0,0.6020833333333333,0.20416666666666666,0.8022877522616562,0.0,0.6020833333333333,OS4,,,,,0.15
0.95,142.5,OS4,958,0.4967900000000043,167,0.3587881036052432,10.998956158663884,A7,22.5,0.9734528024595323,0.9527777777777777,0.9881723465770598,0.008403361344537815,0.975922035480859,OS4,,,,,1.0
0.95,142.5,OS4,958,0.4967900000000043,167,0.3587881036052432,10.998956158663884,Full,22.5,0.9734528024595323,0.9527777777777777,0.9881723465770598,0.008403361344537815,0.975922035480859,OS4,0.48048204671199635,0.3556411573804739,0.5083670039571571,0.385665435501038,1.0
0.033823529411764704,142.5,OS4,958,5.496783199999996,5,0.3763357669597461,10.998956158663884,EPL3,22.5,0.5166666666666666,0.03333333333333333,0.7598469032707027,0.0,0.5166666666666667,OS4,,,,,0.025
1.0,142.5,OS4,958,0.4967900000000043,720,0.4590146732794189,10.998956158663884,No-quotient,22.5,0.9968277909454379,1.0,0.9998964352424526,0.02100840336134454,0.9996907096171802,OS4,,,,,1.0
