awgn_seed,case_id,complex_scalar_imag,complex_scalar_real,control,control_delta_bic,control_recovered_delay_chips,control_recovered_doppler_hz,dataset,injected_delta_bic,paired_difference_delta_bic,residual_rms,strong_resolvable,target_prn
,OAKBAT.cleanStatic.single.26,0.0,1.1799669386464962,GAIN_RMS_MATCHED,-23.168742650770582,-0.35,-75.0,OAKBAT.cleanStatic,619.4775403100066,642.6462829607772,,True,11
20260829,OAKBAT.cleanStatic.single.26,,,AWGN_TAP_DOMAIN,-16.049271202646196,-0.35,-30.0,OAKBAT.cleanStatic,619.4775403100066,635.5268115126528,582139.6658732597,True,11
,OAKBAT.cleanStatic.single.27,0.0,1.0902875400141474,GAIN_RMS_MATCHED,-23.17510089254938,-0.35,-75.0,OAKBAT.cleanStatic,1096.9154452681541,1120.0905461607035,,True,21
20260839,OAKBAT.cleanStatic.single.27,,,AWGN_TAP_DOMAIN,-16.014466182794422,-0.05,70.0,OAKBAT.cleanStatic,1096.9154452681541,1112.9299114509486,416939.88630169886,True,21
,TEXBAT.cleanStatic.single.00,0.0,0.7000830232849736,GAIN_RMS_MATCHED,-23.156639739405364,-0.35,-75.0,TEXBAT.cleanStatic,31.212689597625285,54.36932933703065,,False,3
20260821,TEXBAT.cleanStatic.single.00,,,AWGN_TAP_DOMAIN,-13.354713891632855,0.275,-20.0,TEXBAT.cleanStatic,31.212689597625285,44.56740348925814,185960.53275868803,False,3
,TEXBAT.cleanStatic.single.01,0.0,1.415267673635773,GAIN_RMS_MATCHED,-20.788425009173807,-0.35,-75.0,TEXBAT.cleanStatic,450.99216175975744,471.78058676893124,,False,13
20260831,TEXBAT.cleanStatic.single.01,,,AWGN_TAP_DOMAIN,-10.510783200501464,0.35,-75.0,TEXBAT.cleanStatic,450.99216175975744,461.5029449602589,6962313.179230088,False,13
,TEXBAT.cleanStatic.single.02,0.0,1.214425667748148,GAIN_RMS_MATCHED,-23.146158775663935,-0.35,-75.0,TEXBAT.cleanStatic,2624.942781439051,2648.088940214715,,True,16
20260834,TEXBAT.cleanStatic.single.02,,,AWGN_TAP_DOMAIN,-11.246084464713931,-0.35,-40.0,TEXBAT.cleanStatic,2624.942781439051,2636.188865903765,2902715.295221387,True,16
,TEXBAT.cleanStatic.single.03,0.0,1.1086871702563463,GAIN_RMS_MATCHED,-23.15394022827968,-0.35,-75.0,TEXBAT.cleanStatic,994.2935716644861,1017.4475118927658,,True,19
20260837,TEXBAT.cleanStatic.single.03,,,AWGN_TAP_DOMAIN,-9.01824128581211,-0.05,20.0,TEXBAT.cleanStatic,994.2935716644861,1003.3118129502982,1672710.0194202717,True,19
,TEXBAT.cleanStatic.single.04,0.0,1.0409780166719664,GAIN_RMS_MATCHED,-23.135281794238836,-0.35,-75.0,TEXBAT.cleanStatic,602.408575413283,625.5438572075218,,False,30
20260848,TEXBAT.cleanStatic.single.04,,,AWGN_TAP_DOMAIN,-12.82632501469925,-0.25,-35.0,TEXBAT.cleanStatic,602.408575413283,615.2349004279822,465472.12771052215,False,30
,TEXBAT.cleanStatic.single.05,0.0,1.3755500752138652,GAIN_RMS_MATCHED,-20.231706461374415,-0.35,-75.0,TEXBAT.cleanStatic,295.70906730846036,315.9407737698348,,True,3
