awgn_seed,case_id,control,control_delta_bic,control_recovered_delay_chips,control_recovered_doppler_hz,dataset,injected_delta_bic,paired_difference_delta_bic,residual_rms,strong_resolvable,target_prn
20260831,TEXBAT.cleanStatic.single.06,AWGN_TAP_DOMAIN,-13.916986532509327,-0.35,-20.0,TEXBAT.cleanStatic,360.72149603255093,374.63848256506026,3320427.632011841,True,13
20260834,TEXBAT.cleanStatic.single.07,AWGN_TAP_DOMAIN,-12.673132524825633,0.35,-45.0,TEXBAT.cleanStatic,28.840245556086302,41.513378080911934,285076.25853569055,False,16
20260837,TEXBAT.cleanStatic.single.08,AWGN_TAP_DOMAIN,-15.38384803570807,0.25,-70.0,TEXBAT.cleanStatic,822.6774224909022,838.0612705266103,945364.9978980182,False,19
20260848,TEXBAT.cleanStatic.single.09,AWGN_TAP_DOMAIN,-9.35414663492702,-0.35,-35.0,TEXBAT.cleanStatic,392.4159767529927,401.77012338791974,2429846.154334404,True,30
20260821,TEXBAT.cleanStatic.single.10,AWGN_TAP_DOMAIN,-13.308077256660908,0.3,-20.0,TEXBAT.cleanStatic,597.0405139625072,610.3485912191682,2981648.792843768,True,3
20260831,TEXBAT.cleanStatic.single.11,AWGN_TAP_DOMAIN,-15.503482784610242,-0.125,-15.0,TEXBAT.cleanStatic,299.06237457925454,314.5658573638648,2149504.074516689,True,13
20260834,TEXBAT.cleanStatic.single.12,AWGN_TAP_DOMAIN,-14.168787197675556,-0.35,0.0,TEXBAT.cleanStatic,2665.390222468879,2679.5590096665546,1250894.345167392,False,16
20260837,TEXBAT.cleanStatic.single.13,AWGN_TAP_DOMAIN,-10.048204116843408,-0.3,0.0,TEXBAT.cleanStatic,297.32799683886697,307.3762009557104,3236774.2610527584,True,19
20260848,TEXBAT.cleanStatic.single.14,AWGN_TAP_DOMAIN,-17.711614736821502,0.125,40.0,TEXBAT.cleanStatic,72.22721444396302,89.93882918078452,434132.01013649226,False,30
20260821,TEXBAT.cleanStatic.single.15,AWGN_TAP_DOMAIN,-14.372113852296025,-0.25,65.0,TEXBAT.cleanStatic,569.0017971196212,583.3739109719172,1866971.8668050605,False,3
20260831,TEXBAT.cleanStatic.single.16,AWGN_TAP_DOMAIN,-15.619693843182176,-0.25,30.0,TEXBAT.cleanStatic,349.5102545018308,365.12994834501296,1536535.5641291947,False,13
20260834,TEXBAT.cleanStatic.single.17,AWGN_TAP_DOMAIN,-9.255543887469685,-0.35,-35.0,TEXBAT.cleanStatic,416.7561957834405,426.0117396709102,4140874.8805207247,True,16
20260837,TEXBAT.cleanStatic.single.18,AWGN_TAP_DOMAIN,-12.720481482800096,0.35,-70.0,TEXBAT.cleanStatic,878.5642463797703,891.2847278625704,2059714.9100929415,True,19
20260848,TEXBAT.cleanStatic.single.19,AWGN_TAP_DOMAIN,-10.280739768408239,0.25,45.0,TEXBAT.cleanStatic,466.86879605799913,477.1495358264074,781582.6110680796,True,30
20260821,TEXBAT.cleanStatic.single.20,AWGN_TAP_DOMAIN,-16.767560268286616,-0.35,0.0,TEXBAT.cleanStatic,547.7133085834794,564.480868851766,1286544.1762400873,False,3
20260831,TEXBAT.cleanStatic.single.21,AWGN_TAP_DOMAIN,-10.747819814831018,0.35,-45.0,TEXBAT.cleanStatic,112.16942485840991,122.91724467324093,612850.0768517902,False,13
20260834,TEXBAT.cleanStatic.single.22,AWGN_TAP_DOMAIN,-15.553811135701835,0.3,65.0,TEXBAT.cleanStatic,1457.723193938844,1473.2770050745457,2523005.9013570054,False,16
20260837,TEXBAT.cleanStatic.single.23,AWGN_TAP_DOMAIN,-10.91790235042572,0.0,20.0,TEXBAT.cleanStatic,1010.3825481007807,1021.3004504512064,1672997.5783325091,True,19
20260848,TEXBAT.cleanStatic.single.24,AWGN_TAP_DOMAIN,-15.08825504872948,0.35,-40.0,TEXBAT.cleanStatic,464.0431637968868,479.1314188456163,512593.76704587846,False,30
20260821,TEXBAT.cleanStatic.single.25,AWGN_TAP_DOMAIN,-11.058728604606586,0.35,30.0,TEXBAT.cleanStatic,291.4200874986709,302.4788161032775,5951764.552731584,True,3
20260831,TEXBAT.cleanStatic.single.26,AWGN_TAP_DOMAIN,-15.498141650576144,-0.075,35.0,TEXBAT.cleanStatic,378.81049645040184,394.308638100978,3308636.301244109,True,13
20260834,TEXBAT.cleanStatic.single.27,AWGN_TAP_DOMAIN,-13.060282188933343,0.05,70.0,TEXBAT.cleanStatic,2675.9957963521592,2689.0560785410926,1988217.3281974653,True,16
