case_id,dataset,target_prn,rho_db,requested_delay_chips,requested_doppler_hz,phase_rad,strong_resolvable,execution_status,physics_recovered,target_delta_bic,target_observable,recovered_delay_chips,recovered_doppler_hz,median_nontarget_delta_bic,target_minus_median_nontarget_delta_bic,requested_scer_db,realized_scer_db,scer_error_db,output_interval_rms,clipping_ratio
TEXBAT.cleanStatic.single.12,TEXBAT.cleanStatic,16,-10.0,-0.25,-25.0,0.0,False,PASS,True,2665.390222468879,True,-0.25,-25.0,-20.83186839730479,2686.222090866184,-10.0,-10.00362259411867,-0.003622594118670719,2362.128213966622,0.0
TEXBAT.cleanStatic.single.13,TEXBAT.cleanStatic,19,0.0,0.25,-50.0,1.5707963267948966,True,PASS,False,297.32799683886697,True,0.225,-20.0,-18.44388101855293,315.7718778574199,0.0,-0.0007394202049123219,-0.0007394202049123219,2365.8908112531153,0.0
TEXBAT.cleanStatic.single.14,TEXBAT.cleanStatic,30,-3.0,0.0,0.0,3.141592653589793,False,PASS,True,72.22721444396302,True,0.025,-10.0,592.6081512919627,-520.3809368479997,-3.0,-2.997700036948428,0.002299963051572096,2363.5564664983694,0.0
TEXBAT.cleanStatic.single.15,TEXBAT.cleanStatic,3,-6.0,-0.05,5.0,4.71238898038469,False,PASS,True,569.0017971196212,True,-0.05,-5.0,40.28443383611739,528.7173632835038,-6.0,-5.999515230418378,0.00048476958162169126,2363.2315340048176,0.0
TEXBAT.cleanStatic.single.16,TEXBAT.cleanStatic,13,-10.0,0.05,25.0,0.0,False,PASS,True,349.5102545018308,True,0.05,35.0,-16.886067810468376,366.39632231229916,-10.0,-10.003248020264621,-0.003248020264621232,2362.3967967688513,0.0
TEXBAT.cleanStatic.single.17,TEXBAT.cleanStatic,16,0.0,-0.1,50.0,1.5707963267948966,True,PASS,True,416.7561957834405,True,-0.075,50.0,-21.695967816282064,438.45216359972255,0.0,0.00043026355794264696,0.00043026355794264696,2368.1861395053106,0.0
TEXBAT.cleanStatic.single.18,TEXBAT.cleanStatic,19,-3.0,0.1,-5.0,3.141592653589793,True,PASS,True,878.5642463797703,True,0.125,-15.0,-10.23382621165365,888.798072591424,-3.0,-2.9990145377259756,0.0009854622740244068,2363.67607962673,0.0
TEXBAT.cleanStatic.single.19,TEXBAT.cleanStatic,30,-6.0,-0.25,-25.0,4.71238898038469,True,PASS,True,466.86879605799913,True,-0.25,-35.0,64.81871812674217,402.05007793125696,-6.0,-5.999902520022071,9.74799779287494e-05,2361.71674690016,0.0
TEXBAT.cleanStatic.single.20,TEXBAT.cleanStatic,3,-10.0,0.25,-50.0,0.0,False,PASS,True,547.7133085834794,True,0.25,-40.0,80.17669556266628,467.5366130208131,-10.0,-10.000940347260281,-0.000940347260280916,2362.1581720069025,0.0
TEXBAT.cleanStatic.single.21,TEXBAT.cleanStatic,13,0.0,0.0,0.0,1.5707963267948966,False,PASS,False,112.16942485840991,True,0.175,-65.0,-12.074627773603424,124.24405263201334,0.0,0.00021438295682440212,0.00021438295682440212,2370.870387323037,0.0
TEXBAT.cleanStatic.single.22,TEXBAT.cleanStatic,16,-3.0,-0.05,5.0,3.141592653589793,False,PASS,True,1457.723193938844,True,-0.075,5.0,-21.770861065480858,1479.4940550043248,-3.0,-2.9992941044830284,0.0007058955169716441,2364.815970414897,0.0
TEXBAT.cleanStatic.single.23,TEXBAT.cleanStatic,19,-6.0,0.05,25.0,4.71238898038469,True,PASS,True,1010.3825481007807,True,0.05,35.0,-7.33726586936973,1017.7198139701504,-6.0,-5.998501559793265,0.0014984402067348412,2362.564691275398,0.0
TEXBAT.cleanStatic.single.24,TEXBAT.cleanStatic,30,-10.0,-0.1,50.0,0.0,False,PASS,True,464.0431637968868,True,-0.1,60.0,33.0443438901566,430.9988199067302,-10.0,-9.99830260172974,0.001697398270259498,2361.5530958284207,0.0
TEXBAT.cleanStatic.single.25,TEXBAT.cleanStatic,3,0.0,0.1,-5.0,1.5707963267948966,True,PASS,False,291.4200874986709,True,0.0,-35.0,236.81142220483162,54.608665293839294,0.0,6.523992946871207e-05,6.523992946871207e-05,2368.542765514379,0.0
TEXBAT.cleanStatic.single.26,TEXBAT.cleanStatic,13,-3.0,-0.25,-25.0,3.141592653589793,True,PASS,True,378.81049645040184,True,-0.25,-35.0,-3.2134538118261844,382.023950262228,-3.0,-2.9996795667865266,0.00032043321347341447,2366.165631906923,0.0
TEXBAT.cleanStatic.single.27,TEXBAT.cleanStatic,16,-6.0,0.25,-50.0,4.71238898038469,True,PASS,True,2675.9957963521592,True,0.25,-50.0,-21.67329469998367,2697.669091052143,-6.0,-6.000049857075741,-4.9857075740789014e-05,2363.1469455947413,0.0
