budget,comparison,dof_status,dof_unavailable_count,family_pauc,family_pauc_change,group,label,mean_delta_bic,mean_delta_bic_change,mean_dof_corrected,mean_dof_corrected_change,mean_improvement_per_k,mean_improvement_per_k_change,mean_raw_rss_improvement,mean_raw_rss_improvement_change,mean_rss_h0,mean_rss_h0_change,mean_rss_h1,mean_rss_h1_change,mean_second_amplitude,n,row_type,threshold,threshold_change,worst_fpr,worst_fpr_change
9,,AVAILABLE,0,,,clean_selection,,-3.833883926434873,,2.058581478445928,,0.4293112836194325,,3.8638015525748926,,10.59466633009856,,6.730864777523667,,0.04459419818270294,120,,,,,
9,,AVAILABLE,0,,,clean_calibration,,-6.253660260550217,,2.1110624327484224,,0.2948792650574689,,2.65391338551722,,7.3896242709552356,,4.735710885438017,,0.03744938626386654,140,,,,,
9,,AVAILABLE,0,,,clean_holdout,,-4.978498040279526,,1.845993598117857,,0.365721610628063,,3.2914944956525667,,9.785134989015475,,6.493640493362911,,0.040663937267518845,132,,0.287173160602996,,0.08333333333333333,
9,,AVAILABLE,0,0.9786324786324787,,ds3,,46.952228086429955,,1.0837335680599598,,3.2507619510008117,,29.25685755900731,,144.1223696670553,,114.86551210804795,,0.11515391326981722,415,,,,,
9,,AVAILABLE,0,0.6153846153846154,,ds4,,-5.1603357651155735,,0.919078752982036,,0.355619514803838,,3.2005756332345427,,15.063792194127412,,11.86321656089287,,0.04381401544788836,160,,,,,
9,,AVAILABLE,0,0.7222222222222222,,ds7_ds8,,21.555044915843165,,1.3802784073607046,,1.8398073304126572,,16.558265973713915,,83.5807365067679,,67.02247053305398,,0.09417549165870488,965,,,,,
9,,AVAILABLE,0,,,synthetic_h1,,12060.571392271466,,1276.4526251585787,,670.6740488501695,,6036.066439651525,,6058.77423138865,,22.70779173712457,,0.9209630277546038,320,,,,,
5,K3_to_K5,AVAILABLE,,,,clean_train,CLEAN_DIAGNOSTIC,,-2.5426083607189405,,-20.151955367975653,,-0.2806197516960238,,-0.24965293282748838,,2.1343497996486205,,2.3840027324761093,,180,PAIRED_CHANGE,,-0.4084633171809083,,0.21666666666666667
5,K3_to_K5,AVAILABLE,,,,clean_selection,CLEAN_DIAGNOSTIC,,-2.9395343571910217,,-66.97761647772963,,-0.4623599587275883,,-0.4481159310635291,,2.7031772195578156,,3.1512931506213437,,120,PAIRED_CHANGE,,-0.4084633171809083,,0.21666666666666667
5,K3_to_K5,AVAILABLE,,,,clean_calibration,CLEAN_DIAGNOSTIC,,-2.4661226059534913,,-63.61556264319274,,-0.270939973887839,,-0.21141005544476385,,1.7936717490496206,,2.005081804494384,,140,PAIRED_CHANGE,,-0.4084633171809083,,0.21666666666666667
5,K3_to_K5,AVAILABLE,,,,clean_holdout,CLEAN_DIAGNOSTIC,,-2.5119436976012026,,-75.00145538136682,,-0.33826627835885653,,-0.23432060126861937,,2.6927203645542948,,2.927040965822914,,132,PAIRED_CHANGE,,-0.4084633171809083,,0.21666666666666667
5,K3_to_K5,AVAILABLE,,,-0.010683760683760646,ds3,POST_HOC_DIAGNOSTIC,,-55.43575567455355,,-125.90046829397542,,-10.95688400674323,,-26.696226589744796,,31.802769763045607,,58.4989963527904,,415,PAIRED_CHANGE,,-0.4084633171809083,,0.21666666666666667
5,K3_to_K5,AVAILABLE,,,-0.03205128205128194,ds4,POST_HOC_DIAGNOSTIC,,-4.91445239702674,,-1.0286504379571655,,-0.7917025662483862,,-1.435574950981388,,2.9472531478885484,,4.382828098869937,,160,PAIRED_CHANGE,,-0.4084633171809083,,0.21666666666666667
5,K3_to_K5,AVAILABLE,,,-0.08012820512820518,ds7_ds8,POST_HOC_DIAGNOSTIC,,-24.106382747749777,,-197.49699505107998,,-4.962169181482049,,-11.031540126342906,,27.85290692407828,,38.88444705042119,,965,PAIRED_CHANGE,,-0.4084633171809083,,0.21666666666666667
9,K5_to_K9,AVAILABLE,,,,clean_train,CLEAN_DIAGNOSTIC,,-0.25322679004449977,,0.9803818911812135,,-0.015050301082130978,,1.0489599347819873,,3.622470122012376,,2.573510187230389,,180,PAIRED_CHANGE,,-0.005637262491275774,,-0.21666666666666667
9,K5_to_K9,AVAILABLE,,,,clean_selection,CLEAN_DIAGNOSTIC,,0.6816367199451309,,1.1136762901584953,,-0.040170688940185446,,1.5163916897768028,,4.7597825692217555,,3.2433908794449517,,120,PAIRED_CHANGE,,-0.005637262491275774,,-0.21666666666666667
9,K5_to_K9,AVAILABLE,,,,clean_calibration,CLEAN_DIAGNOSTIC,,-0.05036921966780054,,1.0583281467144396,,-0.005825668051907715,,1.150388719970337,,3.4915962955228954,,2.341207575552558,,140,PAIRED_CHANGE,,-0.005637262491275774,,-0.21666666666666667
9,K5_to_K9,AVAILABLE,,,,clean_holdout,CLEAN_DIAGNOSTIC,,0.3294511626569076,,0.8841054844608124,,-0.024517506275912142,,1.3402989111326913,,4.4879931397062505,,3.1476942285735587,,132,PAIRED_CHANGE,,-0.005637262491275774,,-0.21666666666666667
9,K5_to_K9,AVAILABLE,,,0.0,ds3,POST_HOC_DIAGNOSTIC,,25.290441305981663,,0.6131583036617512,,0.16354923575836397,,13.820793982795067,,65.51012909728692,,51.68933511449184,,415,PAIRED_CHANGE,,-0.005637262491275774,,-0.21666666666666667
9,K5_to_K9,AVAILABLE,,,-0.3205128205128205,ds4,POST_HOC_DIAGNOSTIC,,-0.6476591319582432,,0.504672704439725,,-0.11414685907804731,,0.8517437638251156,,5.576049576802632,,4.724305812977517,,160,PAIRED_CHANGE,,-0.005637262491275774,,-0.21666666666666667
9,K5_to_K9,AVAILABLE,,,-0.005341880341880323,ds7_ds8,POST_HOC_DIAGNOSTIC,,11.490548197303143,,0.7809325264842882,,-0.08767637863896385,,6.920847428455809,,33.723520426722914,,26.802672998267113,,965,PAIRED_CHANGE,,-0.005637262491275774,,-0.21666666666666667
