attack_label,attack_metric,budget,mask,number,selection_role,synthetic_teacher_spearman
NOT_USED_FOR_RANKING,,3,"[93,79,166]",63,SYNTHETIC_VALIDATION_ONLY,0.9293591572778807
NOT_USED_FOR_RANKING,,3,"[93,119,138]",64,SYNTHETIC_VALIDATION_ONLY,0.7360245119744603
NOT_USED_FOR_RANKING,,3,"[93,28,112]",65,SYNTHETIC_VALIDATION_ONLY,0.9485286802127577
NOT_USED_FOR_RANKING,,3,"[93,109,154]",66,SYNTHETIC_VALIDATION_ONLY,0.9104585882108555
NOT_USED_FOR_RANKING,,3,"[93,99,159]",67,SYNTHETIC_VALIDATION_ONLY,0.9735648960537033
NOT_USED_FOR_RANKING,,3,"[93,45,124]",68,SYNTHETIC_VALIDATION_ONLY,0.9778479317338231
NOT_USED_FOR_RANKING,,3,"[93,33,68]",69,SYNTHETIC_VALIDATION_ONLY,0.7469182369308647
NOT_USED_FOR_RANKING,,3,"[93,11,20]",70,SYNTHETIC_VALIDATION_ONLY,0.975223991559659
NOT_USED_FOR_RANKING,,3,"[93,47,132]",71,SYNTHETIC_VALIDATION_ONLY,0.9032870317223435
NOT_USED_FOR_RANKING,,3,"[93,89,126]",72,SYNTHETIC_VALIDATION_ONLY,0.9471450984250892
NOT_USED_FOR_RANKING,,3,"[93,75,153]",73,SYNTHETIC_VALIDATION_ONLY,0.9233869601106429
NOT_USED_FOR_RANKING,,3,"[93,13,176]",74,SYNTHETIC_VALIDATION_ONLY,0.970931116103886
NOT_USED_FOR_RANKING,,3,"[93,69,168]",75,SYNTHETIC_VALIDATION_ONLY,0.867597072120089
NOT_USED_FOR_RANKING,,3,"[93,85,123]",76,SYNTHETIC_VALIDATION_ONLY,0.8763468192925201
NOT_USED_FOR_RANKING,,3,"[93,59,87]",77,SYNTHETIC_VALIDATION_ONLY,0.9397789330403267
NOT_USED_FOR_RANKING,,3,"[93,35,120]",78,SYNTHETIC_VALIDATION_ONLY,0.6972503293591572
NOT_USED_FOR_RANKING,,3,"[93,25,146]",79,SYNTHETIC_VALIDATION_ONLY,0.9424635518310182
NOT_USED_FOR_RANKING,,3,"[93,71,105]",80,SYNTHETIC_VALIDATION_ONLY,0.8267576299260377
NOT_USED_FOR_RANKING,,3,"[93,69,170]",81,SYNTHETIC_VALIDATION_ONLY,0.6463098108029803
NOT_USED_FOR_RANKING,,3,"[93,33,116]",82,SYNTHETIC_VALIDATION_ONLY,0.8003793780168478
NOT_USED_FOR_RANKING,,3,"[93,121,167]",83,SYNTHETIC_VALIDATION_ONLY,0.9278711645374486
NOT_USED_FOR_RANKING,,3,"[93,71,95]",84,SYNTHETIC_VALIDATION_ONLY,0.8940349093374004
NOT_USED_FOR_RANKING,,3,"[93,65,126]",85,SYNTHETIC_VALIDATION_ONLY,0.9573095866747572
NOT_USED_FOR_RANKING,,3,"[93,37,146]",86,SYNTHETIC_VALIDATION_ONLY,0.9723048581159016
NOT_USED_FOR_RANKING,,3,"[93,59,126]",87,SYNTHETIC_VALIDATION_ONLY,0.9404141452241556
NOT_USED_FOR_RANKING,,3,"[93,44,132]",88,SYNTHETIC_VALIDATION_ONLY,0.9453761254243404
NOT_USED_FOR_RANKING,,3,"[93,76,139]",89,SYNTHETIC_VALIDATION_ONLY,0.9140774390343899
NOT_USED_FOR_RANKING,,3,"[93,25,70]",90,SYNTHETIC_VALIDATION_ONLY,0.9541439121854688
NOT_USED_FOR_RANKING,,3,"[93,122,130]",91,SYNTHETIC_VALIDATION_ONLY,0.9645795409198005
NOT_USED_FOR_RANKING,,3,"[93,167,186]",92,SYNTHETIC_VALIDATION_ONLY,0.8311439832505152
NOT_USED_FOR_RANKING,,3,"[93,45,119]",93,SYNTHETIC_VALIDATION_ONLY,0.9696765447081139
NOT_USED_FOR_RANKING,,3,"[93,75,141]",94,SYNTHETIC_VALIDATION_ONLY,0.9368548797087427
NOT_USED_FOR_RANKING,,3,"[93,122,168]",95,SYNTHETIC_VALIDATION_ONLY,0.9127867884612231
NOT_USED_FOR_RANKING,,3,"[93,131,186]",96,SYNTHETIC_VALIDATION_ONLY,0.9073781917772274
NOT_USED_FOR_RANKING,,3,"[93,43,184]",97,SYNTHETIC_VALIDATION_ONLY,0.9423930334388375
NOT_USED_FOR_RANKING,,3,"[93,9,46]",98,SYNTHETIC_VALIDATION_ONLY,0.9433715444621197
NOT_USED_FOR_RANKING,,3,"[93,40,117]",99,SYNTHETIC_VALIDATION_ONLY,0.9695092685220109
NOT_USED_FOR_RANKING,,3,"[93,97,122]",100,SYNTHETIC_VALIDATION_ONLY,0.9182423974066724
NOT_USED_FOR_RANKING,,3,"[93,105,132]",101,SYNTHETIC_VALIDATION_ONLY,0.9294269423990466
NOT_USED_FOR_RANKING,,3,"[93,142,171]",102,SYNTHETIC_VALIDATION_ONLY,0.9391825333049073
NOT_USED_FOR_RANKING,,3,"[93,4,15]",103,SYNTHETIC_VALIDATION_ONLY,0.9656695694004842
NOT_USED_FOR_RANKING,,3,"[93,77,166]",104,SYNTHETIC_VALIDATION_ONLY,0.9254117672783726
NOT_USED_FOR_RANKING,,3,"[93,31,92]",105,SYNTHETIC_VALIDATION_ONLY,0.9347174617752048
NOT_USED_FOR_RANKING,,3,"[93,99,170]",106,SYNTHETIC_VALIDATION_ONLY,0.7996457680764879
NOT_USED_FOR_RANKING,,3,"[93,103,156]",107,SYNTHETIC_VALIDATION_ONLY,0.8460714695704937
NOT_USED_FOR_RANKING,,3,"[93,12,138]",108,SYNTHETIC_VALIDATION_ONLY,0.9664578447611394
NOT_USED_FOR_RANKING,,3,"[93,120,176]",109,SYNTHETIC_VALIDATION_ONLY,0.9261349907888766
NOT_USED_FOR_RANKING,,3,"[93,86,173]",110,SYNTHETIC_VALIDATION_ONLY,0.8422088109724432
NOT_USED_FOR_RANKING,,3,"[93,149,154]",111,SYNTHETIC_VALIDATION_ONLY,0.9379350684137734
NOT_USED_FOR_RANKING,,3,"[93,15,88]",112,SYNTHETIC_VALIDATION_ONLY,0.8895173590042146
NOT_USED_FOR_RANKING,,3,"[93,18,147]",113,SYNTHETIC_VALIDATION_ONLY,0.9668836883852382
NOT_USED_FOR_RANKING,,3,"[93,13,152]",114,SYNTHETIC_VALIDATION_ONLY,0.886156528964473
NOT_USED_FOR_RANKING,,3,"[93,86,183]",115,SYNTHETIC_VALIDATION_ONLY,0.9515795573194266
NOT_USED_FOR_RANKING,,3,"[93,97,139]",116,SYNTHETIC_VALIDATION_ONLY,0.9381067178335002
NOT_USED_FOR_RANKING,,3,"[93,113,180]",117,SYNTHETIC_VALIDATION_ONLY,0.9435989526105473
NOT_USED_FOR_RANKING,,3,"[93,48,144]",118,SYNTHETIC_VALIDATION_ONLY,0.9450082271457543
NOT_USED_FOR_RANKING,,3,"[93,38,134]",119,SYNTHETIC_VALIDATION_ONLY,0.9543592939414314
NOT_USED_FOR_RANKING,,3,"[93,111,155]",120,SYNTHETIC_VALIDATION_ONLY,0.9501265504479831
NOT_USED_FOR_RANKING,,3,"[93,37,98]",121,SYNTHETIC_VALIDATION_ONLY,0.9314845488189536
NOT_USED_FOR_RANKING,,3,"[93,24,127]",122,SYNTHETIC_VALIDATION_ONLY,0.9428647960159842
NOT_USED_FOR_RANKING,,3,"[93,22,121]",123,SYNTHETIC_VALIDATION_ONLY,0.9158972508760134
NOT_USED_FOR_RANKING,,3,"[93,35,126]",124,SYNTHETIC_VALIDATION_ONLY,0.9387299036248641
NOT_USED_FOR_RANKING,,3,"[93,68,169]",125,SYNTHETIC_VALIDATION_ONLY,0.7298385730138687
NOT_USED_FOR_RANKING,,3,"[93,86,101]",126,SYNTHETIC_VALIDATION_ONLY,0.7640662326232295
NOT_USED_FOR_RANKING,,3,"[93,6,47]",127,SYNTHETIC_VALIDATION_ONLY,0.9713307203262432
NOT_USED_FOR_RANKING,,3,"[93,3,17]",128,SYNTHETIC_VALIDATION_ONLY,0.8570351662648759
NOT_USED_FOR_RANKING,,3,"[93,22,45]",129,SYNTHETIC_VALIDATION_ONLY,0.9806867070097469
NOT_USED_FOR_RANKING,,3,"[93,91,167]",130,SYNTHETIC_VALIDATION_ONLY,0.9390628160344611
NOT_USED_FOR_RANKING,,3,"[93,47,170]",131,SYNTHETIC_VALIDATION_ONLY,0.928423285282429
NOT_USED_FOR_RANKING,,3,"[93,53,141]",132,SYNTHETIC_VALIDATION_ONLY,0.9220514838928339
NOT_USED_FOR_RANKING,,3,"[93,89,184]",133,SYNTHETIC_VALIDATION_ONLY,0.9376109024714236
