scenario,phase,second,time_s,channel,prn,raw_start_sample,raw_end_sample,raw_power,prompt_magnitude,method,budget,score
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,epl3,3,5.842287153110857
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,fixed9,9,6.5281952612669505
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,random1_k3,3,3.460138047158347
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,random2_k3,3,1.5822333143767568
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,random3_k3,3,6.367171907464805
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,random4_k3,3,1.7082762316281679
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,random5_k3,3,1.128921071814628
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,random1_k5,5,3.7590677836017163
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,random2_k5,5,1.8009514401241113
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,random3_k5,5,4.013551416126841
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,random4_k5,5,1.7283842625517907
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,random5_k5,5,3.4804007679445115
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,random1_k9,9,3.5658764507381324
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,random2_k9,9,1.5076727021498053
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,random3_k9,9,2.8954356275113042
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,random4_k9,9,2.462480313169828
cleanStatic,train,10,10.01426452,3,20,250106613,250606613,5603739.870012,2348878.239503568,random5_k9,9,1.4323757879648893
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,dense_two_source_glrt,187,0.28750865293319844
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,dense_one_source_residual,187,2.1991360535146622
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,raw_power_only,0,5606705.776121999
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,analytic_sparse_k3,3,1.1127647532732878
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,uniform_k3,3,0.10505180461715745
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,shuffled_k3,3,0.17478302514810243
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,analytic_sparse_k5,5,1.209153410317621
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,uniform_k5,5,0.7152081258220806
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,shuffled_k5,5,1.458885206047066
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,analytic_sparse_k9,9,1.3791377703052072
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,uniform_k9,9,0.26738352149898464
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,shuffled_k9,9,0.31687134873007383
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,ai_sparse_k3,3,0.4993637749173212
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,pg_scc_k3,3,0.21377644524688677
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,ai_sparse_k5,5,0.558947487639195
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,pg_scc_k5,5,0.9278114309831382
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,ai_sparse_k9,9,0.8864951686162628
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,pg_scc_k9,9,1.0107288527768585
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,epl3,3,0.5943069997420306
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,fixed9,9,0.9708035862770714
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,random1_k3,3,2.2460460712188484
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,random2_k3,3,1.7264024097748767
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,random3_k3,3,0.26695393481088653
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,random4_k3,3,1.3729638592904434
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,random5_k3,3,1.7928153265267663
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,random1_k5,5,1.1527856457819363
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,random2_k5,5,0.9875794824326608
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,random3_k5,5,0.23414458303022787
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,random4_k5,5,0.7357953854655753
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,random5_k5,5,0.8681587314414696
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,random1_k9,9,0.33400132175178243
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,random2_k9,9,0.7690906851592904
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,random3_k9,9,0.7942566907830942
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,random4_k9,9,0.6688878309964754
cleanStatic,train,10,10.03956432,4,30,250739108,251239108,5606705.776121999,1863033.1078038332,random5_k9,9,1.3221208640192943
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,dense_two_source_glrt,187,0.11276968291644127
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,dense_one_source_residual,187,0.6894693743201754
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,raw_power_only,0,5602766.648758
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,analytic_sparse_k3,3,0.1279178947429189
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,uniform_k3,3,1.0571230409862453
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,shuffled_k3,3,0.17967895157427294
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,analytic_sparse_k5,5,0.23682458647446233
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,uniform_k5,5,0.516118644662453
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,shuffled_k5,5,0.35280126449470656
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,analytic_sparse_k9,9,0.4785740853759923
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,uniform_k9,9,0.11891626601443939
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,shuffled_k9,9,0.41258728777648834
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,ai_sparse_k3,3,0.2912661630716028
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,pg_scc_k3,3,0.9477613772571706
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,ai_sparse_k5,5,0.5563321837871421
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,pg_scc_k5,5,0.30640272990629824
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,ai_sparse_k9,9,0.4484502030052574
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,pg_scc_k9,9,0.32994915523159324
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,epl3,3,0.5705747273594982
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,fixed9,9,0.6264519339180727
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,random1_k3,3,0.4429068979104424
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,random2_k3,3,0.22639872604155165
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,random3_k3,3,0.916767302719351
cleanStatic,train,10,10.01064496,5,6,250016124,250516124,5602766.648758,4447460.160645285,random4_k3,3,0.07104172946460481
