family,method,budget,negative_events,positive_events,roc_auc,pr_auc,normalized_low_fpr_pauc
ds4,random3_k3,3,12,16,0.96875,0.9829545454545454,0.9679487179487178
ds4,random3_k5,5,12,16,0.9375,0.9615084670231729,0.9038461538461539
ds4,random3_k9,9,12,16,0.984375,0.9901315789473684,0.9679487179487178
ds4,random4_k3,3,12,16,0.90625,0.9303233225108225,0.7435897435897436
ds4,random4_k5,5,12,16,0.9166666666666666,0.9430149537962038,0.7435897435897436
ds4,random4_k9,9,12,16,0.9322916666666666,0.9591894137517707,0.8717948717948718
ds4,random5_k3,3,12,16,0.828125,0.8509154040404041,0.5512820512820513
ds4,random5_k5,5,12,16,0.9270833333333334,0.9630174291938998,0.9038461538461539
ds4,random5_k9,9,12,16,1.0,1.0,1.0
ds4,raw_power_only,0,12,16,0.0,0.38202972943323266,0.48717948717948717
ds4,shuffled_k3,3,12,16,0.9427083333333334,0.974537037037037,0.9679487179487178
ds4,shuffled_k5,5,12,16,0.9635416666666666,0.9790482954545454,0.9358974358974359
ds4,shuffled_k9,9,12,16,0.9322916666666666,0.9537488553113553,0.8397435897435898
ds4,uniform_k3,3,12,16,0.9114583333333334,0.9432402768799828,0.8076923076923077
ds4,uniform_k5,5,12,16,0.9895833333333333,0.9924172794117647,0.9358974358974359
ds4,uniform_k9,9,12,16,0.6614583333333334,0.6942003868795201,0.5192307692307693
ds7_ds8,ai_sparse_k3,3,12,96,0.7039930555555556,0.9571754576624575,0.6848290598290598
ds7_ds8,ai_sparse_k5,5,12,96,0.8081597222222222,0.9729385649850828,0.7596153846153846
ds7_ds8,ai_sparse_k9,9,12,96,0.8715277777777778,0.9832191703318611,0.829059829059829
ds7_ds8,analytic_sparse_k3,3,12,96,0.8072916666666666,0.9735732444793399,0.8076923076923077
ds7_ds8,analytic_sparse_k5,5,12,96,0.8793402777777779,0.9833357861704967,0.7809829059829059
ds7_ds8,analytic_sparse_k9,9,12,96,0.8680555555555556,0.9823731041303267,0.8183760683760684
ds7_ds8,dense_one_source_residual,187,12,96,0.8611111111111112,0.9803280295564093,0.7435897435897436
ds7_ds8,dense_two_source_glrt,187,12,96,0.8758680555555556,0.9837945644142296,0.8344017094017094
ds7_ds8,epl3,3,12,96,0.7552083333333333,0.965910629820136,0.7596153846153846
ds7_ds8,fixed9,9,12,96,0.8394097222222221,0.9786253794285251,0.8344017094017094
ds7_ds8,pg_scc_k3,3,12,96,0.8124999999999999,0.975333682116623,0.8076923076923077
ds7_ds8,pg_scc_k5,5,12,96,0.7404513888888888,0.9637976236759422,0.7275641025641025
ds7_ds8,pg_scc_k9,9,12,96,0.7699652777777779,0.9670160725394413,0.7222222222222222
ds7_ds8,random1_k3,3,12,96,0.7925347222222222,0.9704191197023674,0.7435897435897436
ds7_ds8,random1_k5,5,12,96,0.8168402777777778,0.9752460229907058,0.7916666666666667
ds7_ds8,random1_k9,9,12,96,0.7829861111111112,0.9695703978394739,0.7596153846153846
ds7_ds8,random2_k3,3,12,96,0.7092013888888888,0.959974401666973,0.7382478632478633
ds7_ds8,random2_k5,5,12,96,0.7508680555555556,0.9635236914650727,0.7168803418803419
ds7_ds8,random2_k9,9,12,96,0.9010416666666666,0.9879881979039982,0.9091880341880342
ds7_ds8,random3_k3,3,12,96,0.7934027777777778,0.9712986993326822,0.7649572649572649
ds7_ds8,random3_k5,5,12,96,0.8871527777777778,0.9849444662094651,0.8397435897435898
ds7_ds8,random3_k9,9,12,96,0.826388888888889,0.9754468224502915,0.7596153846153846
ds7_ds8,random4_k3,3,12,96,0.7734375,0.96688517387435,0.7061965811965811
ds7_ds8,random4_k5,5,12,96,0.7621527777777778,0.9626710630922914,0.6794871794871795
ds7_ds8,random4_k9,9,12,96,0.8359374999999999,0.9785054097800137,0.8344017094017094
ds7_ds8,random5_k3,3,12,96,0.8411458333333333,0.977940409769837,0.732905982905983
ds7_ds8,random5_k5,5,12,96,0.7864583333333334,0.9716919278042336,0.813034188034188
ds7_ds8,random5_k9,9,12,96,0.8585069444444444,0.9808363676086111,0.8076923076923077
ds7_ds8,raw_power_only,0,12,96,0.9774305555555556,0.9972229421602399,0.9572649572649572
ds7_ds8,shuffled_k3,3,12,96,0.8758680555555556,0.9839828477132679,0.8504273504273505
ds7_ds8,shuffled_k5,5,12,96,0.7934027777777778,0.9693791439160756,0.6901709401709402
ds7_ds8,shuffled_k9,9,12,96,0.8541666666666667,0.9806333852301421,0.8183760683760684
ds7_ds8,uniform_k3,3,12,96,0.5946180555555556,0.9376500368969456,0.6688034188034189
ds7_ds8,uniform_k5,5,12,96,0.7265625,0.9611296536448686,0.7061965811965811
ds7_ds8,uniform_k9,9,12,96,0.7300347222222222,0.9591838870638367,0.6848290598290598
