scenario,family,method,budget,roc_auc,pr_auc,normalized_low_fpr_pauc,events,alarms,detection_rate,first_alarm_delay_s,persistent_alarm_ratio,external_pre_events,external_pre_alarms,external_pre_fpr,clean_holdout_events,clean_holdout_alarms,clean_holdout_fpr,clean_holdout_fpr_ci95,claim_scope
ds7,ds7_ds8,fixed9,9,0.8368055555555556,0.9605016587568616,0.8504273504273505,48,29,0.6041666666666666,3.0009962719999805,0.6041666666666666,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds7,ds7_ds8,pg_scc_k3,3,0.798611111111111,0.9498821538887122,0.7756410256410255,48,22,0.4583333333333333,7.996497087999998,0.4583333333333333,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds7,ds7_ds8,pg_scc_k5,5,0.7048611111111112,0.9226735486582223,0.6901709401709402,48,22,0.4583333333333333,7.996497087999998,0.4583333333333333,10,0,0.0,12,1,0.08333333333333333,"[0.0021075932318602286, 0.38479616515094406]",transition_and_established
ds7,ds7_ds8,pg_scc_k9,9,0.75,0.9320610978160966,0.7008547008547008,48,20,0.4166666666666667,7.996497087999998,0.4166666666666667,10,0,0.0,12,1,0.08333333333333333,"[0.0021075932318602286, 0.38479616515094406]",transition_and_established
ds7,ds7_ds8,random1_k3,3,0.7743055555555557,0.9373964630064126,0.7115384615384616,48,21,0.4375,7.996497087999998,0.4375,10,0,0.0,12,1,0.08333333333333333,"[0.0021075932318602286, 0.38479616515094406]",transition_and_established
ds7,ds7_ds8,random1_k5,5,0.7725694444444445,0.9417316323386425,0.7649572649572649,48,24,0.5,7.996497087999998,0.5,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds7,ds7_ds8,random1_k9,9,0.767361111111111,0.9378491489667657,0.7435897435897436,48,18,0.375,7.996497087999998,0.375,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds7,ds7_ds8,random2_k3,3,0.703125,0.9226155931130136,0.7008547008547008,48,18,0.375,3.0009962719999805,0.375,10,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds7,ds7_ds8,random2_k5,5,0.7291666666666667,0.9251112892818207,0.7008547008547008,48,25,0.5208333333333334,0.012295756000000324,0.5208333333333334,10,0,0.0,12,3,0.25,"[0.05486064452799274, 0.5718584618781891]",transition_and_established
ds7,ds7_ds8,random2_k9,9,0.9166666666666667,0.9814284734034557,0.9038461538461539,48,21,0.4375,0.012295756000000324,0.4375,10,1,0.1,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
