scenario,model,operating_point,threshold,epoch_count,alarm_comparison,clean_test_fpr,roc_auc,pr_auc,stable_pre_fpr,post_detection_rate,persistent_detection_rate,persistent_alarm_ratio,first_alarm_delay_s,first_sustained_alarm_delay_s,pre_onset_alarm,tracked_prn_count_median,tracked_prn_count_min,tracked_prn_count_max,diagnostic_only
DS3,complex fixed K5,matched_clean_fpr_diagnostic,-0.4323939835258368,902,strict_greater,,0.9756424581005586,0.996789219166141,0.02,0.9343575418994413,0.9937106918238994,0.9937106918238994,18.5,20.0,True,11.0,9,12,True
DS3,complex fixed K7,matched_clean_fpr_diagnostic,-0.3759186258604709,902,strict_greater,,0.975782122905028,0.9968106230163285,0.02,0.9162011173184358,0.9811320754716981,0.9811320754716981,2.5,22.5,True,11.0,9,12,True
DS3,complex random K5 seed11,matched_clean_fpr_diagnostic,-0.36121344211751794,902,strict_greater,,0.9723743016759776,0.9963083244889744,0.06,0.9287709497206704,0.9937106918238994,0.9937106918238994,7.5,22.5,True,11.0,9,12,True
DS3,complex random K5 seed23,matched_clean_fpr_diagnostic,-0.39317544182811687,902,strict_greater,,0.9740083798882682,0.9965484621729366,0.05,0.9427374301675978,1.0,1.0,2.5,22.5,True,11.0,9,12,True
DS3,complex random K5 seed37,matched_clean_fpr_diagnostic,-0.3866168234738952,902,strict_greater,,0.9747765363128491,0.9966919524320296,0.03,0.9343575418994413,0.9952830188679245,0.9952830188679245,7.5,22.5,True,11.0,9,12,True
DS3,complex random K7 seed11,matched_clean_fpr_diagnostic,-0.3447372818503796,902,strict_greater,,0.9760754189944134,0.9968671962433656,0.0,0.909217877094972,0.9795597484276729,0.9795597484276729,9.5,22.5,True,11.0,9,12,True
DS3,complex random K7 seed23,matched_clean_fpr_diagnostic,-0.3853745166275971,902,strict_greater,,0.9744553072625698,0.996603155753221,0.05,0.9385474860335196,0.9952830188679245,0.9952830188679245,2.5,10.0,True,11.0,9,12,True
DS3,complex random K7 seed37,matched_clean_fpr_diagnostic,-0.33896503084097634,902,strict_greater,,0.9725977653631285,0.9963179043546732,0.03,0.9287709497206704,0.9937106918238994,0.9937106918238994,2.5,22.5,True,11.0,9,12,True
DS3,magnitude all9,matched_clean_fpr_diagnostic,-0.07253682470136491,902,strict_greater,,0.6482402234636871,0.9391163537005575,0.04,0.30446927374301674,0.33647798742138363,0.33647798742138363,5.0,64.0,True,11.0,9,12,True
DS3,phase all9,matched_clean_fpr_diagnostic,-0.3997493525168968,902,strict_greater,,0.8694553072625698,0.9786489899058398,0.06,0.590782122905028,0.6462264150943396,0.6462264150943396,2.5,56.0,True,11.0,9,12,True
DS7,B0-Exact,matched_clean_fpr_diagnostic,1.4326209677940234,528,strict_greater,,0.8899068322981366,0.9577437013860238,0.14166666666666666,0.6894409937888198,0.8636363636363636,0.8636363636363636,18.5,22.5,True,3.0,1,10,True
DS7,complex K3,matched_clean_fpr_diagnostic,-0.5010720862470395,528,strict_greater,,0.6469979296066253,0.8627911526193247,0.03333333333333333,0.2732919254658385,0.34297520661157027,0.34297520661157027,4.0,119.5,True,10.0,10,11,True
DS7,complex adaptive K5,matched_clean_fpr_diagnostic,-0.4030021545718566,528,strict_greater,,0.7107919254658385,0.8909083911650569,0.016666666666666666,0.30124223602484473,0.371900826446281,0.371900826446281,4.0,112.0,True,10.0,10,11,True
DS7,complex adaptive K7,matched_clean_fpr_diagnostic,-0.3598863839709283,528,strict_greater,,0.7549689440993789,0.9115706509934762,0.008333333333333333,0.38198757763975155,0.47520661157024796,0.47520661157024796,4.0,107.5,True,10.0,10,11,True
DS7,complex all9,matched_clean_fpr_diagnostic,-0.3161939669534101,528,strict_greater,,0.8130175983436853,0.9341365738611498,0.025,0.5,0.628099173553719,0.628099173553719,4.0,61.0,True,10.0,10,11,True
DS7,complex fixed K5,matched_clean_fpr_diagnostic,-0.4323939835258368,528,strict_greater,,0.7302277432712215,0.9009820384076609,0.025,0.37888198757763975,0.47107438016528924,0.47107438016528924,3.5,105.0,True,10.0,10,11,True
DS7,complex fixed K7,matched_clean_fpr_diagnostic,-0.3759186258604709,528,strict_greater,,0.7907867494824017,0.9244038017084758,0.025,0.4658385093167702,0.5909090909090909,0.5909090909090909,3.5,90.5,True,10.0,10,11,True
DS7,complex random K5 seed11,matched_clean_fpr_diagnostic,-0.36121344211751794,528,strict_greater,,0.7756211180124224,0.916516482030624,0.05,0.484472049689441,0.5785123966942148,0.5785123966942148,4.0,83.0,True,10.0,10,11,True
DS7,complex random K5 seed23,matched_clean_fpr_diagnostic,-0.39317544182811687,528,strict_greater,,0.7790113871635611,0.919107769648666,0.041666666666666664,0.484472049689441,0.5826446280991735,0.5826446280991735,4.0,82.5,True,10.0,10,11,True
DS7,complex random K5 seed37,matched_clean_fpr_diagnostic,-0.3866168234738952,528,strict_greater,,0.7776915113871635,0.9191735800142926,0.025,0.45652173913043476,0.5619834710743802,0.5619834710743802,4.0,101.0,True,10.0,10,11,True
DS7,complex random K7 seed11,matched_clean_fpr_diagnostic,-0.3447372818503796,528,strict_greater,,0.7854037267080746,0.9227246697747808,0.016666666666666666,0.4503105590062112,0.5619834710743802,0.5619834710743802,4.0,100.5,True,10.0,10,11,True
DS7,complex random K7 seed23,matched_clean_fpr_diagnostic,-0.3853745166275971,528,strict_greater,,0.7895445134575569,0.9239054693939636,0.05,0.5031055900621118,0.6115702479338843,0.6115702479338843,4.0,76.0,True,10.0,10,11,True
DS7,complex random K7 seed37,matched_clean_fpr_diagnostic,-0.33896503084097634,528,strict_greater,,0.8073757763975156,0.929981646824174,0.041666666666666664,0.5217391304347826,0.6198347107438017,0.6198347107438017,3.5,76.0,True,10.0,10,11,True
DS7,magnitude all9,matched_clean_fpr_diagnostic,-0.07253682470136491,528,strict_greater,,0.8190734989648033,0.9338301479918566,0.1,0.5962732919254659,0.7272727272727273,0.7272727272727273,6.0,73.5,True,10.0,10,11,True
DS7,phase all9,matched_clean_fpr_diagnostic,-0.3997493525168968,528,strict_greater,,0.8183747412008282,0.929574316665832,0.06666666666666667,0.531055900621118,0.6198347107438017,0.6198347107438017,2.5,11.5,True,10.0,10,11,True
DS8,B0-Exact,matched_clean_fpr_diagnostic,1.4326209677940234,926,strict_greater,,0.9815162037037037,0.997135247898435,0.0,0.9361111111111111,0.9765625,0.9765625,16.0,16.0,False,9.0,8,10,True
DS8,complex K3,matched_clean_fpr_diagnostic,-0.5010720862470395,926,strict_greater,,0.7389467592592592,0.9529710686627044,0.03333333333333333,0.4791666666666667,0.525,0.525,4.0,112.5,True,11.0,9,11,True
DS8,complex adaptive K5,matched_clean_fpr_diagnostic,-0.4030021545718566,926,strict_greater,,0.799675925925926,0.9650679496840657,0.025,0.5027777777777778,0.5546875,0.5546875,7.0,112.0,True,11.0,9,11,True
DS8,complex adaptive K7,matched_clean_fpr_diagnostic,-0.3598863839709283,926,strict_greater,,0.8514583333333333,0.974657964516548,0.008333333333333333,0.5527777777777778,0.615625,0.615625,8.5,100.5,True,11.0,9,11,True
DS8,complex all9,matched_clean_fpr_diagnostic,-0.3161939669534101,926,strict_greater,,0.9373032407407408,0.9900181583669022,0.008333333333333333,0.8041666666666667,0.8828125,0.8828125,4.0,64.0,True,11.0,9,11,True
DS8,complex fixed K5,matched_clean_fpr_diagnostic,-0.4323939835258368,926,strict_greater,,0.8167476851851851,0.9683147697538437,0.025,0.5402777777777777,0.6015625,0.6015625,10.5,98.5,True,11.0,9,11,True
DS8,complex fixed K7,matched_clean_fpr_diagnostic,-0.3759186258604709,926,strict_greater,,0.9171527777777778,0.9865822757970164,0.016666666666666666,0.7652777777777777,0.8515625,0.8515625,10.5,83.0,True,11.0,9,11,True
DS8,complex random K5 seed11,matched_clean_fpr_diagnostic,-0.36121344211751794,926,strict_greater,,0.9185069444444445,0.9868607475068862,0.025,0.7902777777777777,0.865625,0.865625,8.5,38.5,True,11.0,9,11,True
DS8,complex random K5 seed23,matched_clean_fpr_diagnostic,-0.39317544182811687,926,strict_greater,,0.9181018518518519,0.9866096195522442,0.058333333333333334,0.7805555555555556,0.8625,0.8625,8.5,57.5,True,11.0,9,11,True
DS8,complex random K5 seed37,matched_clean_fpr_diagnostic,-0.3866168234738952,926,strict_greater,,0.9179050925925926,0.9867661314079409,0.03333333333333333,0.7722222222222223,0.8546875,0.8546875,8.5,82.5,True,11.0,9,11,True
DS8,complex random K7 seed11,matched_clean_fpr_diagnostic,-0.3447372818503796,926,strict_greater,,0.9184490740740741,0.9868991266018965,0.0,0.7625,0.8453125,0.8453125,8.5,64.0,False,11.0,9,11,True
DS8,complex random K7 seed23,matched_clean_fpr_diagnostic,-0.3853745166275971,926,strict_greater,,0.923125,0.9874933492766007,0.058333333333333334,0.7930555555555555,0.8765625,0.8765625,8.5,57.5,True,11.0,9,11,True
DS8,complex random K7 seed37,matched_clean_fpr_diagnostic,-0.33896503084097634,926,strict_greater,,0.9286689814814815,0.9885026745727078,0.041666666666666664,0.8125,0.8875,0.8875,9.0,11.5,True,11.0,9,11,True
DS8,magnitude all9,matched_clean_fpr_diagnostic,-0.07253682470136491,926,strict_greater,,0.9174305555555555,0.9864968785435603,0.11666666666666667,0.8152777777777778,0.8984375,0.8984375,6.0,44.5,True,11.0,9,11,True
DS8,phase all9,matched_clean_fpr_diagnostic,-0.3997493525168968,926,strict_greater,,0.921886574074074,0.9870101159588653,0.06666666666666667,0.7944444444444444,0.8671875,0.8671875,0.5,11.5,True,11.0,9,11,True
