scenario,budget,adaptive_model,competitor,adaptive_roc_auc,competitor_roc_auc,delta_roc_auc,adaptive_pr_auc,competitor_pr_auc,delta_pr_auc,adaptive_post_detection_rate,competitor_post_detection_rate,delta_post_detection_rate,adaptive_stable_pre_fpr,competitor_stable_pre_fpr
DS3,7,complex adaptive K7,complex random K7 seed23,0.974972067039106,0.9744553072625698,0.000516759776536202,0.9967103432018096,0.996603155753221,0.00010718744858861928,0.9008379888268156,0.920391061452514,-0.019553072625698387,0.0,0.03
DS3,7,complex adaptive K7,complex random K7 seed37,0.974972067039106,0.9725977653631284,0.0023743016759776303,0.9967103432018096,0.9963179043546732,0.00039243884713646704,0.9008379888268156,0.9287709497206704,-0.027932960893854775,0.0,0.03
DS7,7,complex adaptive K7,complex fixed K7,0.7549689440993789,0.7907867494824017,-0.035817805383022816,0.9115706509934762,0.9244038017084758,-0.012833150714999575,0.3695652173913043,0.4782608695652174,-0.10869565217391308,0.0083333333333333,0.0333333333333333
DS7,7,complex adaptive K7,complex random K7 seed11,0.7549689440993789,0.7854037267080746,-0.0304347826086957,0.9115706509934762,0.9227246697747808,-0.01115401878130462,0.3695652173913043,0.4503105590062112,-0.08074534161490687,0.0083333333333333,0.0166666666666666
DS7,7,complex adaptive K7,complex random K7 seed23,0.7549689440993789,0.7895445134575569,-0.03457556935817807,0.9115706509934762,0.9239054693939636,-0.012334818400487335,0.3695652173913043,0.4720496894409938,-0.10248447204968947,0.0083333333333333,0.0166666666666666
DS7,7,complex adaptive K7,complex random K7 seed37,0.7549689440993789,0.8073757763975156,-0.052406832298136696,0.9115706509934762,0.929981646824174,-0.01841099583069772,0.3695652173913043,0.5403726708074534,-0.1708074534161491,0.0083333333333333,0.0416666666666666
DS8,7,complex adaptive K7,complex fixed K7,0.8514583333333333,0.9171527777777778,-0.0656944444444445,0.974657964516548,0.9865822757970164,-0.011924311280468447,0.5444444444444444,0.7763888888888889,-0.2319444444444445,0.0083333333333333,0.05
DS8,7,complex adaptive K7,complex random K7 seed11,0.8514583333333333,0.918449074074074,-0.06699074074074063,0.974657964516548,0.9868991266018964,-0.012241162085348423,0.5444444444444444,0.7652777777777777,-0.22083333333333333,0.0083333333333333,0.0083333333333333
DS8,7,complex adaptive K7,complex random K7 seed23,0.8514583333333333,0.923125,-0.07166666666666666,0.974657964516548,0.9874933492766008,-0.01283538476005286,0.5444444444444444,0.7638888888888888,-0.21944444444444444,0.0083333333333333,0.0166666666666666
DS8,7,complex adaptive K7,complex random K7 seed37,0.8514583333333333,0.9286689814814816,-0.07721064814814826,0.974657964516548,0.9885026745727078,-0.013844710056159837,0.5444444444444444,0.8166666666666667,-0.27222222222222225,0.0083333333333333,0.05
