scenario,model,operating_point,threshold,epoch_count,alarm_comparison,clean_test_fpr,stable_pre_fpr,roc_auc,pr_auc,post_detection_rate,persistent_detection_rate,persistent_alarm_ratio,first_alarm_delay_s,first_sustained_alarm_delay_s,tracked_prn_count_median,tracked_prn_count_min,tracked_prn_count_max,pre_onset_alarm
DS1,complex random K5 seed37,q995,-0.34556454640371054,910,strict_greater,,0.02,0.9568922651933701,0.9943185935205983,0.8825966850828729,0.9503105590062112,0.9503105590062112,26.0,26.0,10.0,7,11,True
DS1,complex random K7 seed11,q99,-0.3479183784859982,910,strict_greater,,0.02,0.9575,0.9944292934424616,0.8895027624309392,0.9580745341614907,0.9580745341614907,26.0,26.0,10.0,7,11,True
DS1,complex random K7 seed11,q995,-0.34556454640371054,910,strict_greater,,0.01,0.9575,0.9944292934424616,0.8867403314917127,0.9549689440993789,0.9549689440993789,26.0,26.0,10.0,7,11,True
DS1,complex random K7 seed23,q99,-0.34556454640371054,910,strict_greater,,0.04,0.9511602209944752,0.9932642139278908,0.8922651933701657,0.9580745341614907,0.9580745341614907,26.0,26.0,10.0,7,11,True
DS1,complex random K7 seed23,q995,-0.27144266795263866,910,strict_greater,,0.03,0.9511602209944752,0.9932642139278908,0.7817679558011049,0.8416149068322981,0.8416149068322981,26.0,26.0,10.0,7,11,True
DS1,complex random K7 seed37,q99,-0.34556454640371054,910,strict_greater,,0.09,0.9336740331491713,0.9901897977125527,0.9046961325966851,0.9720496894409938,0.9720496894409938,3.0,26.0,10.0,7,11,True
DS1,complex random K7 seed37,q995,-0.2549215051117632,910,strict_greater,,0.07,0.9336740331491713,0.9901897977125527,0.7803867403314917,0.843167701863354,0.843167701863354,26.0,26.0,10.0,7,11,True
DS1,magnitude all9,q99,0.22827645160655868,910,strict_greater,,0.0,0.4838121546961326,0.8797400733215848,0.015193370165745856,0.015527950310559006,0.015527950310559006,6.5,,10.0,7,11,False
DS1,magnitude all9,q995,0.24459215379641341,910,strict_greater,,0.0,0.4838121546961326,0.8797400733215848,0.011049723756906077,0.010869565217391304,0.010869565217391304,6.5,,10.0,7,11,False
DS1,phase all9,q99,0.6088638328956528,910,strict_greater,,0.02,0.8023895027624309,0.9623894640349075,0.09668508287292818,0.10714285714285714,0.10714285714285714,5.0,,10.0,7,11,True
DS1,phase all9,q995,0.6248404374588015,910,strict_greater,,0.02,0.8023895027624309,0.9623894640349075,0.09668508287292818,0.10714285714285714,0.10714285714285714,5.0,,10.0,7,11,True
DS2,B0-Exact,q99,1.9453127765750735,901,strict_greater,,0.0,0.9898461538461538,0.9986493380127921,0.9706293706293706,1.0,1.0,11.0,11.0,9.0,7,10,False
DS2,B0-Exact,q995,1.9880378324299022,901,strict_greater,,0.0,0.9898461538461538,0.9986493380127921,0.9706293706293706,1.0,1.0,11.0,11.0,9.0,7,10,False
DS2,complex K3,q99,-0.47994853752557864,901,strict_greater,,0.02,0.9865454545454545,0.9982509415308451,0.9678321678321679,0.9968503937007874,0.9968503937007874,10.5,10.5,11.0,8,11,True
