cleanDynamic,TOPI,2.791986415450573,strict >,0.6706586826347305,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,NC_TOPI_original,2.531660717784112,strict >,1.0,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,IQ_LOW_ONLY,0.11085109296053891,strict >,1.0,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,IQ_OOD_ONLY,4.304679155243729,strict >,1.0,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,NC_TOPI_clamped,2.531660717784112,strict >,0.8083832335329342,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,NC_B0_clamped,1.5045246129176055,strict >,0.7844311377245509,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,NC_total_clamped,2.3309088147507384,strict >,0.8622754491017964,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
DS2,NC_total_clamped,2.3309088147507384,strict >,0.0,,0.9932671145604077,,0.999135386263162,,0.9880081500028217,,0.9747191011235955,,11.706335080000002,,1.0,
DS3,B0,0.1077117757998523,strict >,0.010309278350515464,,0.9826734817638396,,0.997802575733842,,0.9779420094762727,,0.9551820728291317,,21.212935959999996,,1.0,
DS3,TOPI,2.791986415450573,strict >,0.0,,0.9865719483669756,,0.9982744255857098,,0.977645829677364,,0.9495798319327731,,21.212935959999996,,1.0,
DS3,NC_TOPI_original,2.531660717784112,strict >,0.0,,0.9865719483669756,,0.9982744255857098,,0.977645829677364,,0.9453781512605042,,21.712935959999996,,1.0,
DS3,IQ_LOW_ONLY,0.11085109296053891,strict >,0.0,,0.9698374195038841,,0.9962325316400626,,0.977016447604683,,0.0,,,censored: no 3-consecutive 0.5s alarm,0.0,
DS3,IQ_OOD_ONLY,4.304679155243729,strict >,1.0,,0.5,,0.8803945745992602,,0.5,,1.0,,2.712935959999996,,1.0,
DS3,NC_TOPI_clamped,2.531660717784112,strict >,0.0,,0.9865719483669756,,0.9982744255857098,,0.977645829677364,,0.9453781512605042,,21.712935959999996,,1.0,
DS3,NC_B0_clamped,1.5045246129176055,strict >,0.0,,0.9826734817638396,,0.997802575733842,,0.9779420094762727,,0.9495798319327731,,21.212935959999996,,1.0,
DS3,NC_total_clamped,2.3309088147507384,strict >,0.0,,0.9851425106124924,,0.9980777914386372,,0.9780086499310272,,0.9481792717086834,,21.212935959999996,,1.0,
DS7,B0,0.1077117757998523,strict >,0.0,,0.9126008091525333,,0.9708180568622147,,0.8591368352641562,,0.6614420062695925,,18.123601440000016,,0.8158995815899581,
DS7,TOPI,2.791986415450573,strict >,0.008547008547008548,,0.9260509605337192,,0.9745271885004794,,0.8422090729783037,,0.5705329153605015,,27.623601439999987,,0.7280334728033473,
DS7,NC_TOPI_original,2.531660717784112,strict >,0.0,,0.981459153872947,,0.994329994049002,,0.972973288623156,,0.8871473354231975,,15.623601440000002,,0.9539748953974896,
DS7,IQ_LOW_ONLY,0.11085109296053891,strict >,0.0,,0.9833346729898456,,0.9949310130791102,,0.9814921300332442,,0.9341692789968652,,11.123601440000002,,0.9832635983263598,
DS7,IQ_OOD_ONLY,4.304679155243729,strict >,0.38461538461538464,,0.7808321946252982,,0.8661455322964655,,0.5187364359778153,,0.9467084639498433,,2.6236014400000016,,0.9832635983263598,
DS7,NC_TOPI_clamped,2.531660717784112,strict >,0.0,,0.9764220453875626,,0.992404549817334,,0.9399009478585075,,0.6520376175548589,,27.123601439999987,,0.7949790794979079,
DS7,NC_B0_clamped,1.5045246129176055,strict >,0.0,,0.9576132679580955,,0.9861485419732908,,0.9114315294686648,,0.7178683385579937,,18.123601440000016,,0.8577405857740585,
DS7,NC_total_clamped,2.3309088147507384,strict >,0.0,,0.9873268493958148,,0.9957531687310115,,0.9577905148196926,,0.7084639498432602,,27.623601439999987,,0.8619246861924686,
DS8,B0,0.1077117757998523,strict >,0.008547008547008548,,0.9713949003642597,,0.9956082729356794,,0.9466765804884509,,0.8649025069637883,,18.18254872,,0.9467084639498433,
DS8,TOPI,2.791986415450573,strict >,0.0,,0.9714306120991356,,0.9956010360873634,,0.946102750902408,,0.8189415041782729,,77.68254872,,0.9106583072100314,
DS8,NC_TOPI_original,2.531660717784112,strict >,0.0,,0.9901911768207031,,0.9985632704267302,,0.9910629094258836,,0.9693593314763231,,14.68254872,,1.0,
DS8,IQ_LOW_ONLY,0.11085109296053891,strict >,0.0,,0.9935718877223055,,0.9990451730827621,,0.9920213269259766,,0.9805013927576601,,9.68254872,,1.0,
DS8,IQ_OOD_ONLY,4.304679155243729,strict >,0.38461538461538464,,0.7995857438754373,,0.9394943294679986,,0.5200485679594314,,0.9860724233983287,,2.6825487199999998,,1.0,
DS8,NC_TOPI_clamped,2.531660717784112,strict >,0.0,,0.9885008213699022,,0.9982904349507792,,0.9822784331033743,,0.8788300835654597,,21.18254872,,0.9529780564263323,
DS8,NC_B0_clamped,1.5045246129176055,strict >,0.0,,0.9831916767849915,,0.9974721093817805,,0.9734939567808648,,0.8871866295264624,,18.18254872,,0.9592476489028213,
DS8,NC_total_clamped,2.3309088147507384,strict >,0.0,,0.9935242720758042,,0.9990180331906141,,0.9882548071963114,,0.8955431754874652,,22.18254872,,0.9623824451410659,
