scenario,phase,role,time_s,score,power_only,prompt_magnitude,epl_3point_complex,fixed_9_delay_tap_complex,dense_one_source_residual,dense_two_source_score,selected_delay_chips,selected_doppler_hz,beta_alpha_ratio,grid_boundary,prn_count,dominant_fraction
cleanStatic,all,holdout,11.0,2.1243342714020117,0.3119698228430775,0.4819781218192903,3.8110826094990213,1.9610604684212611,3.553103210139834,2.1243342714020117,-0.5,200.0,6.875525166800668e-08,0,3,0.9364301480958915
cleanStatic,all,holdout,12.0,0.673626954598613,-2.834849305556289,0.361692180832954,1.8129285085063567,1.2528854026989449,1.4453143082496263,0.673626954598613,-0.625,-50.0,4.190298283042771e-08,0,3,0.7736076562572207
ds3,pre_onset,external_evaluation,1.0,0.30398126974036843,-246.0533550387733,-1.9907725765885886,-0.7287235824821683,0.25585215680931267,0.20122128421393964,0.30398126974036843,1.0,250.0,2.409577248236232e-08,1,3,0.5458699262567525
ds3,pre_onset,external_evaluation,24.0,0.06133932379436626,-246.34162634526328,-2.0125189685552174,-0.33846567353296986,0.10147790104464977,-0.12871062458261034,0.06133932379436626,-0.625,-250.0,1.6432954285826723e-08,1,3,0.6354970971976458
ds3,pre_onset,external_evaluation,47.0,0.4833288532792945,-246.28999811726433,-2.0786580284644316,1.286643396321513,0.9101136317073549,0.6539781400827842,0.4833288532792945,-1.0,-100.0,2.8177643272553747e-08,1,3,0.6497182226038517
ds3,pre_onset,external_evaluation,71.0,-0.12182198366251605,-246.57077484715043,-2.0851602756367176,-0.31287922151184194,0.12557509652699456,0.05130382965597424,-0.12182198366251605,-0.75,0.0,2.0035825497442388e-08,0,3,0.5015149150764165
ds3,pre_onset,external_evaluation,94.0,0.22108017113377082,-246.29815742650942,-2.065595997170803,1.0249685762724337,0.7852285797087872,0.458566615923948,0.22108017113377082,-0.625,-50.0,2.9391986581887066e-08,0,3,0.7470190861664104
ds3,pre_onset,external_evaluation,118.0,0.5657453408498172,-246.15583812724788,-2.1193452044701475,1.2350730748148844,1.5407757679743774,0.9568374221896447,0.5657453408498172,-1.0,150.0,2.7912036947298623e-08,1,3,0.5952329358067964
ds3,transition,external_evaluation,119.0,0.5425386100364913,-246.01115547678276,-2.077692908373891,0.7284977757747304,1.110081405094224,0.6333051192357726,0.5425386100364913,-1.0,-100.0,3.2679377142227435e-08,1,3,0.6295416704909859
ds3,transition,external_evaluation,134.0,2.460057682023547,-233.6741412704028,-0.8694269601079039,5.071332927675462,4.246246304438286,5.843627530442535,2.460057682023547,1.0,50.0,6.700591379028032e-08,1,3,0.37665953848391504
ds3,transition,external_evaluation,149.0,1.7699469154895984,-234.56929738892438,-0.7241043617898173,3.9848672514800416,4.157182517358845,5.218976821046331,1.7699469154895984,1.0,0.0,6.939858249842748e-08,1,3,0.6214010760995268
ds3,transition,external_evaluation,164.0,11.53672690611563,-235.33328536513565,-0.3125562366026218,9.408348765058616,9.677657588972377,26.094897970150384,11.53672690611563,-0.625,0.0,1.0369794050521292e-07,0,3,0.8472313872954318
ds3,transition,external_evaluation,179.0,197.0000667449688,-235.69889158647544,-1.3933591550594326,52.345131559872115,33.80507609438308,314.4205238079609,197.0000667449688,-0.5,0.0,2.921845040946124e-07,0,3,0.837095055014889
ds3,transition,external_evaluation,194.0,428.6774520252525,-234.79904696209144,-1.9062992776523817,84.53642747059361,41.88812455083785,604.5769011786618,428.6774520252525,-0.625,0.0,1.8765567074061572e-07,0,3,0.7979809390381882
ds3,established,external_evaluation,195.0,353.3103710352652,-234.8813881482141,-1.8227948260506173,77.34927542257296,38.99859573537023,501.6712830276908,353.3103710352652,-0.625,0.0,1.9602713099880056e-07,0,3,0.7779145999777664
ds3,established,external_evaluation,247.0,14.162660840642964,-235.3144229280091,-1.8812108692374638,6.830567710405372,5.846706920217361,40.91821132156893,14.162660840642964,1.0,50.0,1.1899012699202817e-07,1,3,0.4625049691636593
ds3,established,external_evaluation,299.0,2.996517264048999,-235.47366962651637,-1.9395646121107335,3.677129301339186,4.828456487999979,8.31388841998265,2.996517264048999,1.0,-50.0,7.58109494784536e-08,1,3,0.5942602831214302
ds3,established,external_evaluation,352.0,3.645289968179731,-234.3553864822652,-1.936270293647199,3.882349224645128,4.802114047243777,9.210396896382875,3.645289968179731,0.75,250.0,5.96845304851436e-08,1,3,0.4550718819377862
ds3,established,external_evaluation,404.0,3.2611007496831292,-236.18491670832404,-1.9397877973813356,4.307191887514707,4.646486718898469,8.702173847092297,3.2611007496831292,-1.0,100.0,5.427044986085246e-08,1,3,0.44397757920613634
ds3,established,external_evaluation,457.0,3.004014357275946,-236.1427202491044,-1.8632610916011956,4.727296160335781,5.238928906271097,10.835028992793255,3.004014357275946,-0.5,0.0,4.9530895919533037e-08,0,3,0.6343873710102119
ds4,pre_onset,external_evaluation,1.0,200.17577238859639,-246.69010676289173,-2.2914476895335936,-0.22565841230780886,0.17114474388397224,211.02144508311534,200.17577238859639,0.875,-250.0,4.3672282756170365e-07,1,3,0.9979578364566666
ds4,pre_onset,external_evaluation,23.0,0.19704756828185424,-246.6636310404923,-2.2533521291417733,0.8372304943969725,0.7708269470939786,0.8281645305647576,0.19704756828185424,-1.0,-100.0,2.1271005812974173e-08,1,3,0.6173917830797171
ds4,pre_onset,external_evaluation,45.0,0.5348034454196324,-246.3095222512427,-2.071255145515071,2.5397763200554406,1.6890674715221325,1.6337228536694908,0.5348034454196324,-0.625,150.0,3.103195381107884e-08,0,3,0.6245370084075688
ds4,pre_onset,external_evaluation,68.0,0.4800095895609371,-246.3897279248418,-2.098428917478394,0.6541022811704773,0.6783512679238782,1.427935230683159,0.4800095895609371,0.75,-100.0,3.470850540709235e-08,0,3,0.4751748675799542
ds4,pre_onset,external_evaluation,90.0,0.11426278979068569,-246.92916760636686,-2.0703562703823852,-0.30182924924280424,0.32694763943700167,0.46396288651392925,0.11426278979068569,0.875,-250.0,2.3730392788987782e-08,1,3,0.47393188446820633
ds4,pre_onset,external_evaluation,113.0,1.0627350298605696,-246.4096753790218,-2.1026890587465683,2.5641246512980573,1.6249548779816019,1.8021225474270137,1.0627350298605696,-1.0,150.0,3.7962162925432204e-08,1,3,0.799267540072842
ds4,transition_only,external_evaluation,114.0,2.52127945268363,-238.4729478265384,-2.145453587841539,4.68402965171604,4.550110096228638,7.276346063966123,2.52127945268363,1.0,0.0,1.0816241156288661e-07,1,3,0.4002365851847186
ds4,transition_only,external_evaluation,116.0,3.5675737500692972,-237.66765850641556,-2.1804461054424826,4.617707814636134,4.379805576311627,5.905095573547731,3.5675737500692972,1.0,0.0,1.5034650168764552e-07,1,3,0.548734783900018
ds4,transition_only,external_evaluation,119.0,6.12985528101783,-237.98066574075568,-2.146174937365929,6.434726635148101,5.1779964497473365,9.344370290804317,6.12985528101783,1.0,50.0,2.44282632038258e-07,1,3,0.585628100432905
ds4,transition_only,external_evaluation,122.0,3.7103793510542147,-237.44903934190933,-2.1478611649543575,5.7612027439551134,4.518643334788709,6.980185102641823,3.7103793510542147,1.0,0.0,1.512746263473212e-07,1,3,0.44366177601322165
ds4,transition_only,external_evaluation,125.0,3.8476497058066945,-237.41790181890727,-2.1326828599679217,6.000202439638368,4.910496647321967,7.981827420978828,3.8476497058066945,1.0,-50.0,1.7365223850235768e-07,1,3,0.5607486961005341
ds4,transition_only,external_evaluation,128.0,4.403949849507015,-237.72740705059442,-2.1850836654695884,6.459162924500985,5.01774783821252,6.341018302787788,4.403949849507015,1.0,0.0,1.6076528640669988e-07,1,3,0.39680943716020944
ds7,pre_onset,external_evaluation,1.0,2.5027012416942904,-3.46041710107616,0.8349394034632632,2.6856364620353745,1.9299597574091518,3.4043812132933895,2.5027012416942904,1.0,-100.0,7.603484877469162e-08,1,3,0.4856405104013878
ds7,pre_onset,external_evaluation,22.0,2.977465090436346,-4.022581602947959,1.0928564175758937,6.784011231461852,3.657734799150669,7.277908678792063,2.977465090436346,-0.625,0.0,7.08759425214007e-08,0,3,0.859786509474682
ds7,pre_onset,external_evaluation,44.0,0.5048002704685973,-0.5771307379794622,1.0557132413734094,1.3461908969645346,0.9700427277306435,0.577378515095426,0.5048002704685973,0.375,-50.0,4.954914110682164e-08,0,3,0.8006033546197278
ds7,pre_onset,external_evaluation,65.0,4.656205201623728,-1.4394038683023824,0.9986417666183902,2.861825797156922,2.0949595978908118,6.670020353074824,4.656205201623728,-0.125,-200.0,5.9413357425968345e-08,0,3,0.9361769048797306
ds7,pre_onset,external_evaluation,87.0,1.4823946644013437,-5.857340110560532,1.046807161828569,1.8653363861639614,1.6593308187598292,2.692684597992094,1.4823946644013437,-1.0,150.0,3.895985436956251e-08,1,3,0.8240501204079049
ds7,pre_onset,external_evaluation,109.0,3.1625396992485033,-5.270645888674908,1.0439236185779306,6.499261546920074,3.4451599645293616,5.337984765304566,3.1625396992485033,-0.625,0.0,7.599573199209895e-08,0,3,0.9141007689182983
ds7,transition,external_evaluation,110.0,3.757778755408744,-3.023998777414275,1.0134041305678332,1.0061010656142613,1.2312567941208892,3.8143217675367986,3.757778755408744,0.5,250.0,4.974593862343666e-08,1,3,0.7524820380518528
ds7,transition,external_evaluation,113.0,4.345626387538432,-1.4696965125299228,1.0680350767277094,2.573436760002677,2.1695554731246096,6.472546768115194,4.345626387538432,1.0,-250.0,8.020440455069559e-08,1,3,0.7155076242845319
ds7,transition,external_evaluation,117.0,4.125833123186902,1.5301263295990275,1.0910329207631317,5.637336401206456,3.6372197744645396,4.961029383094826,4.125833123186902,-0.625,0.0,7.697464047127546e-08,0,3,0.803471538323651
ds7,transition,external_evaluation,121.0,1.8260389782240822,3.303346317490682,1.0549385376194922,3.1574646575530183,2.76952855031807,3.209540622450557,1.8260389782240822,-0.625,-50.0,4.709181188999259e-08,0,3,0.799439026626565
ds7,transition,external_evaluation,125.0,1.7226041549291828,11.79694977795591,0.8765661214958433,2.4796922483554416,2.01524686527295,2.961716508339898,1.7226041549291828,-1.0,200.0,3.7720675712618384e-08,1,3,0.5105541451242803
ds7,transition,external_evaluation,129.0,2.34120733840626,11.649052246385196,0.9313819054002193,2.0071230089129273,0.9466922333166853,3.0656175020484944,2.34120733840626,-0.625,-250.0,5.635589945566119e-08,1,3,0.896396934740202
ds7,held,external_evaluation,130.0,3.3225464422207165,13.66009261123654,1.0285547657264196,3.8034480329216964,1.794209972387699,5.157572557375795,3.3225464422207165,0.875,-50.0,2.001806780956947e-07,0,3,0.9258273420259925
ds7,held,external_evaluation,133.0,0.30428895040664694,12.474039294124804,0.9314727879609442,1.5120697926783229,1.0207249378590246,1.7400011231847654,0.30428895040664694,0.75,-250.0,2.4375270926243916e-08,1,3,0.6216773765002095
ds7,held,external_evaluation,137.0,0.765683324634326,17.268568821321622,0.8101432871847183,1.212129094759796,0.703425279201965,1.1478807994789861,0.765683324634326,-0.5,-250.0,2.730933821222204e-08,1,3,0.44201091464769443
ds7,held,external_evaluation,141.0,0.7592830440660038,18.928652000664716,0.9164425931985586,0.17650329394559588,0.854981148303228,1.3362384339630782,0.7592830440660038,1.0,-200.0,3.0652881252860817e-08,1,3,0.5584199358518075
ds7,held,external_evaluation,145.0,6.544126967281872,17.19743916874645,0.9025905194764097,2.1617420241772582,1.0760632579831848,6.923510973860708,6.544126967281872,0.875,-250.0,6.660062021341235e-08,1,3,0.9150999152513343
ds7,held,external_evaluation,149.0,1.8264794949267205,14.052398573794566,1.0125118565884055,1.4552279852277237,1.444812338701162,3.128579219059709,1.8264794949267205,0.75,100.0,5.744185856511124e-08,0,3,0.9504455941222831
ds7,time_push,external_evaluation,150.0,1.4927291059058,12.485416419414626,1.0168451537665348,2.75286592733128,1.4385612031836854,2.396165074411525,1.4927291059058,1.0,-250.0,3.470591471384223e-08,1,3,0.8556629287744385
ds7,time_push,external_evaluation,174.0,3.2918388521591977,3.487554351789906,0.20841929679551166,5.710485048067118,3.7535126179496654,7.75965604218506,3.2918388521591977,-1.0,-100.0,5.997776384462104e-08,1,3,0.9336451407058133
ds7,time_push,external_evaluation,198.0,4.201669701992969,2.873627440421194,0.22407327013463846,4.048051956225243,3.0540668441118797,6.122062870314956,4.201669701992969,-0.625,50.0,7.53739467241787e-08,0,3,0.48978049215600195
ds7,time_push,external_evaluation,222.0,28.33301735883485,4.076762300176884,0.3228972310958369,17.58112166668377,11.107501501761028,63.20337632410106,28.33301735883485,0.125,0.0,2.3016530029480296e-07,0,3,0.36266193255914525
ds7,time_push,external_evaluation,246.0,60.55218760606365,10.03000453978087,0.34916339904984983,34.85957176855614,18.121383490340037,113.31051120851009,60.55218760606365,0.5,0.0,2.319253089550284e-07,0,3,0.42923059778823597
ds7,time_push,external_evaluation,270.0,90.2684761967783,11.434216558263067,0.2573679788457292,54.94507623935036,23.847101775042304,170.12276850912502,90.2684761967783,0.5,0.0,2.3915228412343165e-07,0,3,0.3373707214614731
ds8,pre_onset,external_evaluation,1.0,0.02289934703160368,-3.345490492830871,0.008623555160927096,1.327553575418651,0.5392257005780889,-0.1864939532992671,0.02289934703160368,-0.625,50.0,2.1055699241630488e-08,0,3,0.4938975941690924
ds8,pre_onset,external_evaluation,22.0,0.7075080930669624,-3.826764473598314,0.5016560771608036,1.4497558701742483,0.7290252915330897,0.8993581627650999,0.7075080930669624,-0.5,0.0,3.986599937824998e-08,0,3,0.5160901115754407
ds8,pre_onset,external_evaluation,44.0,0.843138393759271,-0.7854561351843945,0.5890789551079739,1.698961964837513,0.7085032832093958,0.642825532304177,0.843138393759271,-0.75,0.0,3.713377635704578e-08,0,3,0.8615151026126315
ds8,pre_onset,external_evaluation,65.0,0.9926081239533253,-1.7563251050176378,0.3004549245361127,1.6715460048101551,0.8893152319741677,1.003597864603603,0.9926081239533253,-0.875,-100.0,3.881615917332247e-08,0,3,0.9111702919239173
ds8,pre_onset,external_evaluation,87.0,0.6457400252944385,-5.991852559585771,0.58818104905633,1.6374071187774124,1.3459850465515175,1.1703679985886473,0.6457400252944385,-1.0,0.0,3.503606797928225e-08,1,3,0.5663810807437978
ds8,pre_onset,external_evaluation,109.0,0.24200910195206346,-5.656383345271765,0.5264092487711995,1.989230353807838,0.9796879157026971,0.5317610886372007,0.24200910195206346,0.875,-100.0,2.9399438261094867e-08,0,3,0.5871417226268864
ds8,transition,external_evaluation,110.0,1.0729300198608465,-3.4994520887520477,0.5642205910560301,2.0555868218302327,1.4323670385848843,1.5401723374667555,1.0729300198608465,-0.875,-100.0,3.2413199322855695e-08,0,3,0.6357342697902373
ds8,transition,external_evaluation,113.0,1.0052579529027865,-1.2988842269637786,0.08068378763430997,3.3107418992334248,2.081056028947912,2.8909091260263415,1.0052579529027865,-0.5,-150.0,3.228824376743801e-08,0,3,0.6355787249994511
ds8,transition,external_evaluation,117.0,2.2991013087880448,3.870283262478143,0.23094517726504707,4.547977724563724,3.0428915646658914,3.399839828499683,2.2991013087880448,-1.0,-50.0,4.032347409095935e-08,1,3,0.6368579544718278
ds8,transition,external_evaluation,121.0,1.2646759056739234,5.837003083064882,0.9622473351158578,2.103653068123361,2.5633057711837552,2.7675534674823794,1.2646759056739234,-0.75,0.0,3.7110840504189555e-08,0,3,0.6002025809610313
ds8,transition,external_evaluation,125.0,1.704071884559507,16.72250341731479,0.756686004316444,4.11476013004716,2.645952528181288,2.5060450942896866,1.704071884559507,-0.625,-50.0,4.266933906403801e-08,0,3,0.7301639982784555
ds8,transition,external_evaluation,129.0,-0.09344726239571041,18.933058783467516,1.0791259177185955,0.21972835557754275,0.24467394204701365,0.05144505688567264,-0.09344726239571041,-0.5,-250.0,1.3744531870785506e-08,1,3,0.658283679799296
ds8,held,external_evaluation,130.0,0.2977328700719388,13.864342747508402,0.6433153180594471,1.1571962896248054,0.7614742336783706,0.285756990451019,0.2977328700719388,0.75,-100.0,3.491229576123711e-08,0,3,0.6877171775090665
ds8,held,external_evaluation,133.0,0.18573367142008626,12.799555996896988,0.4895036941506262,1.4682203630552524,1.031895370025592,0.4365991597860551,0.18573367142008626,1.0,0.0,3.246569549298493e-08,1,3,0.6263565453339965
ds8,held,external_evaluation,137.0,1.1716694603388695,17.222929660410003,0.4042477082590197,1.1668923792171924,0.9513729303083122,1.202541403526208,1.1716694603388695,0.375,-250.0,3.267670979504211e-08,1,3,0.737027942401439
ds8,held,external_evaluation,141.0,0.4842915400876562,26.358608775383466,0.8253067268234165,2.3426872365087212,1.5967891270973462,1.35773515064712,0.4842915400876562,-0.75,-50.0,3.277270171292575e-08,0,3,0.6400302945852068
ds8,held,external_evaluation,145.0,0.3483045017959865,21.10877520671301,0.5174978144986191,-0.04014310673993371,0.6019025169366781,0.5286763673677422,0.3483045017959865,-0.625,200.0,3.102405762855281e-08,0,3,0.6831594867074704
ds8,held,external_evaluation,149.0,0.2369074221970004,18.5248033432505,0.5094225546526359,0.08089679470497375,0.8160552548954503,0.5917331806414325,0.2369074221970004,-0.625,50.0,2.9661705579386375e-08,0,3,0.4546500650648796
ds8,time_push,external_evaluation,150.0,-0.002736413568268148,15.723688873969667,0.7013884087740955,-0.1752248886841316,0.31381268622328967,0.012494349878552753,-0.002736413568268148,-0.625,150.0,2.05262669780358e-08,0,3,0.7390075436287343
ds8,time_push,external_evaluation,213.0,12.960829417142435,10.134203834074949,0.07493110802704461,12.430041655436458,7.952454511548854,27.201320004757918,12.960829417142435,0.125,0.0,1.4276361737560954e-07,0,3,0.3531732747659552
ds8,time_push,external_evaluation,277.0,85.90353020037065,11.919670722538037,-0.1319856941372992,54.0576647986387,22.188803661464995,169.96943565361465,85.90353020037065,0.5,0.0,2.238913529781614e-07,0,3,0.3365051092425816
ds8,time_push,external_evaluation,341.0,73.82828889415512,17.688475774883855,0.056878246001044325,34.165264213946195,16.940891161388073,195.59266990627697,73.82828889415512,0.625,0.0,2.4816687352956375e-07,0,3,0.38855955737149633
ds8,time_push,external_evaluation,405.0,62.988603305977676,14.845109717579163,0.22707331804907663,26.539547578928968,10.79069508011257,159.7459360757612,62.988603305977676,0.5,0.0,2.0861706246367235e-07,0,3,0.3507277814572533
ds8,time_push,external_evaluation,469.0,37.67603143942015,15.883499454908437,0.5610117054535272,19.807351772789623,7.019044763829899,107.45318583625172,37.67603143942015,0.5,0.0,2.5430684886247177e-07,0,3,0.363179051961744
